metric,group_or_item,year,ci_2_5,median,ci_97_5
daily_kcal_per_cap_weighted,dairyegg,2030.0,73.81004854696667,79.16316406686556,86.70388209263358
daily_kcal_per_cap_weighted,dairyegg,2050.0,85.09562584098872,91.42500074145917,102.4731675923782
daily_kcal_per_cap_weighted,grain,2030.0,638.9264692984168,714.030050105039,789.3247309721203
daily_kcal_per_cap_weighted,grain,2050.0,473.2421052622972,536.5380634192561,723.7492034911671
daily_kcal_per_cap_weighted,meatother,2030.0,83.83499077819104,95.16597703346692,109.95744866260956
daily_kcal_per_cap_weighted,meatother,2050.0,90.31912417967673,98.74573276706734,139.94196447039943
daily_kcal_per_cap_weighted,oil,2030.0,220.61428573571197,237.14631158426434,266.8891261730927
daily_kcal_per_cap_weighted,oil,2050.0,192.0520723236464,207.6097874572242,266.6619348444915
daily_kcal_per_cap_weighted,pork,2030.0,259.8389215005142,291.7971286785477,343.86948794031923
daily_kcal_per_cap_weighted,pork,2050.0,274.4543948740061,309.43943439127503,389.0059168200932
daily_kcal_per_cap_weighted,vegfruit,2030.0,119.83293726481197,124.40399921692422,134.13909734251018
daily_kcal_per_cap_weighted,vegfruit,2050.0,128.0519335741731,141.9424189269732,154.21455528820601
feed_grain_million_ton,aquatic,2030.0,24.843617591027982,28.111746083007976,32.88040993388811
feed_grain_million_ton,aquatic,2050.0,25.184864983602427,27.557144310968265,39.20494081322767
feed_grain_million_ton,beef,2030.0,39.9554169315216,45.381742243074456,52.30950563362583
feed_grain_million_ton,beef,2050.0,40.9264464841286,44.73797292668924,63.35771910410138
feed_grain_million_ton,egg,2030.0,52.46150983401532,56.27767776078779,61.63947996951493
feed_grain_million_ton,egg,2050.0,57.72087159980089,62.016133520592305,69.47484154390924
feed_grain_million_ton,milk,2030.0,12.035768099934742,12.901560202538233,14.129846642507013
feed_grain_million_ton,milk,2050.0,13.276349596082353,14.262582152015419,16.008376306885516
feed_grain_million_ton,mutton,2030.0,23.865624980108198,27.21107616745391,30.88199283093732
feed_grain_million_ton,mutton,2050.0,24.852908543018774,27.139351343316008,38.246387145133646
feed_grain_million_ton,pork,2030.0,146.15405517967721,164.1298901637854,193.4195224672579
feed_grain_million_ton,pork,2050.0,147.42669994989458,166.2193628475515,208.95951986521175
feed_grain_million_ton,poultry,2030.0,48.82988045089482,55.47782655097971,63.87989765017655
feed_grain_million_ton,poultry,2050.0,50.64061812106112,55.353073394789696,78.36366660977984
income_elasticity_median_income,dairyegg,,0.6399951611070853,0.7129906932707148,1.0050072247092956
income_elasticity_median_income,grain,,-0.4600480273538006,-0.3933806563945861,-0.15865115347066777
income_elasticity_median_income,meatother,,0.1037802972311008,0.20528001256025039,0.9573325341185734
income_elasticity_median_income,nonfood,,1.0926689669975418,1.1310528921639924,1.1460384263986994
income_elasticity_median_income,oil,,-0.3132233372817733,-0.22911208546044193,0.04770100926010045
income_elasticity_median_income,pork,,0.24416796158633758,0.4213489736702298,0.8731026171357179
income_elasticity_median_income,vegfruit,,0.3460896048040426,0.46390820285818674,0.5733879976202334
