Category,food_group10,n_rows,n_positive_spend,n_positive_volume,n_valid_uv,zero_volume_share_when_spend_positive,volume_p01,volume_p50,volume_p99,log_uv_p01,log_uv_p50,log_uv_p99
其他肉类,G06_禽类及其他肉类,21546,21523,7948,7926,0.631068411770166,0.118,0.5,3,2.30258509299405,3.55785119170753,5.01063529409626
坚果,G10_坚果,285612,285343,210617,210390,0.262429449743008,0.03,0.218,2,2.70805020110221,4.08637639257292,5.68980539973009
大米,G01_主食,221416,221220,139695,139540,0.368898363261914,0.5,5,40.0119999999995,1.20397280432594,1.94591014905531,3.39282913199164
奶酪,G09_乳制品,28637,28592,28637,28592,0,0.04,0.12,1.05,3.76106047253133,4.93447393313069,5.7037824746562
常温牛奶,G09_乳制品,373635,373430,373635,373430,0,0.19,3,12,1.84582669049833,2.63905732961526,3.46573590279973
常温酸奶,G09_乳制品,190172,189941,190172,189941,0,0.16,2,10,1.6094379124341,2.96010509591084,3.87120101090789
成人奶粉,G09_乳制品,66710,66664,66710,66664,0,0.025,0.7,3.2,2.97050695355494,4.35242616489759,6.77611008622523
挂面,G01_主食,165394,165284,165376,165266,0.000108831033773897,0.15,1,7.5,1.31841693871681,2.1722232751308,4.79363883633849
新鲜牛奶,G09_乳制品,102860,102460,102860,102460,0,0.19,0.96,7.6,2.05654772181398,2.76235554595975,3.80112225750192
新鲜酸奶,G09_乳制品,317318,316344,317318,316344,0,0.1,0.8,4.32,1.99809590222588,2.93857385971404,4.24319018981967
方便面,G01_主食,244052,243966,244052,243966,0,0.04,0.44,2.88,2.36079883022617,3.25591709654855,4.63415772286134
水果,G04_水果,1985383,1984846,5930,5924,0.996745716065867,0.1,0.7,6.21300000000001,1.79743877012384,3.75118333745009,5.52146091786225
海鲜类,G08_海鲜,796116,795989,19476,19455,0.97540308196293,0.1,0.4,2.5,2.13162729485041,4.16333743370905,6.10924758276437
牛肉,G07_牛羊肉,271026,270989,26758,26738,0.901208740120874,0.1,0.3,2.42580000000002,3.17722014959937,4.5485998344997,5.80663986009591
猪肉,G05_猪肉,828304,828221,8867,8842,0.989224970542216,0.1,0.4,2.5,2.77133794033813,4.13516655674236,5.29831736654804
禽类,G06_禽类及其他肉类,462591,462457,37798,37715,0.918180422878958,0.135,0.535,3.40299999999988,2.07693841146172,3.39365017602677,4.82430571590476
羊肉,G07_牛羊肉,71556,71541,6709,6703,0.906115489965901,0.15,0.5,2.5,2.99634770672733,4.45318382899021,5.44673737166631
蔬菜,G03_蔬菜,3541705,3540351,14314,14219,0.995602965238494,0.076,0.35,2.2,1.23411319027214,2.76000994003292,4.7184988712951
面粉,G01_主食,97401,97364,70636,70604,0.274740505744294,0.5,5,25,1.09192330051731,1.7227665977411,3.36345705367931
食用油,G02_食用油,278712,278411,278712,278411,0,0.1,5,15,2.07693841146172,2.93857385971404,5.18178355029209
黄油,G09_乳制品,69961,69876,69961,69876,0,0.06,0.5,2.5,2.63695278667256,3.78017087432334,5.49898806201019
