group,usd,point,ci_lo,ci_hi,p,n
grain,15000,-0.398,-0.561,-0.058,0.013,450
oil,15000,-0.201,-0.355,0.093,0.324,450
vegfruit,15000,0.265,0.065,0.318,0.013,450
pork,15000,0.184,-0.0,0.417,0.053,450
meatother,15000,0.121,0.094,0.716,0.004,450
dairyegg,15000,0.346,0.179,0.506,0.004,450
nonfood,15000,1.086,1.072,1.094,0.0,450
grain,20000,-0.393,-0.493,-0.039,0.031,450
oil,20000,-0.185,-0.275,0.074,0.307,450
vegfruit,20000,0.197,0.024,0.234,0.031,450
pork,20000,0.111,-0.027,0.266,0.098,450
meatother,20000,0.101,0.068,0.469,0.004,450
dairyegg,20000,0.236,0.09,0.327,0.009,450
nonfood,20000,1.065,1.061,1.07,0.0,450
grain,25000,-0.388,-0.479,-0.009,0.044,450
oil,25000,-0.172,-0.231,0.063,0.311,450
vegfruit,25000,0.158,0.017,0.188,0.018,450
pork,25000,0.071,-0.039,0.201,0.151,450
meatother,25000,0.088,0.051,0.369,0.013,450
dairyegg,25000,0.177,0.057,0.249,0.009,450
nonfood,25000,1.052,1.05,1.057,0.0,450
grain,30000,-0.383,-0.467,-0.001,0.049,450
oil,30000,-0.162,-0.216,0.054,0.311,450
vegfruit,30000,0.132,0.011,0.156,0.022,450
pork,30000,0.047,-0.045,0.151,0.231,450
meatother,30000,0.079,0.032,0.312,0.013,450
dairyegg,30000,0.14,0.039,0.201,0.018,450
nonfood,30000,1.044,1.042,1.048,0.0,450
