indicator,usd,point,ci_lo,ci_hi,p
covered_energy,15000,-0.139,-0.254,0.092,0.547
plant_energy,15000,-0.279,-0.412,-0.006,0.044
animal_energy,15000,0.199,0.105,0.439,0.018
protein,15000,-0.018,-0.088,0.231,0.902
fat,15000,0.005,-0.107,0.22,0.636
carb,15000,-0.278,-0.422,-0.014,0.036
covered_energy,20000,-0.142,-0.199,0.059,0.369
plant_energy,20000,-0.27,-0.343,-0.006,0.049
animal_energy,20000,0.131,0.038,0.289,0.027
protein,20000,-0.035,-0.07,0.171,0.987
fat,20000,-0.017,-0.091,0.152,0.942
carb,20000,-0.272,-0.343,-0.009,0.044
covered_energy,25000,-0.141,-0.185,0.045,0.324
plant_energy,25000,-0.261,-0.318,0.006,0.067
animal_energy,25000,0.094,0.029,0.213,0.031
protein,25000,-0.043,-0.071,0.132,0.951
fat,25000,-0.029,-0.078,0.118,0.858
carb,25000,-0.265,-0.32,0.008,0.067
covered_energy,30000,-0.139,-0.175,0.036,0.267
plant_energy,30000,-0.252,-0.3,0.01,0.076
animal_energy,30000,0.07,0.016,0.171,0.036
protein,30000,-0.048,-0.07,0.109,0.902
fat,30000,-0.036,-0.076,0.095,0.804
carb,30000,-0.258,-0.307,0.011,0.076
