year,group,annual_kcal_total,population_10k,m_mean,population_scenario,population_projection_source,daily_kcal_per_cap_weighted,xhat_per_cap_weighted
2030,dairyegg,44441416275835.664,146050.0427,32016.28412479729,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",83.36683962181625,0.041683419810908125
2030,grain,433718227612653.9,146050.0427,32016.28412479729,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",813.6040871879846,0.4068020435939923
2030,meatother,53040378165672.766,146050.0427,32016.28412479729,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",99.49747489083549,0.049748737445417746
2030,nonfood,,146050.0427,32016.28412479729,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",,297.27600309688637
2030,oil,133666567380451.45,146050.0427,32016.28412479729,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",250.74266797531888,0.12537133398765943
2030,pork,171756950650388.97,146050.0427,32016.28412479729,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",322.19572098985583,0.16109786049492794
2030,vegfruit,67171642021059.43,146050.0427,32016.28412479729,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",126.00605418933438,0.06300302709466717
2035,dairyegg,48203936163773.49,145358.3009,39493.36249498199,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",90.85520242957536,0.04542760121478767
2035,grain,428269659854551.6,145358.3009,39493.36249498199,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",807.2064179226287,0.40360320896131435
2035,meatother,56477559604406.1,145358.3009,39493.36249498199,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",106.44940058739465,0.05322470029369732
2035,nonfood,,145358.3009,39493.36249498199,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",,371.03264714052915
2035,oil,133153203188330.86,145358.3009,39493.36249498199,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",250.96832733161497,0.1254841636658075
2035,pork,186512890242602.94,145358.3009,39493.36249498199,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",351.5411343410576,0.1757705671705288
2035,vegfruit,70412854622924.44,145358.3009,39493.36249498199,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",132.71476708198475,0.06635738354099235
2050,dairyegg,52883198939996.44,139476.4799,67659.42739758079,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",103.87807080578283,0.05193903540289142
2050,grain,403505531622218.5,139476.4799,67659.42739758079,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",792.6028875813064,0.39630144379065324
2050,meatother,60396664403086.375,139476.4799,67659.42739758079,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",118.63671462869591,0.05931835731434795
2050,nonfood,,139476.4799,67659.42739758079,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",,650.2099201587287
2050,oil,127987757206694.6,139476.4799,67659.42739758079,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",251.40539097257678,0.12570269548628837
2050,pork,205057918528987.72,139476.4799,67659.42739758079,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",402.793730470233,0.20139686523511652
2050,vegfruit,73549060878203.9,139476.4799,67659.42739758079,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",144.4718683201015,0.07223593416005074
