model,period,nll,aic,bic
AIDADS,2015-2023 (old),-3923.0,-7816.0,-7762.0
MAIDADS,2015-2023 (old),-3999.0,-7953.0,-7869.0
AIDADS,2015-2024 (new),-4248.3,-8468.6,-8416.3
MAIDADS,2015-2024 (new),-4481.6,-8919.1,-8836.9
