param,point,boot_median,ci_lo,ci_hi
omega,0.705,0.725,0.363,3.604
kappa,4.911,4.866,4.413,5.195
alpha[grain],0.0039,0.0041,0.0002,0.0154
delta[grain],0.6746,0.634,0.4046,0.7194
tau[grain],0.0296,0.0353,0.0275,0.3097
alpha[oil],0.0012,0.0012,0.0001,0.0165
delta[oil],0.1708,0.1611,0.1024,0.1928
tau[oil],0.0729,0.0782,0.0405,0.1469
alpha[vegfruit],0.0178,0.018,0.0105,0.0281
delta[vegfruit],0.0238,0.0266,0.019,0.0439
tau[vegfruit],0.0523,0.0502,0.0257,0.0602
alpha[pork],0.0251,0.0261,0.0211,0.0403
delta[pork],0.0768,0.0733,0.0316,0.0919
tau[pork],0.001,0.001,0.0007,0.0293
alpha[meatother],0.0006,0.0007,0.0004,0.0447
delta[meatother],0.0325,0.0172,0.0,0.0365
tau[meatother],0.053,0.0544,0.0051,0.1067
alpha[dairyegg],0.009,0.0089,0.0047,0.0123
delta[dairyegg],0.007,0.007,0.0,0.0193
tau[dairyegg],0.0095,0.01,0.0012,0.0363
alpha[nonfood],0.9423,0.9393,0.8912,0.9527
delta[nonfood],68.6842,69.8279,6.414,131.2639
tau[nonfood],0.0411,0.0412,0.0375,0.0456
