group,point,ci_lo,ci_hi,p
grain,-0.428,-0.538,-0.053,0.036
oil,-0.232,-0.319,0.169,0.4
vegfruit,0.422,0.229,0.558,0.0
pork,0.261,0.135,0.932,0.027
meatother,0.165,0.129,1.735,0.004
dairyegg,0.644,0.512,1.054,0.0
nonfood,1.144,1.076,1.154,0.0
