draw,success,nll_aidads,nll_maidads,lr_stat,message
1,False,-4464.168291035492,-4568.23212686862,208.127671666256,ok
2,True,-4337.650175137966,-4645.70995095309,616.1195516302487,ok
3,True,-4713.111493263808,-4719.164954949518,12.106923371418816,ok
4,True,-4776.1508766035195,-4843.59645667639,134.8911601457403,ok
5,True,-5018.8815044480225,-5076.440959197858,115.11890949967164,ok
6,True,-4622.717031645865,-4672.541036873292,99.64801045485365,ok
7,True,-4426.418862954622,-4642.154518517674,431.4713111261026,ok
8,True,-4240.498516822373,-4473.470976746531,465.9449198483162,ok
9,True,-4307.7592514386215,-4545.423044756832,475.32758663642016,ok
10,True,-4387.600650694986,-4500.38219274912,225.5630841082675,ok
11,True,-4577.034716975036,-4653.9902083140905,153.91098267810958,ok
12,True,-4137.500898384584,-4266.356103131968,257.7104094947681,ok
