section,key,old_2015_2023,new_2015_2024,delta
model_selection,AIC_AIDADS_sat,-5992.558,-6618.73,-626.172
model_selection,BIC_AIDADS_sat,-5948.984,-6573.891,-624.907
model_selection,AIC_MAIDADS_sat,-6419.865,-7066.634,-646.769
model_selection,BIC_MAIDADS_sat,-6350.872,-6995.639,-644.767
model_selection,LR_MAIDADS_vs_AIDADS,441.306,461.904,20.598
sample,n_obs,279.0,310.0,31.0
exp_elasticity_median,grain,-0.054,-0.402,-0.348
exp_elasticity_median,oil,-0.035,-0.221,-0.186
exp_elasticity_median,vegfruit,0.046,0.26,0.215
exp_elasticity_median,meatsea,0.067,0.325,0.259
exp_elasticity_median,dairyegg,0.064,0.445,0.381
exp_elasticity_median,nonfood,1.08,1.078,-0.002
fit_rmse_MAIDADS,grain,0.062,0.066,0.004
fit_rmse_MAIDADS,oil,0.031,0.031,0.0
fit_rmse_MAIDADS,vegfruit,0.008,0.009,0.001
fit_rmse_MAIDADS,meatsea,0.047,0.044,-0.003
fit_rmse_MAIDADS,dairyegg,0.009,0.009,-0.0
fit_rmse_MAIDADS,nonfood,3.587,3.423,-0.164
feed_grain_Mt,2030,355.329,407.723,52.394
feed_grain_Mt,2035,358.232,434.798,76.566
feed_grain_Mt,2050,349.768,472.804,123.036
