variant,model,group,rmse_x,mae_x,mean_x
robust_real_derived_cpi_nonfood,AIDADS_sat,grain,0.07771103955334913,0.05390127500552135,0.4122865722827164
robust_real_derived_cpi_nonfood,AIDADS_sat,oil,0.031388350866892324,0.025198559365119225,0.1273417792799735
robust_real_derived_cpi_nonfood,AIDADS_sat,vegfruit,0.008657654397402506,0.006791002861288311,0.05164737289379987
robust_real_derived_cpi_nonfood,AIDADS_sat,pork,0.043339993850385346,0.03503128431683064,0.105900420411937
robust_real_derived_cpi_nonfood,AIDADS_sat,meatother,0.016408300892635112,0.013058156187427797,0.041278831179050596
robust_real_derived_cpi_nonfood,AIDADS_sat,dairyegg,0.008533761731987468,0.006868819197135325,0.030014386789327437
robust_real_derived_cpi_nonfood,AIDADS_sat,nonfood,3.694308320540278,2.8525334841599457,190.29407101537942
robust_real_derived_cpi_nonfood,MAIDADS_sat,grain,0.07407968251006113,0.0524935349151915,0.4122865722827164
robust_real_derived_cpi_nonfood,MAIDADS_sat,oil,0.03146737636286816,0.02499804034244047,0.1273417792799735
robust_real_derived_cpi_nonfood,MAIDADS_sat,vegfruit,0.00863635095526188,0.00665536173209542,0.05164737289379987
robust_real_derived_cpi_nonfood,MAIDADS_sat,pork,0.0429116986151918,0.03506646972239909,0.105900420411937
robust_real_derived_cpi_nonfood,MAIDADS_sat,meatother,0.016528221970416805,0.012758668456459388,0.041278831179050596
robust_real_derived_cpi_nonfood,MAIDADS_sat,dairyegg,0.008490292620344024,0.006866589321855224,0.030014386789327437
robust_real_derived_cpi_nonfood,MAIDADS_sat,nonfood,3.6272171566252087,2.823924802069811,190.29407101537942
