group,point,boot_median,ci_lo,ci_hi,n
grain,-0.41,-0.308,-0.518,-0.018,450
oil,-0.231,-0.196,-0.318,0.199,450
vegfruit,0.452,0.442,0.263,0.593,450
pork,0.38,0.421,0.262,1.113,450
meatother,0.167,0.462,0.13,1.822,450
dairyegg,0.685,0.722,0.578,1.117,450
nonfood,1.134,1.113,1.064,1.144,450
