item,year,old_2015_2023_Mt,new_2015_2024_Mt,delta
pork,2030,155.5,161.2,5.7
pork,2035,156.8,165.5,8.7
pork,2050,153.1,165.0,11.9
egg,2030,49.0,56.4,7.4
egg,2035,49.2,59.6,10.4
egg,2050,47.7,62.6,14.9
poultry,2030,48.0,52.5,4.5
poultry,2035,48.5,53.5,5.0
poultry,2050,47.7,54.1,6.4
beef,2030,40.4,42.9,2.5
beef,2035,40.7,43.7,3.0
beef,2050,39.7,43.8,4.1
mutton,2030,26.1,25.6,-0.5
mutton,2035,26.5,26.2,-0.3
mutton,2050,26.4,26.6,0.2
aquatic,2030,25.0,26.7,1.7
aquatic,2035,25.1,27.1,2.0
aquatic,2050,24.2,26.9,2.7
milk,2030,11.3,12.9,1.6
milk,2035,11.4,13.7,2.3
milk,2050,11.0,14.4,3.4
