item,boot_median_Mt,ci_lo,ci_hi
pork,167.6,143.4,211.8
egg,62.4,53.5,68.6
poultry,61.3,49.7,91.0
beef,49.3,40.1,73.6
mutton,29.9,24.4,44.3
aquatic,30.5,24.7,45.6
milk,14.4,12.3,15.8
