group,15000,20000,25000,30000
grain,-0.398,-0.393,-0.388,-0.383
oil,-0.201,-0.185,-0.172,-0.162
vegfruit,0.265,0.197,0.158,0.132
pork,0.184,0.111,0.071,0.047
meatother,0.121,0.101,0.088,0.079
dairyegg,0.346,0.236,0.177,0.14
nonfood,1.086,1.065,1.052,1.044
