model,group,rmse_x,mae_x,mean_x
AIDADS_sat,grain,0.07509138357708513,0.05277151199614903,0.4122865722827164
AIDADS_sat,oil,0.031343218634354,0.02529401151139499,0.1273417792799735
AIDADS_sat,vegfruit,0.010860974801340474,0.00799872810828034,0.05164737289379987
AIDADS_sat,pork,0.045575527333123436,0.03679462680967869,0.105900420411937
AIDADS_sat,meatother,0.017707433778373916,0.014203144718553306,0.041278831179050596
AIDADS_sat,dairyegg,0.01041537853359853,0.008554724786941975,0.030014386789327437
AIDADS_sat,nonfood,3.7729271734156447,3.0970019965029487,191.69657220163432
MAIDADS_sat,grain,0.06424669876791847,0.0493374010395895,0.4122865722827164
MAIDADS_sat,oil,0.030647269777885143,0.025466353197781136,0.1273417792799735
MAIDADS_sat,vegfruit,0.008175791492024409,0.006541910362724188,0.05164737289379987
MAIDADS_sat,pork,0.04232740407051134,0.03440424644961469,0.105900420411937
MAIDADS_sat,meatother,0.017071146843702232,0.013710143819703922,0.041278831179050596
MAIDADS_sat,dairyegg,0.008250640643581575,0.006716866362430589,0.030014386789327437
MAIDADS_sat,nonfood,3.637682925770959,2.944040482287647,191.69657220163432
