province,provincechn,year,m,population_10k,income_support_flag,population_share_projected,population_share_source,population_scenario,population_projection_source,p_grain_model,p_oil_model,p_vegfruit_model,p_pork_model,p_meatother_model,p_dairyegg_model,p_nonfood_model,xhat_grain,daily_kcal_grain,annual_kcal_total_grain,xhat_oil,daily_kcal_oil,annual_kcal_total_oil,xhat_vegfruit,daily_kcal_vegfruit,annual_kcal_total_vegfruit,xhat_pork,daily_kcal_pork,annual_kcal_total_pork,xhat_meatother,daily_kcal_meatother,annual_kcal_total_meatother,xhat_dairyegg,daily_kcal_dairyegg,annual_kcal_total_dairyegg,xhat_nonfood,daily_kcal_nonfood,annual_kcal_total_nonfood,u
11,北京,2030,54228.131731990594,2154.9315,extrapolation,0.014754747483548667,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",832.5932501877371,5516.518798605855,7132.452277843986,2532.376701962099,12340.483134409262,2860.41924000051,100.0,0.28183472149006866,563.6694429801373,4433541989668.534,0.10517733816997951,210.354676339959,1654544701493.0806,0.07337231619960537,146.74463239921073,1154219902467.3762,0.14208579057284138,284.17158114568275,2235151564397.0786,0.047343417635471584,94.68683527094316,744759300456.4325,0.04639009294806144,92.78018589612289,729762549846.4501,518.1319023120244,,,1.1738573097714675
11,北京,2035,63878.67489683381,2103.8059,extrapolation,0.014473242236419123,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",832.5932501877371,5516.518798605855,7132.452277843986,2532.376701962099,12340.483134409262,2860.41924000051,100.0,0.26486709774919454,529.7341954983891,4067771429612.615,0.10244715324793895,204.89430649587788,1573361155720.8923,0.07494631417102166,149.8926283420433,1151009234934.6174,0.14293657132250606,285.87314264501214,2195188855140.6309,0.04794166208364442,95.88332416728885,736277646295.8552,0.04742309908004353,94.84619816008706,728313668178.4249,614.6920322258676,,,1.3705275055949397
11,北京,2050,97322.39848973544,1897.8973,extrapolation,0.013607292794890789,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",832.5932501877371,5516.518798605855,7132.452277843986,2532.376701962099,12340.483134409262,2860.41924000051,100.0,0.22706817755273767,454.13635510547533,3145950191980.8086,0.09642890661843531,192.8578132368706,1335988779045.4875,0.0781094439082847,156.2188878165694,1082179029695.6555,0.14364492735569717,287.28985471139436,1990150234445.639,0.049249151612098405,98.4983032241968,682329772664.8131,0.04932087406710301,98.64174813420603,683323462196.8423,949.3167953119935,,,1.8536949611170663
12,天津,2030,40901.81361971037,1557.944,in_support,0.010667193046976083,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",788.9353543842642,5585.000022553961,7826.720397252748,3273.6312989881085,9549.667745942923,2693.757093916584,100.0,0.3173373616628462,634.6747233256924,3609075021622.7676,0.11043015466174481,220.86030932348962,1255921177182.6628,0.0676417386068994,135.2834772137988,769288897928.967,0.11447095150391677,228.94190300783353,1301877124109.672,0.04634233693477075,92.6846738695415,527050990146.5827,0.04635113768987283,92.70227537974567,527151081056.9121,385.6314124836181,,,0.8191421067909661
12,天津,2035,49459.36841816847,1533.6281,extrapolation,0.010550674371565937,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",788.9353543842642,5585.000022553961,7826.720397252748,3273.6312989881085,9549.667745942923,2693.757093916584,100.0,0.2951212856880491,590.2425713760981,3304025965467.0347,0.1067906276670303,213.58125533406061,1195572884069.6045,0.06983903315479442,139.67806630958884,781881857178.0779,0.11530372081736798,230.60744163473595,1290881091844.5146,0.04715424312155808,94.30848624311616,527914627683.8083,0.04807970244117236,96.15940488234472,538275593734.96985,471.26216295307756,,,1.060574683835513
12,天津,2050,80426.81470357899,1416.549,extrapolation,0.010156185480273222,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",788.9353543842642,5585.000022553961,7826.720397252748,3273.6312989881085,9549.667745942923,2693.757093916584,100.0,0.2465315832276107,493.0631664552214,2549335694133.2676,0.09895628168857411,197.91256337714822,1023287879648.5762,0.0740687700179269,148.13754003585382,765930907330.9077,0.11549061319834239,230.98122639668478,1194266222239.1406,0.04887884604262137,97.75769208524274,505446747524.6535,0.05108090764654732,102.16181529309463,528217843114.40533,781.1748085008298,,,1.6383067636320745
13,河北,2030,28390.108699119868,7883.5584,in_support,0.05397847377692003,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",767.589835104942,5347.057800474389,7429.319917177694,2353.8314326919185,8770.37430702746,2685.440176787608,100.0,0.36577351386905843,731.5470277381169,21050257061647.504,0.11838654781683636,236.7730956336727,6813143023465.4795,0.06349241982144566,126.98483964289132,3653987257223.6963,0.14046122344364834,280.9224468872967,8083540083060.19,0.044616553679194766,89.23310735838953,2567681607717.6675,0.041840456111379036,83.68091222275807,2407917258427.8623,261.7033349405008,,,0.3272339273643623
13,河北,2035,35507.09634962889,7854.45,in_support,0.05403509776440982,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",767.589835104942,5347.057800474389,7429.319917177694,2353.8314326919185,8770.37430702746,2685.440176787608,100.0,0.33568224449937123,671.3644889987424,19247175658749.03,0.113339296664984,226.678593329968,6498590222439.071,0.06707067509138899,134.14135018277798,3845663826992.39,0.14553726248879073,291.07452497758146,8344740604892.1,0.04576864085851187,91.53728171702375,2624258758695.312,0.044857617128605094,89.71523425721018,2572022949247.137,332.80668056078946,,,0.6395381447526707
13,河北,2050,62800.7052452148,7674.2785,extrapolation,0.055022025975291336,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",767.589835104942,5347.057800474389,7429.319917177694,2353.8314326919185,8770.37430702746,2685.440176787608,100.0,0.27104685892057184,542.0937178411436,15184650297918.746,0.10274454663303556,205.4890932660711,5755978936092.51,0.07359447622907339,147.1889524581468,4122926898497.8354,0.1519839214790731,303.9678429581462,8514478668953.534,0.04814066174495639,96.28132348991278,2696947371457.1665,0.049837716787331426,99.67543357466285,2792020184539.7783,605.827221323844,,,1.3544888760119949
14,山西,2030,25270.209470351678,3896.4992,in_support,0.02667920616773637,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",771.1569964145249,5312.108589960856,7544.868227238039,2081.049021440447,9273.181837145357,2795.350994619254,100.0,0.38227198882779734,764.5439776555946,10873514240144.424,0.12124293883599205,242.4858776719841,3448688003514.6714,0.06097833587848382,121.95667175696764,1734494869865.2578,0.15006453235207823,300.12906470415646,4268502210885.203,0.04392478666904865,87.8495733380973,1249416141647.6667,0.038686930543700336,77.37386108740067,1100428235572.0828,230.4353085393342,,,0.154412210696258
