model,order,elasticity_type,demand_good,shock_good,reference_share,elasticity
aids,1,expenditure,1,0,.2499815980240448,1.066759
aids,1,expenditure,2,0,.1752415164084456,.88802731
aids,1,expenditure,3,0,.1693805845487288,.990376
aids,1,expenditure,4,0,.0738328474660789,.69257003
aids,1,expenditure,5,0,.3315634535527019,1.0822234
aids,1,marshallian,1,1,.2499815980240448,-1.2636107
aids,1,hicksian,1,1,.2499815980240448,-.99694061
aids,1,marshallian,2,1,.1752415164084456,.19088487
aids,1,hicksian,2,1,.1752415164084456,.41287535
aids,1,marshallian,3,1,.1693805845487288,.13498084
aids,1,hicksian,3,1,.1693805845487288,.38255662
aids,1,marshallian,4,1,.0738328474660789,-.3585991
aids,1,hicksian,4,1,.0738328474660789,-.18546933
aids,1,marshallian,5,1,.3315634535527019,.10875788
aids,1,hicksian,5,1,.3315634535527019,.37929383
aids,1,marshallian,1,2,.2499815980240448,.10249245
aids,1,hicksian,1,2,.2499815980240448,.28943291
aids,1,marshallian,2,2,.1752415164084456,-1.1174098
aids,1,hicksian,2,2,.1752415164084456,-.96179056
aids,1,marshallian,3,2,.1693805845487288,.060865592
aids,1,hicksian,3,2,.1693805845487288,.23442058
aids,1,marshallian,4,2,.0738328474660789,.085286111
aids,1,hicksian,4,2,.0738328474660789,.20665313
aids,1,marshallian,5,2,.3315634535527019,-.065304287
aids,1,hicksian,5,2,.3315634535527019,.12434619
aids,1,marshallian,1,3,.2499815980240448,.07852146
aids,1,hicksian,1,3,.2499815980240448,.25920972
aids,1,marshallian,2,3,.1752415164084456,.076165825
aids,1,hicksian,2,3,.1752415164084456,.22658041
aids,1,marshallian,3,3,.1693805845487288,-3.0526869
aids,1,hicksian,3,3,.1693805845487288,-2.8849366
aids,1,marshallian,4,3,.0738328474660789,.073696986
aids,1,hicksian,4,3,.0738328474660789,.19100492
aids,1,marshallian,5,3,.3315634535527019,.93275577
aids,1,hicksian,5,3,.3315634535527019,1.1160634
aids,1,marshallian,1,4,.2499815980240448,-.13354081
aids,1,hicksian,1,4,.2499815980240448,-.054778948
aids,1,marshallian,2,4,.1752415164084456,.021501623
aids,1,hicksian,2,4,.1752415164084456,.087067209
aids,1,marshallian,3,4,.1693805845487288,.010136593
aids,1,hicksian,3,4,.1693805845487288,.083258875
aids,1,marshallian,4,4,.0738328474660789,-1.1726353
aids,1,hicksian,4,4,.0738328474660789,-1.121501
aids,1,marshallian,5,4,.3315634535527019,.12258282
aids,1,hicksian,5,4,.3315634535527019,.20248646
aids,1,marshallian,1,5,.2499815980240448,.14937861
aids,1,hicksian,1,5,.2499815980240448,.50307691
aids,1,marshallian,2,5,.1752415164084456,-.059169795
aids,1,hicksian,2,5,.1752415164084456,.23526761
aids,1,marshallian,3,5,.1693805845487288,1.8563279
aids,1,hicksian,3,5,.1693805845487288,2.1847005
aids,1,marshallian,4,5,.0738328474660789,.6796813
aids,1,hicksian,4,5,.0738328474660789,.90931219
aids,1,marshallian,5,5,.3315634535527019,-2.1810157
aids,1,hicksian,5,5,.3315634535527019,-1.8221899
