design,model,order,gmm_steps,return_code,N,parameters,converged,J,J_df,J_p,rss,aic,bic,Engel_order_p,precommitment_p,raw_bic_minimum,family_test_preferred,bic_preferred,easi_order_preferred
SY + Stata FE control function,aids,1,2,0,634,50,1,,,,170.80627,-6741.6543,-6449.7373,,,0,0,0,0
SY + Stata FE control function,easi,1,2,0,634,50,1,,,,170.84697,-6741.0503,-6449.1333,,,0,1,0,1
SY + Stata FE control function,easi,2,2,430,634,54,0,,,,,,,,,0,0,0,0
SY + Stata FE control function,easi,3,2,0,634,58,1,,,,162.11333,-6858.1211,-6519.4971,0.33489105,,0,0,0,0
SY + Stata FE control function,quaids,2,2,0,634,54,1,,,,162.8371,-6854.8242,-6539.5532,6.143172e-08,,1,1,1,0
No SY + Stata FE control function,aids,1,2,0,634,46,1,,,,178.3437,-6640.1436,-6371.5796,,,0,0,0,0
No SY + Stata FE control function,easi,1,2,0,634,46,1,,,,178.40974,-6639.2046,-6370.6406,,,0,0,0,0
No SY + Stata FE control function,easi,2,2,0,634,50,1,,,,171.91058,-6725.3115,-6433.3945,5.1666539e-05,,0,0,0,0
No SY + Stata FE control function,easi,3,2,0,634,54,1,,,,167.57071,-6782.1548,-6466.8843,3.6630412e-05,,1,1,1,1
No SY + Stata FE control function,quaids,2,2,0,634,50,1,,,,172.58607,-6715.3662,-6423.4492,8.1746082e-05,,0,1,0,0
