model,order,gmm_steps,return_code,N,parameters,converged,J,J_df,J_p,rss,aic,bic,Engel_order_p,precommitment_p,raw_bic_minimum,family_test_preferred,bic_preferred,easi_order_preferred
aids,1,2,0,634,46,1,,,,178.3437,-6640.1436,-6371.5796,,,0,0,0,0
easi,1,2,0,634,46,1,,,,178.40974,-6639.2046,-6370.6406,,,0,0,0,0
easi,2,2,0,634,50,1,,,,171.91058,-6725.3115,-6433.3945,.000051666539,,0,0,0,0
easi,3,2,0,634,54,1,,,,167.57071,-6782.1548,-6466.8843,.000036630412,,1,1,1,1
quaids,2,2,0,634,50,1,,,,172.58607,-6715.3662,-6423.4492,.000081746082,,0,1,0,0
