model,order,elasticity_type,demand_good,shock_good,reference_share,elasticity
easi,1,expenditure,1,0,.1212046998838247,1.3832073
easi,1,expenditure,2,0,.2188882270866644,.76739031
easi,1,expenditure,3,0,.1683827559114346,.85739702
easi,1,expenditure,4,0,.0217597261443334,-.56651306
easi,1,expenditure,5,0,.4697645909737427,1.1331897
easi,1,marshallian,1,1,.1212046998838247,-1.8153403
easi,1,hicksian,1,1,.1212046998838247,-1.647689
easi,1,marshallian,2,1,.2188882270866644,.33975965
easi,1,hicksian,2,1,.2188882270866644,.43277097
easi,1,marshallian,3,1,.1683827559114346,.39442265
easi,1,hicksian,3,1,.1683827559114346,.4983432
easi,1,marshallian,4,1,.0217597261443334,-1.5467997
easi,1,hicksian,4,1,.0217597261443334,-1.6154637
easi,1,marshallian,5,1,.4697645909737427,-.017673435
easi,1,hicksian,5,1,.4697645909737427,.11967447
easi,1,marshallian,1,2,.1212046998838247,.47878996
easi,1,hicksian,1,2,.1212046998838247,.78155774
easi,1,marshallian,2,2,.2188882270866644,-1.499081
easi,1,hicksian,2,2,.2188882270866644,-1.3311082
easi,1,marshallian,3,2,.1683827559114346,.49973759
easi,1,hicksian,3,2,.1683827559114346,.68741173
easi,1,marshallian,4,2,.0217597261443334,1.268036
easi,1,hicksian,4,2,.0217597261443334,1.144033
easi,1,marshallian,5,2,.4697645909737427,-.12884742
easi,1,hicksian,5,2,.4697645909737427,.11919446
easi,1,marshallian,1,3,.1212046998838247,.45941144
easi,1,hicksian,1,3,.1212046998838247,.69231969
easi,1,marshallian,2,3,.2188882270866644,.39958555
easi,1,hicksian,2,3,.2188882270866644,.52880085
easi,1,marshallian,3,3,.1683827559114346,-2.9466064
easi,1,hicksian,3,3,.1683827559114346,-2.8022354
easi,1,marshallian,4,3,.0217597261443334,-3.919559
easi,1,hicksian,4,3,.0217597261443334,-4.0149498
easi,1,marshallian,5,3,.4697645909737427,.57457727
easi,1,hicksian,5,3,.4697645909737427,.76538688
easi,1,marshallian,1,4,.1212046998838247,-.32012036
easi,1,hicksian,1,4,.1212046998838247,-.29002216
easi,1,marshallian,2,4,.2188882270866644,.097030357
easi,1,hicksian,2,4,.2188882270866644,.11372856
easi,1,marshallian,3,4,.1683827559114346,-.53749973
easi,1,hicksian,3,4,.1683827559114346,-.518843
easi,1,marshallian,4,4,.0217597261443334,-2.1131063
easi,1,hicksian,4,4,.0217597261443334,-2.1254334
easi,1,marshallian,5,4,.4697645909737427,.28160459
easi,1,hicksian,5,4,.4697645909737427,.30626246
easi,1,marshallian,1,5,.1212046998838247,-.18594806
easi,1,hicksian,1,5,.1212046998838247,.46383375
easi,1,marshallian,2,5,.2188882270866644,-.10468492
easi,1,hicksian,2,5,.2188882270866644,.25580788
easi,1,marshallian,3,5,.1683827559114346,1.7325487
easi,1,hicksian,3,5,.1683827559114346,2.1353235
easi,1,marshallian,4,5,.0217597261443334,6.8779421
easi,1,hicksian,4,5,.0217597261443334,6.611814
easi,1,marshallian,5,5,.4697645909737427,-1.8428507
easi,1,hicksian,5,5,.4697645909737427,-1.3105183
