margin,diagnostic,value,threshold,passed
latent,adding_up_max_abs_error,0,9.9999999e-09,1
latent,positive_fitted_share_rate,.0236593059936909,1,0
latent,positive_expenditure_elasticities,.76,1,0
latent,negative_hicksian_own_elasticities,.8666666666666667,1,0
latent,slutsky_symmetry_max_abs_error,5.31241717283e-14,.000099999997,1
latent,slutsky_max_eigenvalue,.2566594433990104,0,0
latent,adding_up_homogeneity_symmetry_imposed,1,1,1
