source,old_r_model,metric,demand_good,shock_good,old_r_value,stata_same_model_sy,stata_preferred_easi3_no_sy,stata_minus_r_same_model,stata_preferred_minus_r_quaids,demand_good_zh,shock_good_zh
R_2026_06_14,AIDS,expenditure,corn,,0.9668,0.66629618,,-0.30050382,,玉米,
R_2026_06_14,AIDS,expenditure,sorghum,,0.9318,0.77151972,,-0.16028027999999994,,高粱,
R_2026_06_14,AIDS,expenditure,cassava,,0.9521,0.82318145,,-0.12891854999999997,,木薯干,
R_2026_06_14,AIDS,expenditure,oats,,0.6809,0.59006077,,-0.09083922999999994,,燕麦,
R_2026_06_14,AIDS,expenditure,barley,,1.155,1.0304965,,-0.1245035000000001,,大麦,
R_2026_06_14,QUAIDS,expenditure,corn,,0.9767,2.4561903,1.2003548,1.4794902999999997,0.22365479999999993,玉米,
R_2026_06_14,QUAIDS,expenditure,sorghum,,0.8218,0.60202986,0.81109929,-0.21977013999999995,-0.010700709999999947,高粱,
R_2026_06_14,QUAIDS,expenditure,cassava,,0.8038,0.62750787,0.97273868,-0.17629213,0.16893868,木薯干,
R_2026_06_14,QUAIDS,expenditure,oats,,0.5553,0.67884427,0.82646883,0.12354427000000001,0.27116883,燕麦,
R_2026_06_14,QUAIDS,expenditure,barley,,1.308,1.5669527,1.0497178,0.25895270000000004,-0.2582822,大麦,
R_2026_06_14,QUAIDS,marshallian,corn,corn,-0.9798,-4.190568,-1.2741367,-3.210768,-0.2943366999999999,玉米,玉米
R_2026_06_14,QUAIDS,marshallian,sorghum,sorghum,-0.946,-1.5982471,-1.1470189,-0.6522471000000001,-0.2010189,高粱,高粱
R_2026_06_14,QUAIDS,marshallian,cassava,cassava,-0.9633,-2.6754732,-2.6294622,-1.7121731999999998,-1.6661621999999998,木薯干,木薯干
R_2026_06_14,QUAIDS,marshallian,oats,oats,-0.9515,-1.282813,-1.2804241,-0.33131299999999997,-0.32892410000000005,燕麦,燕麦
R_2026_06_14,QUAIDS,marshallian,barley,barley,-1.116,-2.6948109,-1.9094537,-1.5788108999999997,-0.7934536999999999,大麦,大麦
R_2026_06_14,QUAIDS,hicksian,corn,corn,-0.7352,-4.1187425,-1.1055127,-3.3835425,-0.37031270000000005,玉米,玉米
R_2026_06_14,QUAIDS,hicksian,sorghum,sorghum,-0.8029,-1.4541036,-1.0196128,-0.6512036000000001,-0.21671280000000004,高粱,高粱
R_2026_06_14,QUAIDS,hicksian,cassava,cassava,-0.8265,-2.5685034,-2.4280202,-1.7420034,-1.6015202000000002,木薯干,木薯干
R_2026_06_14,QUAIDS,hicksian,oats,oats,-0.9111,-1.1285775,-1.2158024,-0.2174775,-0.30470240000000004,燕麦,燕麦
R_2026_06_14,QUAIDS,hicksian,barley,barley,-0.6806,-2.1719849,-1.4715474,-1.4913849,-0.7909474,大麦,大麦
