model,order,elasticity_type,demand_good,shock_good,reference_share,elasticity
quaids,2,expenditure,1,0,.2042760150517547,1.1799172
quaids,2,expenditure,2,0,.1801935062596953,.88286507
quaids,2,expenditure,3,0,.1908658598825598,.94313174
quaids,2,expenditure,4,0,.0588993801447362,.70614332
quaids,2,expenditure,5,0,.3657652386612539,1.0342196
quaids,2,marshallian,1,1,.2042760150517547,-1.2771634
quaids,2,hicksian,1,1,.2042760150517547,-1.0361346
quaids,2,marshallian,2,1,.1801935062596953,.19464578
quaids,2,hicksian,2,1,.1801935062596953,.37499392
quaids,2,marshallian,3,1,.1908658598825598,.094022125
quaids,2,hicksian,3,1,.1908658598825598,.28668132
quaids,2,marshallian,4,1,.0588993801447362,-.47387066
quaids,2,hicksian,4,1,.0588993801447362,-.32962251
quaids,2,marshallian,5,1,.3657652386612539,.086145416
quaids,2,hicksian,5,1,.3657652386612539,.29741168
quaids,2,marshallian,1,2,.2042760150517547,.11817172
quaids,2,hicksian,1,2,.2042760150517547,.33078516
quaids,2,marshallian,2,2,.1801935062596953,-1.0956976
quaids,2,hicksian,2,2,.1801935062596953,-.93661106
quaids,2,marshallian,3,2,.1908658598825598,.025623525
quaids,2,hicksian,3,2,.1908658598825598,.19556974
quaids,2,marshallian,4,2,.0588993801447362,.16754244
quaids,2,hicksian,4,2,.0588993801447362,.2947849
quaids,2,marshallian,5,2,.3657652386612539,-.059202898
quaids,2,hicksian,5,2,.3657652386612539,.12715676
quaids,2,marshallian,1,3,.2042760150517547,.042655565
quaids,2,hicksian,1,3,.2042760150517547,.26786149
quaids,2,marshallian,2,3,.1801935062596953,.03864399
quaids,2,hicksian,2,3,.1801935062596953,.20715278
quaids,2,marshallian,3,3,.1908658598825598,-2.7479694
quaids,2,hicksian,3,3,.1908658598825598,-2.5679576
quaids,2,marshallian,4,3,.0588993801447362,.085349232
quaids,2,hicksian,4,3,.0588993801447362,.2201279
quaids,2,marshallian,5,3,.3657652386612539,.85553163
quaids,2,hicksian,5,3,.3657652386612539,1.0529289
quaids,2,marshallian,1,4,.2042760150517547,-.16453722
quaids,2,hicksian,1,4,.2042760150517547,-.095040828
quaids,2,marshallian,2,4,.1801935062596953,.044355363
quaids,2,hicksian,2,4,.1801935062596953,.096355565
quaids,2,marshallian,3,4,.1908658598825598,.012379488
quaids,2,hicksian,3,4,.1908658598825598,.067929365
quaids,2,marshallian,4,4,.0588993801447362,-1.3574643
quaids,2,hicksian,4,4,.0588993801447362,-1.3158729
quaids,2,marshallian,5,4,.3657652386612539,.12114345
quaids,2,hicksian,5,4,.3657652386612539,.18205835
quaids,2,marshallian,1,5,.2042760150517547,.10095605
quaids,2,hicksian,1,5,.2042760150517547,.53252876
quaids,2,marshallian,2,5,.1801935062596953,-.064812563
quaids,2,hicksian,2,5,.1801935062596953,.25810876
quaids,2,marshallian,3,5,.1908658598825598,1.6728123
quaids,2,hicksian,3,5,.1908658598825598,2.0177772
quaids,2,marshallian,4,5,.0588993801447362,.87229997
quaids,2,hicksian,4,5,.0588993801447362,1.1305827
quaids,2,marshallian,5,5,.3657652386612539,-2.0378373
quaids,2,hicksian,5,5,.3657652386612539,-1.6595557
