Year,model,全国户外消费系数_daogu,全国户外消费系数_xiaomai,全国户外消费系数_doulei,全国户外消费系数_zaliang,全国户外消费系数_shucai,全国户外消费系数_zhurou,全国户外消费系数_niurou,全国户外消费系数_yangrou,全国户外消费系数_qinlei,全国户外消费系数_shuichanpin,全国户外消费系数_danlei,全国户外消费系数_nailei,全国户外消费系数_guaguo,全国户外消费系数_youliao,全国户外消费系数_tang
2015,lightgbm,1.1348041425955815,1.177499359665064,1.278174544104971,1.2077740079497983,1.07285812106862,1.2338321254723417,1.25488314172658,1.0334546606248463,1.243417976139457,1.1421014866715213,1.127128322005601,1.026852045760716,1.0498563264402707,1.0000025949027558,1.0107685745419386
2016,lightgbm,1.114390780194351,1.1811710341319541,1.226258610044355,1.2080998728986212,1.051104205194613,1.1813560585542153,1.2676071379682838,1.0318799708625825,1.2544876522680246,1.1641544246325486,1.1174379116195066,1.0198544466536492,1.051637631459089,1.0001909844172274,1.0099672259215378
2017,lightgbm,1.1055115468005987,1.1516347531061897,1.223420058228699,1.1634805202804457,1.0573334209817848,1.1528232400563325,1.2483470810098354,1.0537424979881698,1.2461946131528305,1.1619065703125064,1.1262300077352634,1.0124297929176311,1.0598510602095448,1.0000010616079373,1.006679697303545
2018,lightgbm,1.1944738886772346,1.1912614187225905,1.2746259224669199,1.2275939559497624,1.1145126990974499,1.2682507606755886,1.2680161846988562,1.0287683427325833,1.224645615396151,1.2215493834987547,1.1414497537775032,1.035681431746203,1.0730444818390552,1.0000152473395523,1.0078666189505552
2019,lightgbm,1.0981937853820034,1.185562806610331,1.1873971190382915,1.1874589578203325,1.060026183427192,1.1822208475337805,1.2533273694662797,1.033411168235401,1.2326578970375157,1.1470978048947427,1.1078426249440954,1.026711407359254,1.0465707635866934,1.0000013121845313,1.0105410719665229
2020,lightgbm,1.127943189671648,1.1529971075456498,1.1815444469194731,1.1530943889691896,1.0693200033939132,1.1806499754936288,1.254736618230844,1.0499325872944365,1.2604493718540832,1.1453271944106824,1.1030723352745955,1.0111951598173787,1.050307597603091,1.0007076755149684,1.0106747153401376
2021,lightgbm,1.0984536385079462,1.1925897286234306,1.1987371039757515,1.1846618611287296,1.0651064487668724,1.1705180910379689,1.2580400202915158,1.0379744839435163,1.2636032977293274,1.1497893300677835,1.1238820237194633,1.0145174979955238,1.0484672670865287,1.0000006610813916,1.0046247042154948
2022,lightgbm,1.1025689512790537,1.1719582690497656,1.186389971369828,1.1922270841725828,1.0497322544656185,1.1585253341222785,1.2492823301372813,1.0401493152473344,1.2315116609835852,1.1467006269086253,1.1186590926708173,1.0337034685294173,1.048830871169096,1.0000012270374117,1.0035094469150696
2023,lightgbm,1.119814868496667,1.1708360327157117,1.2041175017906671,1.1741788398595767,1.0561032154643077,1.1642216924379034,1.2466207213413687,1.0370120124887192,1.2592619983051352,1.164571300005541,1.1133019969642763,1.0159088017224467,1.058593917974637,1.000000003611597,1.008733770778297
2024,lightgbm,1.109851704061575,1.1748499399221726,1.2004770215860978,1.1772924825333897,1.0615821959692184,1.1679335863324887,1.2378274001079625,1.0442679739000378,1.2593892944405078,1.1489997438690742,1.1171094313279537,1.0127830261662436,1.051440404487367,1.0000000036109025,1.0013540929625704
2015,lasso,1.0884742722009024,1.1393970806627405,1.1884191177408587,1.1397247765331882,1.0442908405744549,1.186767009778306,1.2391060227959045,1.0094274774421679,1.2234396352078798,1.1529778761651528,1.1003770123103243,1.008220889106301,1.06824168030241,1.0000438077714986,1.0014173522773206
2016,lasso,1.0911525422205561,1.1238060871050566,1.177258277630486,1.1311350399609867,1.045594247138956,1.1792257062736615,1.2201871348465756,1.0094273199333401,1.2211325655252183,1.155296310997352,1.096536226971753,1.0082208891063007,1.0693625521798618,1.0000438077714986,1.0014173522773209
2017,lasso,1.0919815978511103,1.1202946636030642,1.180716463895844,1.1398103186209982,1.046101680241792,1.175849657728333,1.258063183387243,1.0094271389070213,1.2257829073500406,1.1497579249878307,1.0944073130297853,1.008220889106301,1.0644241987880745,1.0000438077714986,1.0014173522773206
