model,MAE,RMSE,R2,MAPE,rank_MAE,rank_RMSE,rank_R2
tabpfn,0.07973824056164122,0.14420605789987231,-421636974.3808973,24.204458856366582,1,2,3
tabm,0.08521135200557137,0.14477327051692548,-1322064894.846565,24.426684980593844,2,5,4
fttransformer,0.08650700716585212,0.1432275098343758,-115828379.19179948,24.369237678702483,3,1,1
lightgbm,0.0872282805876202,0.14724091502132455,-2371860368.121377,24.379246463524225,4,6,6
randomforest,0.0872373365460307,0.15207076239491538,-6526667265.939076,24.428191221839075,5,7,8
linear,0.08792104235316664,0.14440674526266348,-1593026749.8760252,24.5484603567129,6,4,5
xgboost,0.08803586719531374,0.15730841960409983,-17155129817.21643,24.42471858362433,7,9,9
lasso,0.08959990070627971,0.1442351489229246,-395924408.7163098,25.1808812655085,8,3,2
catboost,0.09252917421569809,0.1563820591292433,-3316458445.6976457,26.0579802353997,9,8,7
resnet_tabular,0.10535929403503193,0.16457527923629783,-27189479585.02649,26.19458430848145,10,10,10
tabnet,0.1696344986418787,0.24549890566708002,-981175713089.1422,32.6647189640689,11,11,11
mlp,0.22898029048338187,0.2826632017724421,-1327933651870.9858,38.43869344478473,12,12,12
