model,category,MAE,RMSE,R2,MAPE
lightgbm,q_daogu,0.1186997863275449,0.17452304086919046,0.043721320406003496,32.93250160142062
lasso,q_daogu,0.12285729143946322,0.17303637722862103,0.060174061835613024,34.30393971435791
linear,q_daogu,0.11992777144726652,0.1722589718786158,0.06849997940542303,33.86156403841688
xgboost,q_daogu,0.12003544458352589,0.178051918957215,0.004104245921010929,32.71144163063513
catboost,q_daogu,0.11848287628311446,0.17226226578723464,0.06835549563735202,33.442824735094085
randomforest,q_daogu,0.11911398846935155,0.17663417554372887,0.020457592600355824,32.70197148134888
mlp,q_daogu,0.12005079116712339,0.17371693937174285,0.052385248657051256,33.72855952396304
tabnet,q_daogu,0.12324913922466738,0.17743028617001333,0.011213624443376102,33.52865833641556
tabm,q_daogu,0.12243708451274564,0.17500636425739385,0.03845889124445674,33.889741342678704
tabpfn,q_daogu,0.11009982192365371,0.172376462506373,0.06736263598938111,33.24962121952503
resnet_tabular,q_daogu,0.11909840960681636,0.17408701373714383,0.04857930202046719,33.78012103971533
fttransformer,q_daogu,0.11755591984843936,0.17163572320505202,0.0753236882486028,33.66513795409132
lightgbm,q_xiaomai,0.1380052072378775,0.20074440330433493,0.03549054266205627,83.55909193811448
lasso,q_xiaomai,0.14369125330506197,0.2012378049069356,0.03113749989530361,87.9151527559559
linear,q_xiaomai,0.1395579769937607,0.19885800576825882,0.053660224674200195,83.03320625447947
xgboost,q_xiaomai,0.13941544613205475,0.20538971916256674,-0.010196112408215895,84.61971152511283
catboost,q_xiaomai,0.1372409080377328,0.19743009579363738,0.06718811616851332,82.83218845798717
randomforest,q_xiaomai,0.1385483807592453,0.20281413898801337,0.015249080205993314,84.36387023548046
mlp,q_xiaomai,0.13559451120685095,0.19995141664048247,0.04329724379765869,84.2000176255519
tabnet,q_xiaomai,0.13770552417702556,0.20160400823207505,0.027594079055081842,84.24505115942671
tabm,q_xiaomai,0.1301853055132145,0.19845131907794217,0.05760341478847093,83.83154376419739
tabpfn,q_xiaomai,0.12664674737228962,0.19894518933625815,0.05314209488772892,85.58379363912418
resnet_tabular,q_xiaomai,0.14041139157585952,0.19985981499052427,0.043691033774672164,83.21840044712063
fttransformer,q_xiaomai,0.13788332193867855,0.19784790285709902,0.06328767661406617,82.79013128721562
lightgbm,q_doulei,0.13062388586417284,0.1986021968770277,0.005246705291805686,34.15087742808753
lasso,q_doulei,0.13624976225983948,0.1976296044613855,0.015622089533855155,35.28450066390439
linear,q_doulei,0.13100795745047855,0.19514929082465976,0.03998430378604527,34.33770474719995
xgboost,q_doulei,0.13118827525617727,0.20192575857636866,-0.02860835090576359,34.16150065778343
catboost,q_doulei,0.12980522196551286,0.19502525545596977,0.04112650799831132,33.99870641869495
randomforest,q_doulei,0.13059766120519387,0.20036325735135319,-0.012825429251384768,34.17206663840265
mlp,q_doulei,0.131988390455325,0.19636230149750183,0.027999655609155006,34.25957557301613
tabnet,q_doulei,0.134221434308675,0.19649273542755769,0.026282725812850582,34.332773132695685
tabm,q_doulei,0.12927552717143448,0.19507522401631208,0.040685331784538016,34.12524546681234
tabpfn,q_doulei,0.13185702294204166,0.19560890915906531,0.0353991104028726,34.17173392065165
resnet_tabular,q_doulei,0.13099681967886595,0.19641605076727556,0.027122278048066994,34.10426679723912
fttransformer,q_doulei,0.12937446122246882,0.19519355875923958,0.039436233002913455,34.04571020662407
lightgbm,q_zaliang,0.11723607069192735,0.1936377479932992,-0.017876969354402993,48.37409925265264
lasso,q_zaliang,0.11884340340543395,0.1905362213474156,0.014400147122811813,49.08632421048719
linear,q_zaliang,0.11716692822121191,0.18974238474817168,0.022680329223645778,48.387178255162006
xgboost,q_zaliang,0.11804742420044959,0.19794272322845727,-0.06364173568582428,48.07301822914458
catboost,q_zaliang,0.11658541887525464,0.1906982523169294,0.012821780237629522,48.377267357900145
randomforest,q_zaliang,0.11798482615909349,0.1970939640368487,-0.054629992463140334,48.578617250822504
mlp,q_zaliang,0.11908993880088074,0.19193765443054617,-7.069716646777025e-05,48.463369881886734
tabnet,q_zaliang,0.11027440413521875,0.19196725149903948,-0.0004662260511321348,48.06206448401895
tabm,q_zaliang,0.10985966673753325,0.19097863592442693,0.009886045361300421,48.02770416405084
tabpfn,q_zaliang,0.10586112129337633,0.19124691625579177,0.007034623337846946,48.33404415699867
resnet_tabular,q_zaliang,0.11644346351446297,0.19242169307838897,-0.005144662857845028,48.35569269017222
fttransformer,q_zaliang,0.11584297075501622,0.18977652747433243,0.022334230851639214,48.253461904321384
lightgbm,q_shucai,0.10461945309938803,0.1593163889578914,0.04283406553405609,21.057662084280796
lasso,q_shucai,0.10820258691961093,0.15843798262191772,0.05399183916599235,21.858142875105525
linear,q_shucai,0.1056651341926734,0.1576998389161755,0.06253555090627631,21.374916336332863
xgboost,q_shucai,0.10533715676033166,0.1617654473657142,0.013315072740029566,21.034909863152897
catboost,q_shucai,0.10413207365478375,0.15710328182659797,0.06943131078990734,21.004877227418852
randomforest,q_shucai,0.10535650714437343,0.16186402157658147,0.011447518530471079,21.153727149758453
mlp,q_shucai,0.10526005141027475,0.1587732134574719,0.04960739619031127,21.125164367090605
tabnet,q_shucai,0.10215110808889911,0.15969777377619596,0.039068389347888054,21.26722589489345
tabm,q_shucai,0.10541968184954516,0.1575963217246335,0.0639520438389735,21.183026182609474
tabpfn,q_shucai,0.09404123627255892,0.15829633222962675,0.05581072242904472,20.534647840847754
resnet_tabular,q_shucai,0.10900242657078585,0.1590904711877273,0.045777768107789864,21.431932448964268
fttransformer,q_shucai,0.10629326301123594,0.15768224503326006,0.06236872871499153,21.188359033097708
lightgbm,q_zhurou,0.12912113117835475,0.18852992273722488,0.020729239033880086,27.116065929369825
lasso,q_zhurou,0.13393876156985818,0.18863973815262283,0.019501031273051073,28.214698785462765
linear,q_zhurou,0.1309054902290761,0.18741280977333535,0.03232035008498126,27.655798275916233
xgboost,q_zhurou,0.12933389223609115,0.19011737561735778,0.004003649130107112,26.74771942927549
catboost,q_zhurou,0.12904211423600873,0.18618549573427273,0.04508567653380333,27.250372916081517
randomforest,q_zhurou,0.1294127903070784,0.19056153139883394,-0.0008400467514069421,26.939641668318966
mlp,q_zhurou,0.13113119146102722,0.18812918524869837,0.024586457019523576,27.5278747446422
tabnet,q_zhurou,0.13275721926826983,0.18819644000116992,0.02423375331961184,27.78145922976903
tabm,q_zhurou,0.12226970769183376,0.18683628546239187,0.0385202319706089,27.041508047011927
tabpfn,q_zhurou,0.1203478012275601,0.1872025814109089,0.03492295667575403,26.931864861589606
resnet_tabular,q_zhurou,0.13132454156622278,0.1892765088529595,0.01191663335823583,27.56186007058532
fttransformer,q_zhurou,0.13045607955098534,0.1865301829120307,0.04134870396370087,27.469599734669366
lightgbm,q_niurou,0.09871672196337236,0.1653720438717758,-0.03905594668970802,17.418181736355457
lasso,q_niurou,0.10270522522299715,0.16262445721376756,-0.0018573422850054922,18.28398928587108
linear,q_niurou,0.10025006120324806,0.16246676653214642,-0.0008615353601839404,17.87633723512584
xgboost,q_niurou,0.09903966303471345,0.1741255019511762,-0.15178707219948065,17.399688878960166
catboost,q_niurou,0.09795649909755898,0.16293955518141695,-0.005631158767544497,17.492028631004946
randomforest,q_niurou,0.1004453153894435,0.1720370795649732,-0.1291858433345959,17.603990522337227
mlp,q_niurou,0.10087087631811457,0.16488137859571328,-0.028559306395907712,17.78848242291177
tabnet,q_niurou,0.09170521432175074,0.16666571575961536,-0.05052053754082917,17.263141318078745
tabm,q_niurou,0.09908666393585351,0.16092600725463083,0.01925641667254001,17.663502656497236
tabpfn,q_niurou,0.08149205167042031,0.1619235301714296,0.00826370504822933,16.325741323023664
resnet_tabular,q_niurou,0.11048725001561148,0.1703285053053561,-0.09798035665684365,18.770836204819382
fttransformer,q_niurou,0.0989454178175246,0.16225782454476773,0.0030855660350372683,17.597435188103127
lightgbm,q_yangrou,0.06195920596481945,0.14048151836840866,-0.2173409999358117,14.627597650260682
lasso,q_yangrou,0.06191498730274366,0.13354718488231587,-0.047858288287414896,15.00338926877476
linear,q_yangrou,0.06337467593283407,0.13514254387948377,-0.08839443245939911,14.952878915270546
xgboost,q_yangrou,0.06665992447962057,0.18495111709576711,-1.2623788459222705,15.017036012983874
catboost,q_yangrou,0.060106056704054944,0.1455168385196714,-0.30765056799234325,14.607155893543574
randomforest,q_yangrou,0.058317217786005515,0.15710244522204522,-0.5752180030224188,14.472632378192944
mlp,q_yangrou,0.38749755549968473,0.43394220640412656,-14.293027413762369,44.93113091398976
tabnet,q_yangrou,0.08715425780975301,0.1570303119484553,-0.6437049138610413,17.2405724738695
tabm,q_yangrou,0.06305342538496805,0.1349031458623402,-0.08035412325159244,15.091404852720771
tabpfn,q_yangrou,0.055146072022495995,0.137804310126351,-0.12457795472524906,14.46085417979361
resnet_tabular,q_yangrou,0.08458141913680191,0.15333875928027338,-0.4326963776255637,16.88275583146099
fttransformer,q_yangrou,0.059202584517836235,0.13356711188024012,-0.04312930229138954,14.86835842921146
lightgbm,q_qinlei,0.09239418347236564,0.1582086914613111,-0.040834264902298,16.359090835974506
lasso,q_qinlei,0.09483349809336465,0.1541608085573533,0.011820991040096906,16.807392022672275
linear,q_qinlei,0.09267184128049817,0.15378039320484152,0.016764412773614824,16.464053169771176
xgboost,q_qinlei,0.09175482047461098,0.16257807363604967,-0.09868092305093552,16.267240839070787
catboost,q_qinlei,0.0922842560564823,0.1550470076728263,0.0004686304671789321,16.408682370166026
randomforest,q_qinlei,0.0914198383716794,0.1603681391229716,-0.06929824007841581,16.293440992206456
mlp,q_qinlei,0.09369429048483956,0.15562258469475004,-0.007283049337500435,16.545530939899187
tabnet,q_qinlei,0.10207041207194711,0.156984541362975,-0.02502462515417352,17.16535531798969
tabm,q_qinlei,0.08412993956341874,0.15431973628512546,0.009983278050992351,15.781345629381661
tabpfn,q_qinlei,0.08397977482765208,0.1545551001963798,0.0068580117091464835,15.800126264155272
resnet_tabular,q_qinlei,0.09786680240133386,0.15945200314602495,-0.058661650151809706,16.96827730901333
fttransformer,q_qinlei,0.09172992940712173,0.15414914151364317,0.012315459834056264,16.36411904184361
lightgbm,q_shuichanpin,0.09581119729025131,0.1638185165041623,-0.008662976125626342,26.438266740805943
lasso,q_shuichanpin,0.10007845355508305,0.16164990657074593,0.018424488296441964,27.067504868291234
linear,q_shuichanpin,0.09715924503768586,0.16057638409756583,0.03082719435059187,26.662420715975866
xgboost,q_shuichanpin,0.09733554513741528,0.1700449592795233,-0.0871460019395284,26.66532059360997
catboost,q_shuichanpin,0.09590854433590924,0.16102847938080905,0.02607230753019483,26.501725151171467
randomforest,q_shuichanpin,0.09548680047573135,0.16659947489726828,-0.04326528466416244,26.43404505263909
mlp,q_shuichanpin,0.0982685777107842,0.1618116468832193,0.01631860850075706,26.595318029069034
tabnet,q_shuichanpin,0.10408345905408709,0.16401464004297853,-0.011805704512685988,26.98518492111059
tabm,q_shuichanpin,0.09388802441375864,0.16192465425694866,0.015300905895223371,26.280837699133293
tabpfn,q_shuichanpin,0.08261580963228077,0.1613758129968605,0.021540041862626702,25.557943608148356
resnet_tabular,q_shuichanpin,0.10169214773229389,0.16355108128750656,-0.004878060337836554,26.88016248335233
fttransformer,q_shuichanpin,0.09650523565472373,0.1607664715613312,0.028597400062591795,26.42165557436537
lightgbm,q_danlei,0.09064548702647539,0.154495633619983,-0.005917730085380079,16.206430081325088
lasso,q_danlei,0.09349952979398021,0.15236226527544236,0.021889072132486163,16.708462220052013
linear,q_danlei,0.09061984090956483,0.15086471119154604,0.04090353770696169,16.22094318263405
xgboost,q_danlei,0.09169442074586232,0.15841977324775008,-0.05811958082748703,16.338064866142712
catboost,q_danlei,0.09009969526419051,0.15135813852415436,0.03464044824383798,16.138729334074224
randomforest,q_danlei,0.09070695770204197,0.1566653015039301,-0.034482102381392064,16.243444917248016
mlp,q_danlei,0.09366167728090753,0.15218942596681811,0.02425437456824029,16.42371394154643
tabnet,q_danlei,0.08792026241234649,0.15210696647743274,0.02492087732163193,15.95272771784558
tabm,q_danlei,0.08392550762022592,0.1515256362189535,0.032574436349371336,15.685648966072833
tabpfn,q_danlei,0.08574341571109498,0.15105200834481497,0.038465106394862315,15.794553751897098
resnet_tabular,q_danlei,0.09140117499723208,0.15374858944372322,0.003960644495140974,16.23915159849694
fttransformer,q_danlei,0.08959086704307599,0.1509237222901928,0.04010265806838418,16.071835342502133
lightgbm,q_nailei,0.04957687951764043,0.11416827837694758,-0.055629205339386645,11.878252537289622
lasso,q_nailei,0.0506139953638151,0.11105894884247132,0.009862372149385568,12.052364466127788
linear,q_nailei,0.050472930538753194,0.11214232328479615,-0.011225778302713008,11.916880443121595
xgboost,q_nailei,0.04934732595686778,0.12317271664571046,-0.23743137495802258,11.783868801566182
catboost,q_nailei,0.0492546732125108,0.11377230260119069,-0.046299131719714046,11.816537703757069
randomforest,q_nailei,0.04868293763184453,0.11980081179040669,-0.17142442118243162,11.773225829287956
mlp,q_nailei,0.05168828204514299,0.11570704348007851,-0.07545478244292622,12.023083298220048
tabnet,q_nailei,0.051649066343739135,0.11598007415927569,-0.09349441383922405,12.075211143451272
tabm,q_nailei,0.045493799730009464,0.11111003936061162,0.008615602510462117,11.519246343631917
tabpfn,q_nailei,0.055161622229788154,0.1150274925287496,-0.06452922213535199,12.494745666878586
resnet_tabular,q_nailei,0.06386404425322262,0.11920758445081077,-0.14979375417220392,12.960176557302068
fttransformer,q_nailei,0.04824142614720256,0.11252863299328415,-0.024318338219649283,11.759891080640429
lightgbm,q_guaguo,0.055026886657579634,0.11827889107621181,-0.041355262548640456,11.015001686079383
lasso,q_guaguo,0.05552953440161594,0.11578297501232881,0.002837053797282563,11.099448022653352
linear,q_guaguo,0.05529383872538931,0.11586430362911404,0.0013576007431138847,11.062941361088852
xgboost,q_guaguo,0.05573588083973854,0.12169562493797248,-0.10383145289137397,11.033213271057523
catboost,q_guaguo,0.0550202341949807,0.11647782157155177,-0.00954005928589725,11.034951232965243
randomforest,q_guaguo,0.05533364033180903,0.12114131651503868,-0.09367727318277605,11.020109483699446
mlp,q_guaguo,0.05672716224208023,0.11781286237036319,-0.03326496957984064,11.201431324980017
tabnet,q_guaguo,0.06552189422343914,0.11864044950278892,-0.04715987078168808,11.98569006087276
tabm,q_guaguo,0.06067751448761809,0.11661726867884296,-0.011369386917421087,11.52460908172107
tabpfn,q_guaguo,0.04844537320896337,0.11728787708915873,-0.023261450473389365,10.407322935700453
resnet_tabular,q_guaguo,0.05795412814653912,0.11853222907201522,-0.04524969118148938,11.313870381106486
fttransformer,q_guaguo,0.05524313059892263,0.11553345768842785,0.007129451518853957,11.030399517885758
lightgbm,q_youliao,0.0,0.0,1.0,0.0
lasso,q_youliao,0.0,0.0,1.0,0.0
linear,q_youliao,0.0,0.0,1.0,0.0
xgboost,q_youliao,0.0,0.0,1.0,0.0
randomforest,q_youliao,0.0,0.0,1.0,0.0
mlp,q_youliao,0.9009465040527825,0.9076538145995394,-6282031068211.32,90.09456031071797
tabnet,q_youliao,0.496428075,0.6967918423321183,-3799992400002.8,49.64275785724214
tabm,q_youliao,0.0027538574167660307,0.004755690089825435,-360052295.82061213,0.2753854662911368
tabpfn,q_youliao,0.0,0.0,1.0,0.0
resnet_tabular,q_youliao,0.11491228597504752,0.16179328012562444,-238901452725.7548,11.491217106287646
fttransformer,q_youliao,0.0022774357880864823,0.0022796366319373386,-40918149.182278626,0.22774335106529717
lightgbm,q_tang,0.025988112522533448,0.07843645130209967,-35577905522.54201,4.555577450846793
lasso,q_tang,0.02104022796132818,0.06282295877054563,-5938866131.954592,4.027909822911321
linear,q_tang,0.024741943135058946,0.07414245121124137,-23895401249.409428,4.420082420198215
xgboost,q_tang,0.025612788092247058,0.12944558435986822,-257326947257.16608,4.518044155869374
catboost,q_tang,0.01948986710167862,0.08450403744314358,-46430418239.76311,3.905675865736515
randomforest,q_tang,0.027153186457569235,0.0980157784117375,-97900008988.94846,4.672084727843095
mlp,q_tang,0.9082345571149097,0.9214563529455793,-13636973709839.268,91.67258877428625
tabnet,q_tang,0.7176260091883625,0.8388805483145092,-10917643296333.613,72.44291141335384
tabm,q_tang,0.02571457405464529,0.0715727292835033,-19470921127.120975,4.479525046097055
tabpfn,q_tang,0.014635738090442413,0.06038834614631634,-6324554616.829889,3.4198894771647845
resnet_tabular,q_tang,0.11035310535438307,0.15752560381911346,-168940741049.02917,12.960043661585644
fttransformer,q_tang,0.018463064186463624,0.05774050817079879,-1696507539.0225956,3.7847275349006027
