province,bin,base,p15,p30,d15,d30
上海市,le0,3.5,1.16666666666667,0.333333333333333,-2.33333333333333,-3.16666666666667
上海市,b0_6,43.5333333333333,29.7,18.5,-13.8333333333333,-25.0333333333333
上海市,b6_12,72.2,72.0333333333333,66.6666666666667,-0.166666666666671,-5.53333333333333
上海市,b12_18,63.3,62.3,64.6333333333334,-1,1.33333333333334
上海市,ref18_24,86.0666666666667,78.8,72.1666666666667,-7.26666666666667,-13.9
上海市,b24_30,79.0666666666667,82.5666666666667,85.4333333333334,3.5,6.36666666666667
上海市,gt30,17.1,38.2,57.0333333333333,21.1,39.9333333333333
云南省,le0,3.77619047619048,1.81666666666667,0.425,-1.95952380952381,-3.35119047619048
云南省,b0_6,18.9377777777778,17.4727272727273,10.6939393939394,-1.46505050505052,-8.24383838383839
云南省,b6_12,59.5104166666667,45.4833333333333,33.7708333333333,-14.0270833333333,-25.7395833333333
云南省,b12_18,112.241666666667,102.26875,89.6354166666667,-9.97291666666668,-22.60625
云南省,ref18_24,144.8375,142.608333333333,131.66875,-2.22916666666669,-13.16875
云南省,b24_30,32.8642857142857,70.5023809523809,106.924444444444,37.6380952380952,74.0601587301587
云南省,gt30,0.233333333333333,0.8,3.98333333333333,0.566666666666667,3.75
内蒙古自治区,le0,127.952777777778,117.908333333333,107.805555555556,-10.0444444444444,-20.1472222222222
内蒙古自治区,b0_6,41.4277777777778,41.0583333333333,40.6805555555556,-0.369444444444447,-0.747222222222213
内蒙古自治区,b6_12,44.5138888888889,43.2138888888889,42.45,-1.3,-2.0638888888889
内蒙古自治区,b12_18,55.0527777777778,50.8388888888889,48.0333333333333,-4.21388888888888,-7.01944444444445
内蒙古自治区,ref18_24,73.5444444444445,73.0166666666667,68.5805555555556,-0.527777777777786,-4.96388888888889
内蒙古自治区,b24_30,22.0611111111111,37.7222222222222,53.4166666666667,15.6611111111111,31.3555555555556
内蒙古自治区,gt30,0.256666666666667,1.1,3.8,0.843333333333333,3.54333333333333
北京市,le0,85.9666666666667,71.5333333333333,55.2666666666667,-14.4333333333333,-30.7
北京市,b0_6,45.5,49.6,55.2666666666667,4.1,9.76666666666667
北京市,b6_12,45,42.8333333333333,42.6333333333333,-2.16666666666666,-2.36666666666667
北京市,b12_18,50.6,50.3666666666667,47.9333333333333,-0.233333333333334,-2.66666666666667
北京市,ref18_24,75.9333333333333,65.3,59.5666666666667,-10.6333333333333,-16.3666666666667
北京市,b24_30,60.4333333333333,79.6666666666667,86.7333333333333,19.2333333333333,26.3
北京市,gt30,1.33333333333333,5.46666666666667,17.3666666666667,4.13333333333333,16.0333333333333
台湾省,b6_12,2.1,0.366666666666667,0.0333333333333333,-1.73333333333333,-2.06666666666667
台湾省,b12_18,49.1,29.4333333333333,15.9,-19.6666666666667,-33.2
台湾省,ref18_24,123.133333333333,111.266666666667,95.5666666666667,-11.8666666666667,-27.5666666666667
台湾省,b24_30,181.866666666667,164.333333333333,147.433333333333,-17.5333333333333,-34.4333333333333
台湾省,gt30,8.56666666666667,59.3666666666667,105.833333333333,50.8,97.2666666666667
吉林省,le0,129.314814814815,120.281481481481,111.725925925926,-9.03333333333333,-17.5888888888889
吉林省,b0_6,39.0481481481482,38.3592592592593,37.1740740740741,-0.68888888888889,-1.87407407407408
吉林省,b6_12,41.7333333333333,40.5185185185185,39.5740740740741,-1.21481481481482,-2.15925925925926
吉林省,b12_18,54.4333333333333,49.7925925925926,46.3777777777778,-4.64074074074074,-8.05555555555556
吉林省,ref18_24,74.8740740740741,71.7296296296297,65.4185185185185,-3.14444444444443,-9.45555555555556
吉林省,b24_30,25.3222222222222,43.4407407407408,61.1592592592593,18.1185185185185,35.837037037037
吉林省,gt30,0.0611111111111111,0.644444444444444,3.33703703703704,0.583333333333333,3.27592592592593
四川省,le0,9.995,17.7476190476191,13.5266666666667,7.75261904761906,3.53166666666667
四川省,b0_6,41.6587301587302,27.5079365079365,18.3825396825397,-14.1507936507937,-23.2761904761905
四川省,b6_12,85.1587301587302,83.6079365079365,74.0936507936508,-1.55079365079365,-11.0650793650793
四川省,b12_18,85.6793650793651,82.6349206349206,81.8190476190476,-3.04444444444445,-3.86031746031748
四川省,ref18_24,87.6714285714286,89.6825396825397,89.7968253968254,2.01111111111112,2.12539682539682
四川省,b24_30,55.5070175438597,70.4929824561404,78.565,14.9859649122807,23.0579824561403
四川省,gt30,7.28809523809524,15.275,29.7020833333333,7.98690476190476,22.4139880952381
天津市,le0,67.0666666666667,48.2666666666667,30.9666666666667,-18.8,-36.1
天津市,b0_6,52.2666666666667,60.3,65.8333333333333,8.03333333333333,13.5666666666667
天津市,b6_12,43.6,42.3666666666667,43.5,-1.23333333333333,-0.100000000000001
天津市,b12_18,50,49.6,47.2666666666667,-0.399999999999999,-2.73333333333333
天津市,ref18_24,67.3666666666667,59.8333333333333,55.1,-7.53333333333332,-12.2666666666667
天津市,b24_30,79.5333333333333,89.7,87.3666666666667,10.1666666666667,7.83333333333333
天津市,gt30,4.93333333333333,14.7,34.7333333333333,9.76666666666667,29.8
宁夏回族自治区,le0,88.6333333333333,74.7466666666667,59.1466666666667,-13.8866666666667,-29.4866666666667
宁夏回族自治区,b0_6,49.84,51.9266666666667,55.3333333333333,2.08666666666667,5.49333333333334
宁夏回族自治区,b6_12,53.8066666666667,51.62,50.4466666666667,-2.18666666666668,-3.36000000000001
宁夏回族自治区,b12_18,63.46,59.5533333333333,56.1933333333333,-3.90666666666667,-7.26666666666666
宁夏回族自治区,ref18_24,80.26,79.2,75.1933333333333,-1.05999999999999,-5.06666666666666
宁夏回族自治区,b24_30,28.66,46.62,63.2466666666667,17.96,34.5866666666667
宁夏回族自治区,gt30,0.177777777777778,1.375,5.20666666666667,1.19722222222222,5.02888888888889
安徽省,le0,14.5020833333333,7.19583333333333,3.08541666666667,-7.30625,-11.4166666666667
安徽省,b0_6,59.8916666666667,49.5125,36.96875,-10.3791666666667,-22.9229166666667
安徽省,b6_12,62.30625,65.81875,67.71875,3.5125,5.41249999999999
安徽省,b12_18,62.7479166666667,59.7895833333333,58.3854166666667,-2.95833333333334,-4.36250000000001
安徽省,ref18_24,80.5833333333334,75.65625,70.4166666666667,-4.92708333333336,-10.1666666666667
安徽省,b24_30,73.8458333333334,83.6,86.5333333333333,9.75416666666666,12.6875
安徽省,gt30,11.6155555555556,23.19375,41.6583333333333,11.5781944444445,30.0427777777778
山东省,le0,46.10625,30.6770833333333,18.2520833333333,-15.4291666666667,-27.8541666666667
山东省,b0_6,63.8916666666667,64.9208333333333,61.8541666666667,1.02916666666667,-2.03749999999999
山东省,b6_12,49.8125,51.4041666666667,54.8395833333333,1.59166666666668,5.02708333333333
山东省,b12_18,58.6458333333333,55.8729166666667,52.8395833333333,-2.77291666666667,-5.80625
山东省,ref18_24,79.6458333333333,71.5395833333333,65.5104166666667,-8.10625,-14.1354166666667
山东省,b24_30,64.2375,81.46875,89.56875,17.23125,25.33125
山东省,gt30,2.58888888888889,8.88333333333333,21.9020833333333,6.29444444444444,19.3131944444444
山西省,le0,80.6606060606061,65.5151515151515,50.9,-15.1454545454545,-29.7606060606061
山西省,b0_6,53.0848484848485,55.9424242424243,57.8575757575758,2.85757575757575,4.77272727272726
山西省,b6_12,51.0909090909091,49.9606060606061,49.6727272727273,-1.13030303030303,-1.41818181818181
山西省,b12_18,60.9515151515152,56.969696969697,54.6363636363636,-3.98181818181818,-6.31515151515152
山西省,ref18_24,83.1969696969697,79.7030303030303,73.4121212121212,-3.4939393939394,-9.7848484848485
山西省,b24_30,35.4515151515152,54.5878787878788,70.9393939393939,19.1363636363637,35.4878787878788
山西省,gt30,0.403703703703704,2.08787878787879,7.34848484848485,1.68417508417508,6.94478114478114
广东省,b0_6,1.38730158730159,0.466666666666667,0.311111111111111,-0.920634920634921,-1.07619047619048
广东省,b6_12,21.2555555555556,12.9428571428571,7.05396825396825,-8.31269841269841,-14.2015873015873
广东省,b12_18,67.0857142857143,55.5095238095238,43.2873015873016,-11.5761904761905,-23.7984126984127
广东省,ref18_24,95.5825396825397,91.2126984126984,86.2349206349206,-4.36984126984125,-9.34761904761903
广东省,b24_30,166.2,148.020634920635,123.031746031746,-18.1793650793651,-43.168253968254
广东省,gt30,13.2555555555556,56.6365079365079,105.069841269841,43.3809523809524,91.8142857142857
广西壮族自治区,le0,0.216666666666667,0,0,-0.216666666666667,-0.216666666666667
广西壮族自治区,b0_6,4.79047619047619,2.03809523809524,1.07777777777778,-2.75238095238095,-3.71269841269841
广西壮族自治区,b6_12,37.8619047619048,26.7404761904762,16.9452380952381,-11.1214285714286,-20.9166666666667
广西壮族自治区,b12_18,68.3738095238095,63.8690476190476,57.8309523809524,-4.50476190476191,-10.5428571428571
广西壮族自治区,ref18_24,88.1166666666667,82.2214285714286,77.2880952380952,-5.89523809523811,-10.8285714285714
广西壮族自治区,b24_30,154.538095238095,143.940476190476,121.154761904762,-10.597619047619,-33.3833333333333
广西壮族自治区,gt30,11.0547619047619,45.9571428571429,90.8547619047619,34.902380952381,79.8
新疆维吾尔自治区,le0,106.579166666667,96.9930555555556,87.2416666666667,-9.58611111111109,-19.3375
新疆维吾尔自治区,b0_6,37.0583333333333,36.9041666666667,37.4583333333333,-0.154166666666683,0.399999999999991
