term,est,se,t,p
tbinb12_18,0.0087141359507089,0.00625961407489335,1.39212032027028,0.177201747571128
tbinb24_30,0.00552188906872749,0.0116983568882467,0.4720226200549,0.641358251578201
tbinb6_12,0.00143980516677841,0.00611425299502261,0.235483413583067,0.815917670334406
tbingt30,-0.00307800501558874,0.00922429866804924,-0.333684448688789,0.741640827498993
tbinle0,0.0175441996140556,0.00886477344730151,1.9790917070076,0.0598991719519758
tbinref18_24,0.00496298278565939,0.00780131690862926,0.63617243649847,0.530944435832764
pbinp0_10,0.00908384401747314,0.00322331212401351,2.81817077216909,0.00975376929886608
pbinp10_25,0.00687643970354522,0.00739847824787805,0.929439740600365,0.362314102244743
pbinp25_50,0.0139202875738908,0.00918093566381824,1.51621665629901,0.143089227895011
pbinp50p,0.0330970196087838,0.011148568535357,2.96872369791858,0.006876422211809
holiday_flag,0.0512126310373866,0.0110567305461556,4.63180601386664,0.000116527485373087
spring_festival_window_7,0.28175020181836,0.0234170284221895,12.0318512126577,2.09626426205226e-11
lockdown,-0.0133153876800477,0.0545415562276261,-0.244132888773409,0.80929253093765
ln_covid,-0.0097665367036852,0.00212163414158521,-4.60330860644428,0.000125106532513734
