term,est,se,t,p,spec,n
tbinb12_18,0.0087141359507089,0.00625961407489335,1.39212032027028,0.177201747571128,main,48000
tbinb24_30,0.00552188906872749,0.0116983568882467,0.4720226200549,0.641358251578201,main,48000
tbinb6_12,0.00143980516677841,0.00611425299502261,0.235483413583067,0.815917670334406,main,48000
tbingt30,-0.00307800501558874,0.00922429866804924,-0.333684448688789,0.741640827498993,main,48000
tbinle0,0.0175441996140556,0.00886477344730151,1.9790917070076,0.0598991719519758,main,48000
tbinref18_24,0.00496298278565939,0.00780131690862926,0.63617243649847,0.530944435832764,main,48000
tbinb12_18,0.0122389814546558,0.00796176847012597,1.53721896091035,0.137884095772114,R1_tierA,26117
tbinb24_30,0.0119733151124256,0.0141374624991246,0.846921087371017,0.405765667512027,R1_tierA,26117
tbinb6_12,0.00493340466583133,0.00855797467533419,0.576468715203189,0.569897571413911,R1_tierA,26117
tbingt30,-0.000483699178705758,0.011288682595413,-0.0428481512007703,0.966192396000907,R1_tierA,26117
tbinle0,0.0276887887466858,0.0130758872322185,2.1175456972787,0.0452370946086228,R1_tierA,26117
tbinref18_24,0.0114343877170786,0.0104171209540214,1.097653350436,0.283714905617187,R1_tierA,26117
tbinb12_18,0.00867548432895791,0.00632397356792727,1.37184070043502,0.183347348535045,R2_no_lockdown,47714
tbinb24_30,0.00480916573747992,0.0116783288461891,0.411802561892171,0.68429668297653,R2_no_lockdown,47714
tbinb6_12,0.0012885461513813,0.00610031938894122,0.211226014447244,0.834571288171261,R2_no_lockdown,47714
tbingt30,-0.00410794415748877,0.00926589233819947,-0.443340372146717,0.661661857818598,R2_no_lockdown,47714
tbinle0,0.0170397146503752,0.00897817771407461,1.89790347139854,0.0703303186526619,R2_no_lockdown,47714
tbinref18_24,0.00433065397856686,0.00755343058539612,0.573336039777713,0.571981001194065,R2_no_lockdown,47714
tbin_maxb0_6,-0.0167207747126756,0.0109492219796547,-1.52711989434,0.14036727591808,R3_tmax,48000
tbin_maxb6_12,-0.0341506022350698,0.0130845706631923,-2.60999027894263,0.015655567866038,R3_tmax,48000
tbin_maxb12_18,-0.013230365884737,0.0133546881691771,-0.990690738498333,0.332145284628795,R3_tmax,48000
tbin_maxref18_24,-0.021282349291145,0.0139997937556263,-1.52019020155865,0.142092286940319,R3_tmax,48000
