term,est,se,t,p,model
hot,-0.000199381927614515,0.0125209361851867,-0.0159238833794553,0.987432445133751,cross_sectional
tbinb12_18,0.00871626108927601,0.00626057506146331,1.39224608022489,0.177164153311626,cross_sectional
tbinb24_30,0.00546500602681733,0.0116438578152276,0.469346681618724,0.643240764136737,cross_sectional
tbinb6_12,0.00144136132645295,0.00611255324444577,0.235803479955395,0.815672259236662,cross_sectional
tbinle0,0.0175432081025747,0.00886361121772222,1.97923934970187,0.0598815185475525,cross_sectional
tbinref18_24,0.00497084413827241,0.00780456829743121,0.636914682380128,0.530469366238141,cross_sectional
pbinp0_10,0.00908650285141991,0.0032191397463194,2.822649393152,0.00965368187576152,cross_sectional
pbinp10_25,0.00683232951237391,0.00749233692750608,0.911909004958235,0.371276197032159,cross_sectional
pbinp25_50,0.0138418579624481,0.00923506335074623,1.49883735895863,0.147517020698059,cross_sectional
pbinp50p,0.0329848379350766,0.0109462404684656,3.01334855835671,0.00619305276631862,cross_sectional
holiday_flag,0.0512236137691692,0.0110426928358327,4.63868863606821,0.00011454554554348,cross_sectional
spring_festival_window_7,0.281742894574804,0.0234181909283412,12.0309419048178,2.09943073456154e-11,cross_sectional
lockdown,-0.0133196961349435,0.054550153108358,-0.244173395966191,0.809261537948375,cross_sectional
ln_covid,-0.00975391312455154,0.00210769230074192,-4.6277690159603,0.000117705962230975,cross_sectional
hot:norm_gt30_std,-0.00295892183290438,0.00848404087026556,-0.348763269549379,0.730439521976073,cross_sectional
hot_phasehot_1_5,-0.0017199002615066,0.0107752740170899,-0.159615454676957,0.874577438960224,acclimatization
hot_phasehot_6_15,-0.0142609852297525,0.0079027295410437,-1.8045645059326,0.0842545003307699,acclimatization
hot_phasehot_16p,-0.00794562489773358,0.0143362168049269,-0.554234426407593,0.584767679851171,acclimatization
tbin_nohotle0,0.012573508925271,0.0118452170674574,1.06148404488209,0.299489510054202,acclimatization
tbin_nohotb0_6,-0.00496987505172749,0.00781816018425089,-0.635683451682013,0.531257533076894,acclimatization
tbin_nohotb6_12,-0.00352881257639904,0.00878593612357127,-0.401643322551799,0.691654206507527,acclimatization
tbin_nohotb12_18,0.00374524812936199,0.00457106725074831,0.819337787854438,0.421003186056127,acclimatization
tbin_nohotb24_30,0.000513498692152711,0.00612111850570472,0.0838896831803116,0.933870037074662,acclimatization
pbinp0_10,0.00908699845879897,0.00322775873512191,2.81526570121907,0.00981921724162441,acclimatization
pbinp10_25,0.00687070875014545,0.00739609690733729,0.92896413286978,0.362555321788673,acclimatization
pbinp25_50,0.0139321432022628,0.00918772209736334,1.5163870929728,0.143046349109814,acclimatization
pbinp50p,0.0330974856209057,0.011211366215555,2.95213669632746,0.00714837889535986,acclimatization
holiday_flag,0.0512368777567628,0.0110337690397789,4.6436424010729,0.000113140010209894,acclimatization
spring_festival_window_7,0.281734030702416,0.0234206395085829,12.0293056301545,2.10514121436916e-11,acclimatization
lockdown,-0.0132988380303486,0.0545480864607968,-0.243800266759245,0.809547039786969,acclimatization
ln_covid,-0.00974708062099907,0.00211785052125738,-4.6023458800162,0.000125407167505314,acclimatization
