term,est,se,t,p,outcome
tbinb12_18,0.0126068844668677,0.00737682706959972,1.70898468242821,0.100915288323974,kcal_pc
tbinb24_30,-0.00568317942563353,0.0129855537594872,-0.437653990803543,0.665719503983819,kcal_pc
tbinb6_12,0.00592033500966659,0.00647533806017841,0.914289718103686,0.370050583932836,kcal_pc
tbingt30,-0.0401993628992054,0.0124877020382654,-3.21911611728281,0.0038009039401275,kcal_pc
tbinle0,-0.00301090320981351,0.0141069363591007,-0.213434237822383,0.832868901005156,kcal_pc
tbinref18_24,0.00321535507894748,0.0105007731803718,0.30620174569218,0.762205646576076,kcal_pc
pbinp0_10,0.00394760423078549,0.0040478394777264,0.975237346368978,0.339588916505094,kcal_pc
pbinp10_25,-0.00636386425311333,0.00855178407918935,-0.744156329741733,0.464317435344975,kcal_pc
pbinp25_50,0.00511714946508848,0.00762372723629569,0.671213608053332,0.508770053710823,kcal_pc
pbinp50p,9.87740894199739e-05,0.0156498372442049,0.0063115090514152,0.995018603011522,kcal_pc
holiday_flag,0.0178563867875043,0.0137579999521943,1.29789117964463,0.20719059310829,kcal_pc
spring_festival_window_7,0.248944650608517,0.0309886751013397,8.03340735912115,3.99293682439148e-08,kcal_pc
lockdown,-0.00096742921096387,0.0267585179525649,-0.0361540655083679,0.97147147102101,kcal_pc
ln_covid,0.0106435732966187,0.00371678976451287,2.86364684875138,0.00878173570840357,kcal_pc
tbinb12_18,0.0080292311204514,0.00630158347599566,1.27416087576032,0.215330996732537,prot_pc
tbinb24_30,-0.00621146926510333,0.0113302689570715,-0.548219048341886,0.588823560328276,prot_pc
tbinb6_12,0.00309393573877724,0.00561699323961757,0.550817066496575,0.587070142586106,prot_pc
tbingt30,-0.0291815820866098,0.0100216497123812,-2.91185412822378,0.00785229977076488,prot_pc
tbinle0,0.000189844123297907,0.012580618339997,0.015090206074716,0.988090352019532,prot_pc
tbinref18_24,0.000642318335495146,0.00855568203457284,0.0750750592295959,0.940804167757469,prot_pc
pbinp0_10,0.00500229872425887,0.0031974738678954,1.56445335628385,0.131367184225802,prot_pc
pbinp10_25,-0.000282555008015762,0.00780851436399614,-0.0361855014724158,0.971446676751935,prot_pc
pbinp25_50,0.00704907647902535,0.00722704632877974,0.975374469505519,0.339522368706435,prot_pc
pbinp50p,0.0118427826550338,0.0140717806989619,0.841598011537196,0.408678591407079,prot_pc
holiday_flag,0.0476553688338224,0.0124585058150651,3.82512714937265,0.000867634839223269,prot_pc
spring_festival_window_7,0.250446935047788,0.0261496542681172,9.57744727635437,1.71543558077135e-09,prot_pc
lockdown,-0.00907995538145645,0.0317554624438707,-0.28593365306853,0.777488440867722,prot_pc
ln_covid,0.00331044145278357,0.0028451886119479,1.16352267082819,0.256546591785545,prot_pc
tbinb12_18,-0.00194853627589846,0.00694872903006779,-0.280416212442155,0.781665013309101,fe_pc
tbinb24_30,-0.0131466703160811,0.0112784612343601,-1.16564396888022,0.25570474954185,fe_pc
tbinb6_12,-0.00358349299062342,0.00578145485492526,-0.619825473093614,0.541465270871551,fe_pc
tbingt30,-0.0349720840693646,0.00970794254015775,-3.60241976347713,0.00150112274910555,fe_pc
tbinle0,-0.00685226492249181,0.00985935607589175,-0.695001262734296,0.494016672586028,fe_pc
tbinref18_24,-0.00906938996900218,0.0084290403609622,-1.07596945566967,0.293098499387055,fe_pc
pbinp0_10,0.00536191340498268,0.00333409707958736,1.608205543207,0.121432261664348,fe_pc
pbinp10_25,9.21271173176627e-05,0.00699178292448146,0.0131764842119287,0.989600621482667,fe_pc
pbinp25_50,0.0118412272580737,0.00849135116326773,1.39450448231337,0.176490111819534,fe_pc
pbinp50p,0.0213887895632276,0.013886951001591,1.54020775048296,0.137156165130404,fe_pc
holiday_flag,0.00516377929734301,0.0100295178567668,0.514858178736784,0.61156486336253,fe_pc
spring_festival_window_7,0.207840985654543,0.0229784847236673,9.04502573402814,4.90353989356846e-09,fe_pc
lockdown,0.0422521196923617,0.0197623400699812,2.13801197341717,0.0433671659244293,fe_pc
ln_covid,0.0128667722557119,0.00322153365244138,3.99398970920607,0.000571000378081964,fe_pc
