food_group10,mean_spend_pc,p_kg,qresp,dkg_hotday,dco2_g_hotday
G01_主食,1.28827085307141,5.35,-0.108100125062198,-0.0260303252955148,-41.6485204728236
G02_食用油,1.20517982067866,86.8275602150538,-0.00436744470457744,-6.06208007325079e-05,-0.181862402197524
G03_蔬菜,1.88770662277913,7.14573333333334,0.0969330285637477,0.0256070456942826,12.8035228471413
G04_水果,2.35886133654729,8.74671171171171,0.153459051284453,0.0413856812421777,24.8314087453066
G05_猪肉,2.14681406601582,47.09925,-0.013017132116163,-0.000593329242528597,-4.2719705462059
G06_禽类及其他肉类,0.95676333440055,50.1161904761905,0.00531570491798632,0.00010148160731487,0.619037804620707
G07_牛羊肉,1.4620871167579,85.51,-0.137835485767533,-0.00235677099722579,-58.9192749306448
G08_海鲜,1.51602115929992,31.4325,0.0850946193064015,0.00410419926544424,20.9314162537657
G09_乳制品,2.48238197016354,5.73461538461538,0.0692745269167852,0.0299873356931975,59.974671386395
G10_坚果,0.566151530172777,168.597204301075,-0.293910958862558,-0.000986956692338961,-1.48043503850844
