term,est,se,t,p,group
hot_l0,-0.0411581564971791,0.017273610026416,-2.38271886619168,0.0258346850065061,G01_主食
hot_l1,-0.0768775492218486,0.0413038318641104,-1.86126917896566,0.0755361617953702,G01_主食
hot_l2,0.000702557014320809,0.0165224623843951,0.0425213262996653,0.966450101250133,G01_主食
hot_l3,0.0239588979773803,0.0138660855487632,1.72787755369917,0.0974157339877301,G01_主食
hot_l4,0.0155745803436224,0.0105668234211806,1.4739131830673,0.154061237383649,G01_主食
hot_l5,-0.0108490698631751,0.0168238375269563,-0.644862971708562,0.525396578953367,G01_主食
hot_l6,0.0187421081195809,0.019005264795599,0.986153485423731,0.334319059753627,G01_主食
hot_l7,-0.0137228265888551,0.0163591101040971,-0.838849210105764,0.410187991249322,G01_主食
hot_l8,0.00419543496734571,0.0303973819500144,0.138019615447301,0.891426150658726,G01_主食
hot_l9,-0.0275003799649526,0.0135083955905579,-2.0357991280752,0.053448242069213,G01_主食
hot_l10,0.0100842147311632,0.0218588153169654,0.461334001176928,0.64889223603866,G01_主食
hot_l11,-0.0236406644376879,0.02662880999339,-0.88778523875292,0.383846517478028,G01_主食
hot_l12,0.0439892621033064,0.017856680024473,2.46346252735772,0.0216671882626726,G01_主食
hot_l13,-0.00972467228920328,0.0138384941424211,-0.702726191818288,0.48927855932853,G01_主食
hot_l14,0.0307366828343963,0.0121015607726582,2.53989410224189,0.0183050366141627,G01_主食
cold_l0,-0.0414388937101704,0.0212488274327449,-1.95017319620716,0.0634468023088148,G01_主食
cold_l1,0.0299159499709566,0.0223320660677419,1.33959616097363,0.193463941207624,G01_主食
cold_l2,0.00167509992051925,0.0209745227283968,0.0798635536174265,0.93703661090551,G01_主食
cold_l3,-0.0255429508623789,0.0340401557409593,-0.750377026966536,0.460635784308833,G01_主食
cold_l4,0.0200068212595459,0.0276462455174621,0.723672270323618,0.476563418117385,G01_主食
cold_l5,-8.45822090188271e-05,0.0287044949887187,-0.00294665379244851,0.997674322934008,G01_主食
cold_l6,-0.00594882190102047,0.0327541753763816,-0.181620261620448,0.857471860572492,G01_主食
cold_l7,-0.0228871050770711,0.03021634944533,-0.757441103813036,0.456476165592579,G01_主食
cold_l8,0.021596171051508,0.0240018846777332,0.899769803141459,0.37756726688039,G01_主食
cold_l9,0.0112706500971224,0.027114938013659,0.415662027014219,0.681509886029767,G01_主食
cold_l10,-0.0472156004078477,0.0176560485160048,-2.67418841566094,0.0135484495107663,G01_主食
