term,est,se,t,p,spec
tbinb12_18,-0.000202315446559928,0.000875334406143614,-0.231129320565898,0.819258076391145,elderly
tbinb24_30,-0.000628562421843473,0.00162956271500971,-0.385724597190314,0.703245311460872,elderly
tbinb6_12,-0.000996941071883884,0.000943195383313255,-1.05698256111245,0.301495627492268,elderly
tbingt30,-0.00140369431311504,0.00150240130343197,-0.934300516052897,0.359854953622857,elderly
tbinle0,-0.00021465585888128,0.000977564668765261,-0.219582259608877,0.828133628608579,elderly
tbinref18_24,-0.000168012985791548,0.00132716418471952,-0.126595479086904,0.900360788038063,elderly
tbinb12_18:factor(elderly)1,0.000849263142327993,0.000680314088101848,1.24833978478607,0.224465307840789,elderly
tbinb24_30:factor(elderly)1,0.00170109356969529,0.000819188876516762,2.07655843293238,0.0492010883385211,elderly
tbinb6_12:factor(elderly)1,0.00060806629058626,0.000657510205110752,0.92480129716593,0.364671211468533,elderly
tbingt30:factor(elderly)1,0.000507535672129848,0.000988689772798237,0.513341683198964,0.612608421140995,elderly
tbinle0:factor(elderly)1,7.34438048564149e-05,0.000502739444310276,0.146087214137683,0.885125379917201,elderly
tbinref18_24:factor(elderly)1,0.00017311929373181,0.000739741121314276,0.234026862565426,0.817034724598503,elderly
tbinb12_18,-1.40833944400722e-05,0.000840131599375935,-0.0167633195210531,0.986770002799035,inc_ter
tbinb24_30,-0.00018896421774139,0.00152192757858933,-0.124161110160406,0.902266453004416,inc_ter
tbinb6_12,-0.00105565496192107,0.000836108663267783,-1.26258105949439,0.219391505946737,inc_ter
tbingt30,-0.000305843908348022,0.00134264073518836,-0.227792811831465,0.821820177337713,inc_ter
tbinle0,-0.00109939226477399,0.000938931911474964,-1.1708966873295,0.253629008180446,inc_ter
tbinref18_24,-0.0001441445375259,0.00117734023489226,-0.122432354942062,0.903620117142043,inc_ter
tbinb12_18:factor(inc_ter)mid,0.000234863424076451,0.000820056097030979,0.286399216988662,0.777136331469833,inc_ter
tbinb24_30:factor(inc_ter)mid,0.000592951009189985,0.000714223612860661,0.830203592422623,0.414958389924097,inc_ter
tbinb6_12:factor(inc_ter)mid,0.00104355816371872,0.00102577591939356,1.01733540823972,0.319576724032585,inc_ter
tbingt30:factor(inc_ter)mid,0.000719533683396794,0.00136581115495764,0.526817840654632,0.603364548876564,inc_ter
tbinle0:factor(inc_ter)mid,0.0026088379922137,0.0012172524611537,2.14321849860223,0.0429027028522891,inc_ter
tbinref18_24:factor(inc_ter)mid,0.000370578095943662,0.000738695473057126,0.501665584073512,0.620671133372137,inc_ter
