term,est,se,t,p,tau,outcome
tbinb12_18,0.00752535537679898,0.0114649116455305,0.656381454080606,0.518092425095182,0.25,rif_ln_protein
tbinb24_30,-0.0218222027923299,0.0143183755908988,-1.52406972800746,0.141124428285979,0.25,rif_ln_protein
tbinb6_12,0.00354075207496047,0.0079074458558096,0.447774431785591,0.658505163220587,0.25,rif_ln_protein
tbingt30,-0.0400972977595714,0.0154420334769988,-2.59663326201805,0.0161309746026438,0.25,rif_ln_protein
tbinle0,0.00522108241403712,0.00995178279370824,0.524637898783122,0.604855324835772,0.25,rif_ln_protein
tbinref18_24,-0.0030281775815969,0.0123646048018542,-0.244906944469653,0.808700338287905,0.25,rif_ln_protein
pbinp0_10,0.00250198294567105,0.00382885867147922,0.653453982072533,0.519943487408825,0.25,rif_ln_protein
pbinp10_25,0.00784283132193454,0.00585697559619077,1.33905822094176,0.193636355114513,0.25,rif_ln_protein
pbinp25_50,0.0181054992300161,0.00948231756428064,1.90939600021607,0.0687631366425675,0.25,rif_ln_protein
pbinp50p,0.0706587398582499,0.018902063768478,3.73814948059185,0.00107538252165263,0.25,rif_ln_protein
holiday_flag,0.138036475866375,0.0190748443576206,7.23657154304527,2.29242234363334e-07,0.25,rif_ln_protein
spring_festival_window_7,0.2682012485379,0.0365831724446367,7.33127365987146,1.85427261943952e-07,0.25,rif_ln_protein
lockdown,0.0267386136193621,0.00699039500424473,3.82505045896917,0.000867799316060341,0.25,rif_ln_protein
ln_covid,0.0017990571906099,0.00233157536777181,0.771605848765331,0.448203543214162,0.25,rif_ln_protein
tbinb12_18,0.00252921804725658,0.00836271361377323,0.302439873474921,0.765034967903994,0.5,rif_ln_protein
tbinb24_30,-0.0128797004816844,0.00974355894485385,-1.32186817512782,0.199209451393519,0.5,rif_ln_protein
tbinb6_12,0.000604768371481289,0.00469636617263817,0.128773683577906,0.898656171599784,0.5,rif_ln_protein
tbingt30,-0.0233687397261697,0.01159393163523,-2.0156009593122,0.0556714967565037,0.5,rif_ln_protein
tbinle0,0.017224180459766,0.00550321861229586,3.12983758655016,0.00470260966895049,0.5,rif_ln_protein
tbinref18_24,-0.00862825286348114,0.0104857753565353,-0.822853110056715,0.419041557317846,0.5,rif_ln_protein
pbinp0_10,0.00364953093229998,0.00202780263671352,1.79974661548661,0.0850338006868201,0.5,rif_ln_protein
pbinp10_25,0.00147427661826701,0.00460406369863093,0.320212037619159,0.751698516089868,0.5,rif_ln_protein
pbinp25_50,0.00821285344058647,0.00794463529009609,1.03376091421399,0.311995934373293,0.5,rif_ln_protein
pbinp50p,0.0415943582419783,0.0180422769190334,2.30538298622936,0.0305072523945468,0.5,rif_ln_protein
holiday_flag,0.171974400487348,0.0106493886601445,16.1487580156564,4.82756629957205e-14,0.5,rif_ln_protein
spring_festival_window_7,0.290228816323241,0.0264472488769501,10.973875493575,1.28736117223565e-10,0.5,rif_ln_protein
lockdown,0.00780942590656993,0.0179270214024726,0.435623170812572,0.667171182891547,0.5,rif_ln_protein
ln_covid,0.00512031776076287,0.00162903661257422,3.14315695622806,0.00455605647577905,0.5,rif_ln_protein
tbinb12_18,0.00401350542691297,0.00628163378402067,0.638926999711859,0.529182554418172,0.75,rif_ln_protein
tbinb24_30,0.00272178026130566,0.00819774779979526,0.332015613041137,0.742884171219731,0.75,rif_ln_protein
tbinb6_12,0.00891837879769474,0.00462751009412328,1.92725215424612,0.0663888517862649,0.75,rif_ln_protein
tbingt30,-0.0100646117517964,0.0120670752823383,-0.834055603061274,0.412828657722165,0.75,rif_ln_protein
tbinle0,0.000472232778869175,0.0052313714384293,0.0902694034302716,0.928854656139702,0.75,rif_ln_protein
tbinref18_24,0.00103708984775708,0.00770011655162504,0.134684954546333,0.894032672733315,0.75,rif_ln_protein
pbinp0_10,-1.46560899793918e-05,0.00216673320305287,-0.00676414150055106,0.994661365587184,0.75,rif_ln_protein
pbinp10_25,3.10432964520074e-05,0.00556272095747454,0.00558059566340373,0.9955954741999,0.75,rif_ln_protein
pbinp25_50,0.00764066084817162,0.00513743017382534,1.48725346907876,0.150529845146746,0.75,rif_ln_protein
pbinp50p,0.018497362694734,0.0154855535225168,1.19449154128317,0.244459143383712,0.75,rif_ln_protein
holiday_flag,0.156638261496602,0.00854994639098395,18.3203793724109,3.24274578757789e-15,0.75,rif_ln_protein
spring_festival_window_7,0.33297805103074,0.0294986934908702,11.2878914835261,7.41785825668797e-11,0.75,rif_ln_protein
lockdown,-0.0256269284332238,0.0339711892032155,-0.754372426585472,0.458280357354663,0.75,rif_ln_protein
ln_covid,0.00739250366959856,0.00189601082883473,3.89897755707541,0.000722727687085558,0.75,rif_ln_protein
tbinb12_18,0.00864029557748358,0.00492910941330218,1.75291210906498,0.0929382770304868,,n_cat
tbinb24_30,0.0121415907049176,0.00747051174794467,1.62526893934114,0.117731147741449,,n_cat
tbinb6_12,0.00247348435048377,0.00343921152611029,0.719200994677186,0.479261369643554,,n_cat
tbingt30,0.0151882856540612,0.00857989707489564,1.77021769859004,0.0899470830535386,,n_cat
