bin,group,beta_trip,beta_comp_ppml,trip_margin_yuan,comp_margin_yuan,total_yuan,share_trip_margin
gt30,G01_主食,-0.00125025588371665,-0.109539769225167,-0.00926853365149469,-0.128503581101219,-0.137772114752714,0.0672743803644932
gt30,G02_食用油,-0.00125025588371665,-0.00252894721603187,-0.00879976118680447,-0.00297004577434613,-0.0117698069611506,0.74765552365051
gt30,G03_蔬菜,-0.00125025588371665,-0.0561618309978543,-0.0139178042162274,-0.101572279528582,-0.11549008374481,0.120510815863469
gt30,G04_水果,-0.00125025588371665,0.126868957710164,-0.0176502907166506,0.319043008442099,0.301392717725448,-0.0585624325957638
gt30,G05_猪肉,-0.00125025588371665,-0.0418347097916188,-0.0158543412545656,-0.0868028270844624,-0.102657168339028,0.154439690000081
gt30,G06_禽类及其他肉类,-0.00125025588371665,-0.00262383834406885,-0.00773947520326522,-0.00271006983818664,-0.0104495450414519,0.740651882217247
gt30,G07_牛羊肉,-0.00125025588371665,-0.144193696791084,-0.0108960740699258,-0.195516207713776,-0.206412281783702,0.0527879154077843
gt30,G08_海鲜,-0.00125025588371665,0.0928962101802978,-0.0119265699631167,0.155147003121584,0.143220433158467,-0.0832742207246398
gt30,G09_乳制品,-0.00125025588371665,0.0654989527740246,-0.0182080375079097,0.164702265063775,0.146494227555865,-0.124291842837057
gt30,G10_坚果,-0.00125025588371665,-0.293910958862558,-0.00406265104224725,-0.138250565634626,-0.142313216676873,0.0285472504740838
le0,G01_主食,-0.000196709941575809,-0.017225006332362,-0.00145827165208697,-0.021151294760251,-0.022609566412338,0.0644979928182613
le0,G02_食用油,-0.000196709941575809,0.041643097225126,-0.00138451698686801,0.0500022448675426,0.0486177278806746,-0.0284776160306404
le0,G03_蔬菜,-0.000196709941575809,-0.00491179652291062,-0.00218976810258956,-0.00911268742173987,-0.0113024555243294,0.193742686965316
le0,G04_水果,-0.000196709941575809,-0.00493994808220327,-0.00277702164883813,-0.0116226061940729,-0.014399627842911,0.192853709771761
le0,G05_猪肉,-0.000196709941575809,0.00978725013415021,-0.00249445460127532,0.0208371072581583,0.018342652656883,-0.135992031683558
le0,G06_禽类及其他肉类,-0.000196709941575809,-0.0196145412792017,-0.00121769610116609,-0.0200881025688892,-0.0213057986700553,0.0571532717465093
le0,G07_牛羊肉,-0.000196709941575809,0.065598239627487,-0.00171434193721143,0.0987156713229652,0.0970013293857537,-0.017673386004782
le0,G08_海鲜,-0.000196709941575809,-0.00144853609836144,-0.0018764757768388,-0.00230691665725623,-0.00418339243409503,0.448553609636369
le0,G09_乳制品,-0.000196709941575809,0.0115160035967017,-0.0028647751560614,0.0281818519626144,0.025317076806553,-0.113155842514958
le0,G10_坚果,-0.000196709941575809,0.0913904088084355,-0.000639200230586136,0.0519526821007553,0.0513134818701692,-0.0124567697862213
b24_30,G01_主食,-0.000220301789743468,-0.0521367582989419,-0.00163316532104767,-0.0629193778154935,-0.0645525431365412,0.0252997828078316
b24_30,G02_食用油,-0.000220301789743468,0.0478120156368376,-0.00155056509952604,0.0575881439705475,0.0560375788710215,-0.0276700944395705
b24_30,G03_蔬菜,-0.000220301789743468,-0.0575431834454395,-0.0024523917208207,-0.103999370522065,-0.106451762242886,0.0230375868764408
b24_30,G04_水果,-0.000220301789743468,0.096952275867514,-0.0031100758532818,0.240123354064998,0.237013278211716,-0.0131219477522423
b24_30,G05_猪肉,-0.000220301789743468,-0.0476334823915593,-0.00279361992938726,-0.0985506839703183,-0.101344303899706,0.0275656334089771
b24_30,G06_禽类及其他肉类,-0.000220301789743468,-0.0330098171025029,-0.00136373702468489,-0.0335821028954882,-0.0349458399201731,0.0390243024005168
b24_30,G07_牛羊肉,-0.000220301789743468,-0.14642421248395,-0.00191994666855419,-0.198324679547233,-0.200244626215787,0.00958800595470271
b24_30,G08_海鲜,-0.000220301789743468,0.0776124842695077,-0.0021015255697615,0.128620741401425,0.126519215831663,-0.0166103271819012
b24_30,G09_乳制品,-0.000220301789743468,0.0814215872887859,-0.00320835382816546,0.206397610228008,0.203189256399843,-0.0157899777036043
b24_30,G10_坚果,-0.000220301789743468,-0.204562842358369,-0.000715860894851085,-0.100432554028193,-0.101148414923044,0.00707733181380776
