province,scen,adaptation,d_trips_yr,d_lnprot_days,prot_pct_yr
上海市,d15,none,-0.0265612248426492,-0.646459381153271,-0.177112159220074
上海市,d15,adapted,-0.0889944755169317,-0.708892631827554,-0.194217159404809
上海市,d15,full,-0.00018082569622792,-0.0307279991258044,-0.00841862989748065
上海市,d30,none,-0.0460288328770395,-1.21187950829752,-0.33202178309521
上海市,d30,adapted,-0.164188444737688,-1.33003912015817,-0.364394279495388
上海市,d30,full,0.00389805207937871,-0.0465616636389001,-0.0127566201750411
云南省,d15,none,0.00311940364813246,-0.374169852994715,-0.102512288491703
云南省,d15,adapted,0.00144268127615331,-0.375846575366694,-0.102971664484026
云南省,d15,full,0.00382788198223856,-0.357633623145636,-0.0979818145604482
云南省,d30,none,0.00114729431724436,-0.831236959156738,-0.227736153193627
云南省,d30,adapted,-0.00994866255614706,-0.842332916030129,-0.230776141378118
云南省,d30,full,0.0058357538811818,-0.721806026331951,-0.197755075707384
内蒙古自治区,d15,none,-0.00147174787566615,-0.161651594231847,-0.0442881080087253
内蒙古自治区,d15,adapted,-0.00396710528808218,-0.164146951644263,-0.0449717675737708
内蒙古自治区,d15,full,-0.000417365413731777,-0.137041793338806,-0.0375456968051524
内蒙古自治区,d30,none,-0.00569961513712185,-0.364735255265938,-0.0999274671961475
内蒙古自治区,d30,adapted,-0.0161840614983797,-0.375219701627196,-0.102799918254026
内蒙古自治区,d30,full,-0.00126954178915252,-0.261335182739051,-0.0715986802024797
北京市,d15,none,-0.0047410542105736,-0.251401563031864,-0.068877140556675
北京市,d15,adapted,-0.016971264453245,-0.263631773274535,-0.0722278830889137
北京市,d15,full,0.000426670108788551,-0.130784357073877,-0.0358313307051717
北京市,d30,none,-0.017830042287262,-0.66580148661575,-0.182411366196096
北京市,d30,adapted,-0.0652714223414955,-0.713242866669984,-0.195409004567119
北京市,d30,full,0.00221572704832832,-0.197923453827107,-0.0542256037882484
台湾省,d15,none,-0.0583714828605746,-1.53678764286772,-0.421037710374719
台湾省,d15,adapted,-0.208684711972117,-1.68710087197927,-0.462219416980621
台湾省,d15,full,0.0051415160322312,-0.0543632728679464,-0.0148940473610812
台湾省,d30,none,-0.112588175514818,-2.89747823298831,-0.793829652873511
台湾省,d30,adapted,-0.40039263912865,-3.18528269660215,-0.872680190849903
台湾省,d30,full,0.00902004677468829,-0.0590830153640681,-0.016187127497005
吉林省,d15,none,-0.00196273283687685,-0.172300274653684,-0.0472055546996395
吉林省,d15,adapted,-0.00368877057273773,-0.174026312389545,-0.0476784417505602
吉林省,d15,full,-0.0012334169047088,-0.155277685103162,-0.0425418315351128
吉林省,d30,none,-0.00678502235370473,-0.392897029366581,-0.107643021744269
吉林省,d30,adapted,-0.0164782310989045,-0.402590238111781,-0.110298695373091
吉林省,d30,full,-0.00268927669019593,-0.29730032804952,-0.0814521446711014
四川省,d15,none,-0.0135328558383074,-0.353926192199127,-0.0969660800545554
四川省,d15,adapted,-0.0371654827156354,-0.377558819076455,-0.103440772349714
四川省,d15,full,-0.00354718116705148,-0.120855675271669,-0.0331111439100462
四川省,d30,none,-0.0245041195238956,-0.861859142256208,-0.236125792398961
四川省,d30,adapted,-0.0908253582613545,-0.928180380993666,-0.254295994792785
四川省,d30,full,0.00351910096973073,-0.207783508766722,-0.0569269887032116
天津市,d15,none,-0.00971626611676169,-0.358753338618446,-0.0982885859228619
天津市,d15,adapted,-0.0386150693514611,-0.387652141853145,-0.106206066261136
天津市,d15,full,0.00249456634753759,-0.073746553572557,-0.0202045352253581
天津市,d30,none,-0.031823150699216,-0.947376986911781,-0.25955533887994
天津市,d30,adapted,-0.119999021319766,-1.03555285753233,-0.283713111652694
天津市,d30,full,0.00543447463554021,-0.0777658407308087,-0.0213057097892627
宁夏回族自治区,d15,none,-0.000914413871689409,-0.187264064339834,-0.0513052231068038
宁夏回族自治区,d15,adapted,-0.00445690084386104,-0.190806551312005,-0.0522757674827412
宁夏回族自治区,d15,full,0.000582420255760247,-0.152327225786143,-0.0417334865167514
宁夏回族自治区,d30,none,-0.00534109515872499,-0.435924191504474,-0.119431285343692
宁夏回族自治区,d30,adapted,-0.0202211842873086,-0.450804280633058,-0.123508022091249
宁夏回族自治区,d30,full,0.000946302763165628,-0.289173257588923,-0.0792255500243625
安徽省,d15,none,-0.0181763262319633,-0.41273047946004,-0.113076843687682
安徽省,d15,adapted,-0.0524352985592422,-0.446989451787319,-0.122462863503375
安徽省,d15,full,-0.00370062050498118,-0.0748604478647544,-0.0205097117437683
安徽省,d30,none,-0.0427144295972935,-0.975952782784153,-0.267384324050453
安徽省,d30,adapted,-0.131608660685055,-1.06484701387191,-0.291738907910113
安徽省,d30,full,-0.00515326991743494,-0.0992569969521537,-0.0271936977951106
山东省,d15,none,-0.00999839939070587,-0.310982238048721,-0.0852006131640331
山东省,d15,adapted,-0.0286231684833762,-0.329607007141391,-0.0903032896277784
山东省,d15,full,-0.00212873318931163,-0.12730039080356,-0.0348768193982357
山东省,d30,none,-0.0285401682404641,-0.757288050114197,-0.207476178113479
山东省,d30,adapted,-0.0856864009452583,-0.814434282818992,-0.223132680224381
山东省,d30,full,-0.0043937332529337,-0.193698481078985,-0.0530680770079412
山西省,d15,none,-0.0024261236548785,-0.206355126982859,-0.0565356512281804
山西省,d15,adapted,-0.00740946608187773,-0.211338469409858,-0.0579009505232487
山西省,d15,full,-0.00032047384667962,-0.15720823351578,-0.043070748908433
山西省,d30,none,-0.00950948667361253,-0.48383502007816,-0.132557539747441
山西省,d30,adapted,-0.0300585512276481,-0.504384084632195,-0.138187420447177
山西省,d30,full,-0.000826733186225455,-0.281175319028189,-0.0770343339803257
广东省,d15,none,-0.0433310622707228,-1.27167111898293,-0.348403046296693
广东省,d15,adapted,-0.171691909402908,-1.40003196611512,-0.383570401675374
广东省,d15,full,0.0109062286847948,-0.00574629608285708,-0.00157432769393345
广东省,d30,none,-0.0935283393916983,-2.64616958689808,-0.724977969013172
广东省,d30,adapted,-0.365199633964219,-2.9178408814706,-0.799408460676876
广东省,d30,full,0.021263011531829,0.0331165283967975,0.00907302147857466
广西壮族自治区,d15,none,-0.0319245541312173,-1.02329980247519,-0.280356110267176
广西壮族自治区,d15,adapted,-0.135197971151563,-1.12657321949554,-0.308650197122065
广西壮族自治区,d15,full,0.011712353010217,-0.00479310769516151,-0.00131318019045521
广西壮族自治区,d30,none,-0.0748356652010096,-2.27073769364414,-0.622119916066887
广西壮族自治区,d30,adapted,-0.310957627466779,-2.50685965590991,-0.686810864632851
广西壮族自治区,d30,full,0.0249347543195791,0.0579525568673258,0.0158774128403632
新疆维吾尔自治区,d15,none,-0.00675314437429841,-0.281322596183841,-0.0770746838859838
新疆维吾尔自治区,d15,adapted,-0.020857338444476,-0.295426790254018,-0.0809388466449366
新疆维吾尔自治区,d15,full,-0.000793591328582383,-0.142223721571001,-0.0389654031701372
新疆维吾尔自治区,d30,none,-0.0171179686856664,-0.636565074393442,-0.174401390244779
新疆维吾尔自治区,d30,adapted,-0.0568625783972557,-0.676309684105031,-0.185290324412337
新疆维吾尔自治区,d30,full,-0.000324374618613485,-0.24459439848661,-0.0670121639689342
江苏省,d15,none,-0.0223537643609064,-0.479978570098916,-0.131500978109292
江苏省,d15,adapted,-0.0655160882260167,-0.523140893964026,-0.143326272318911
江苏省,d15,full,-0.00411605738022942,-0.0543015944816768,-0.0148771491730621
江苏省,d30,none,-0.0459260117940244,-1.03004298825933,-0.282203558427212
江苏省,d30,adapted,-0.142462733337294,-1.1265797098026,-0.308651975288382
江苏省,d30,full,-0.00513561214168933,-0.077975166541317,-0.0213630593263882
江西省,d15,none,-0.025238163498918,-0.663790329828108,-0.181860364336468
江西省,d15,adapted,-0.091213153942889,-0.729765320272079,-0.199935704184131
江西省,d15,full,0.00263875405377019,-0.0131294783333351,-0.00359711735159865
江西省,d30,none,-0.0495392568348299,-1.37316834857736,-0.37621050645955
江西省,d30,adapted,-0.188832743726253,-1.51246183546878,-0.414373105607885
江西省,d30,full,0.00931748605467968,0.000576735408955842,0.000158009701083792
河北省,d15,none,-0.00922809860495914,-0.335541173341284,-0.0919290885866532
河北省,d15,adapted,-0.0321283603056797,-0.358441435042005,-0.0982031328882205
河北省,d15,full,0.000448124204169112,-0.10969341379825,-0.0300529900817122
河北省,d30,none,-0.025289389422108,-0.796129886264288,-0.218117777058709
河北省,d30,adapted,-0.0892110674426393,-0.86005156428482,-0.235630565557485
河北省,d30,full,0.00171992632036468,-0.165719284156891,-0.0454025436046276
河南省,d15,none,-0.0175070385470236,-0.436456842851251,-0.119577217219521
河南省,d15,adapted,-0.0549483587030155,-0.473898163007243,-0.129835113152669
河南省,d15,full,-0.00168667104066085,-0.0672017495219835,-0.0184114382252009
河南省,d30,none,-0.0434239645865466,-1.01494214455766,-0.278066340974702
河南省,d30,adapted,-0.139336867851654,-1.11085504782277,-0.304343848718567
河南省,d30,full,-0.00289715164473872,-0.0690265652168888,-0.0189113877306545
浙江省,d15,none,-0.0229238695709059,-0.626719596356827,-0.17170399900187
浙江省,d15,adapted,-0.0842004508014166,-0.687996177587337,-0.188492103448586
浙江省,d15,full,0.00296779318460803,-0.0223955600541256,-0.00613576987784263
浙江省,d30,none,-0.0459024834404675,-1.31642129178728,-0.360663367612952
浙江省,d30,adapted,-0.177251713532032,-1.44777052187884,-0.396649458048998
浙江省,d30,full,0.00959751183397257,-0.0210243342516791,-0.00576009157580249
海南省,d15,none,-0.0585849080170476,-1.44690749937822,-0.396413013528278
海南省,d15,adapted,-0.207200650392871,-1.59552324175404,-0.437129655275079
海南省,d15,full,0.00421083881615233,0.0187758577402962,0.00514407061377978
海南省,d30,none,-0.137816148396811,-3.30878945656529,-0.906517659332955
海南省,d30,adapted,-0.496063715997507,-3.66703702416598,-1.00466767785369
海南省,d30,full,0.0135569376506515,0.224332197752461,0.0614608760965646
湖北省,d15,none,-0.023186351677744,-0.516165351086097,-0.141415164681122
湖北省,d15,adapted,-0.0716082372020968,-0.56458723661045,-0.154681434687794
湖北省,d15,full,-0.00272628186303975,-0.038617343056988,-0.0105800939882159
湖北省,d30,none,-0.0484654633081134,-1.12484002756935,-0.308175350019001
湖北省,d30,adapted,-0.160098041713826,-1.23647260597507,-0.33875961807536
湖北省,d30,full,-0.00129649574224662,-0.0238933198664919,-0.00654611503191559
湖南省,d15,none,-0.0211907419805729,-0.545496723820772,-0.149451157211171
湖南省,d15,adapted,-0.0719221613109167,-0.596228143151116,-0.163350176205785
湖南省,d15,full,0.000245192825721397,-0.0451715509501128,-0.0123757673835925
湖南省,d30,none,-0.0443715643419774,-1.20997606463167,-0.331500291679911
湖南省,d30,adapted,-0.162756617866085,-1.32836111815578,-0.363934552919392
湖南省,d30,full,0.00565057820558115,-0.0424348613378863,-0.0116259894076401
澳门特别行政区,d15,none,-0.0568822459547862,-1.57364283777255,-0.431135024047275
澳门特别行政区,d15,adapted,-0.217255809298204,-1.73401640111597,-0.475072986607115
澳门特别行政区,d15,full,0.0108816229426562,0.00799891132169807,0.00219148255388988
澳门特别行政区,d30,none,-0.110947448861701,-3.00218752819109,-0.822517131011256
澳门特别行政区,d30,adapted,-0.420253411127972,-3.31149349045736,-0.907258490536262
澳门特别行政区,d30,full,0.0197459661828131,0.0482605192625253,0.0132220600719247
甘肃省,d15,none,0.00193294817125492,-0.109514793985801,-0.0300040531467949
甘肃省,d15,adapted,0.00118617266104572,-0.110261569496011,-0.0302086491769892
甘肃省,d15,full,0.00224848894190722,-0.1021499185068,-0.0279862790429588
甘肃省,d30,none,0.000928374405102681,-0.267547113580104,-0.0733005790630421
甘肃省,d30,adapted,-0.00285247015916403,-0.27132795814437,-0.0743364268888685
甘肃省,d30,full,0.00252592358985173,-0.230259536469435,-0.0630848045121741
福建省,d15,none,-0.0147216820845195,-0.692885857203171,-0.189831741699499
福建省,d15,adapted,-0.0737055970295181,-0.751869772148169,-0.205991718396759
福建省,d15,full,0.0102012428419025,-0.111172634293335,-0.0304582559707768
福建省,d30,none,-0.041517930982197,-1.64695073537634,-0.451219379555162
福建省,d30,adapted,-0.192009243352201,-1.79744204774635,-0.49244987609489
福建省,d30,full,0.0220703147924992,-0.162770066454685,-0.0445945387547083
西藏自治区,d15,none,0.0127806164566913,0.115720835928705,0.0317043386106041
西藏自治区,d15,adapted,0.0127806164566913,0.115720835928705,0.0317043386106041
西藏自治区,d15,full,0.0127806164566913,0.115720835928705,0.0317043386106041
西藏自治区,d30,none,0.0176642736018471,0.130030209546119,0.0356247149441422
西藏自治区,d30,adapted,0.0176642736018471,0.130030209546119,0.0356247149441422
西藏自治区,d30,full,0.0176642736018471,0.130030209546119,0.0356247149441422
贵州省,d15,none,-0.0065927275859841,-0.300789600461275,-0.0824081097154179
贵州省,d15,adapted,-0.016188088386974,-0.310384961262265,-0.0850369756882919
贵州省,d15,full,-0.00253832636307439,-0.206157898551841,-0.0564816160416002
贵州省,d30,none,-0.0161973819024098,-0.738963553778444,-0.202455768158478
贵州省,d30,adapted,-0.051864718829878,-0.774630890705912,-0.212227641289291
贵州省,d30,full,-0.00112658910410867,-0.387203899709434,-0.106083260194366
辽宁省,d15,none,-0.00327186522036932,-0.212880429867213,-0.058323405443072
辽宁省,d15,adapted,-0.00756230187808067,-0.217170866524924,-0.0594988675410752
辽宁省,d15,full,-0.00145899418898018,-0.170567135841629,-0.0467307221483914
辽宁省,d30,none,-0.0113674434265801,-0.490854636559088,-0.134480722344956
辽宁省,d30,adapted,-0.0309667780435801,-0.510453971176088,-0.139850403061942
辽宁省,d30,full,-0.00308598659681889,-0.297561395213973,-0.0815236699216364
重庆市,d15,none,-0.0197533027274314,-0.483953494053308,-0.132589998370769
重庆市,d15,adapted,-0.0605864240215119,-0.524786615347389,-0.143777154889696
重庆市,d15,full,-0.00249977153214164,-0.081247661258093,-0.0222596332213953
重庆市,d30,none,-0.0333293640200315,-1.10368277721708,-0.302378843073173
重庆市,d30,adapted,-0.130776523050349,-1.2011299362474,-0.329076694862301
重庆市,d30,full,0.00784572975037021,-0.142636007164731,-0.0390783581273235
陕西省,d15,none,-0.00671484021719851,-0.238298969596099,-0.065287388930438
陕西省,d15,adapted,-0.0177121663628265,-0.249296295741727,-0.0683003549977333
陕西省,d15,full,-0.00206805584938496,-0.129840756174199,-0.0355728099107394
陕西省,d30,none,-0.0206074324608954,-0.589842639888216,-0.161600723257046
陕西省,d30,adapted,-0.0584717688492952,-0.627706976276616,-0.171974514048388
陕西省,d30,full,-0.0046083246689347,-0.216415661119899,-0.0592919619506574
青海省,d15,none,0.00889932461449647,0.112231353132687,0.0307483159267636
青海省,d15,adapted,0.00889932461449647,0.112231353132687,0.0307483159267636
青海省,d15,full,0.00889932461449647,0.112231353132687,0.0307483159267636
青海省,d30,none,0.0176691389380505,0.17201091298991,0.0471262775314821
青海省,d30,adapted,0.0176691389380505,0.17201091298991,0.0471262775314821
青海省,d30,full,0.0176691389380505,0.17201091298991,0.0471262775314821
香港特别行政区,d15,none,-0.0568382242314011,-1.54486937185789,-0.423251882700793
香港特别行政区,d15,adapted,-0.215239173019549,-1.70327032064604,-0.466649402916724
香港特别行政区,d15,full,0.0100921407435636,0.0173179891786169,0.00474465456948408
香港特别行政区,d30,none,-0.111827520857355,-2.97610702500387,-0.815371787672293
香港特别行政区,d30,adapted,-0.419062237840593,-3.28334174198711,-0.899545682736194
香港特别行政区,d30,full,0.0179907150685573,0.0539139149891151,0.0147709356134562
黑龙江省,d15,none,-0.000509607813769263,-0.133592667502642,-0.0366007308226417
黑龙江省,d15,adapted,-0.0012657767266226,-0.134348836415496,-0.036807900387807
黑龙江省,d15,full,-0.000190097976819453,-0.126135152080509,-0.0345575759124681
黑龙江省,d30,none,-0.00359074786836372,-0.308038760104381,-0.0843941808505153
黑龙江省,d30,adapted,-0.00799498921195601,-0.312443001447973,-0.0856008223145132
黑龙江省,d30,full,-0.00172979007221624,-0.264603097537004,-0.0724939993252066
