variant,model,group,group_label_cn,alpha,beta,delta,tau,omega,kappa,nll,success,message
robust_real_derived_cpi_nonfood,AIDADS_sat,grain,粮食/主粮,7.095534635638175e-05,0.0,0.41162410720208864,0.41162410720208864,0.0,5.082445542833459,-10168.155757407483,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
robust_real_derived_cpi_nonfood,AIDADS_sat,oil,食用油,0.00029924644125574063,0.0,0.12629198621479837,0.12629198621479837,0.0,5.082445542833459,-10168.155757407483,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
robust_real_derived_cpi_nonfood,AIDADS_sat,vegetable,蔬菜,0.003430033282582148,0.0,0.025011698038559817,0.025011698038559817,0.0,5.082445542833459,-10168.155757407483,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
robust_real_derived_cpi_nonfood,AIDADS_sat,fruit,水果,0.011526595187018549,0.0,0.016349055047838405,0.016349055047838405,0.0,5.082445542833459,-10168.155757407483,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
robust_real_derived_cpi_nonfood,AIDADS_sat,pork,猪肉,0.019225625451644992,0.0,0.05967178443878229,0.05967178443878229,0.0,5.082445542833459,-10168.155757407483,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
robust_real_derived_cpi_nonfood,AIDADS_sat,beef,牛肉,0.014777554501961481,0.0,7.413235952275422e-05,7.413235952275422e-05,0.0,5.082445542833459,-10168.155757407483,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
robust_real_derived_cpi_nonfood,AIDADS_sat,mutton,羊肉,0.006412320294721142,0.0,0.0012096478163000797,0.0012096478163000797,0.0,5.082445542833459,-10168.155757407483,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
robust_real_derived_cpi_nonfood,AIDADS_sat,poultry,禽肉,0.00011750040433545812,0.0,0.017195764270053485,0.017195764270053485,0.0,5.082445542833459,-10168.155757407483,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
robust_real_derived_cpi_nonfood,AIDADS_sat,aquatic,水产品,0.015451869225049389,0.0,0.0001639267177270926,0.0001639267177270926,0.0,5.082445542833459,-10168.155757407483,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
robust_real_derived_cpi_nonfood,AIDADS_sat,egg,蛋类,0.004205081160236025,0.0,0.008889589194192872,0.008889589194192872,0.0,5.082445542833459,-10168.155757407483,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
