obs_id,province,provincechn,year,population_10k,m,food_price_index_2023,covered_food_exp_original_items,nonfood_exp_original_items,covered_daily_kcal_original_items,x_grain,p_grain_model,x_oil,p_oil_model,x_vegetable,p_vegetable_model,x_fruit,p_fruit_model,x_pork,p_pork_model,x_beef,p_beef_model,x_mutton,p_mutton_model,x_poultry,p_poultry_model,x_aquatic,p_aquatic_model,x_egg,p_egg_model,x_milk,p_milk_model,x_nonfood,p_nonfood_model
11_2015,11.0,北京,2015,2188,38487.30551090741,82.4844498132478,2602.514393396893,35884.79111751052,1243.6782482218812,0.27928291419322815,952.492628970482,0.1325254555849315,6189.55093593473,0.029857806650465755,4592.644815505541,0.02861623580931507,18653.351312937764,0.07153634571731508,3304.870252080553,0.005633320322465754,24978.021915935245,0.008255112937273972,12457.161462663009,0.01084457732410959,7430.470405742613,0.010006759580821917,10709.249008192222,0.02524102058279452,2992.1069015252456,0.020039575408219178,5093.899385419172,401.4433482762729,89.38942760315621
11_2016,11.0,北京,2016,2195,39218.02893452088,85.20643665708498,2162.823824116737,37055.205110404146,1140.2831664411153,0.257820426562503,911.1511033171773,0.11956476897123287,5695.686536840867,0.028304762143438356,4341.997166945951,0.026251298061095888,13456.792851125905,0.06598099315824658,3669.684200013934,0.004967868851753425,24036.829862868075,0.008560970678835614,12039.598729198415,0.010302234781232876,6479.6552769873715,0.008863184716438358,10081.803285482356,0.022233784161534244,2738.187269764383,0.017291291134246572,5155.518902332629,410.9201436158597,90.17617093272617
11_2017,11.0,北京,2017,2194,39912.29441309149,84.69519803714248,1978.9444033147968,37933.350009776696,1046.6663579564986,0.23266685748709856,927.8872298287143,0.10227710818356164,5543.935868897587,0.027269280239547944,4064.568471077998,0.026562748551506848,14769.06201803939,0.06376801697580824,3147.1397567026142,0.0050144542130958905,22363.946916294026,0.007810401053219177,12045.751834968585,0.009930195795753426,6472.482150007742,0.00891402395821918,10252.882777958577,0.02234394404920548,2550.570098719605,0.016776148471232877,4370.733610774196,410.2715007653659,92.45913971360824
11_2018,11.0,北京,2018,2192,40447.41658487019,87.15135878021962,2082.560905688558,38364.85567918163,1190.6335817790089,0.28270336221454545,879.4997542140694,0.08888179909315069,5440.327658401072,0.03155638823630137,4209.093936911092,0.03103905105589041,14426.773387968053,0.08198711577764385,2686.130838980439,0.005543792349534247,20141.016098646483,0.007362786170465753,11988.412633014825,0.010546066722876711,8063.255677796869,0.009298463968493154,10138.643320133766,0.027009773256767122,2883.8667521127877,0.019388192043835618,4766.005048571554,405.21937064807446,94.67675648827952
11_2019,11.0,北京,2019,2190,41748.69958820237,92.55474302459324,2327.7563171624674,39420.943271039905,1221.4405886009642,0.2990679260443452,832.2515573049811,0.08458353453698629,4942.802433042952,0.03410120672556164,3506.747312671004,0.03554642753890411,19387.08122558753,0.0734307940511507,3763.631146525298,0.006129701947479452,20768.04115247627,0.007225379399835616,12202.877684515399,0.011830155870958904,8006.825454499232,0.010450473768493153,9661.479093512862,0.026853607863342465,2794.986138100332,0.021501086553424656,4161.084638960618,410.86108109935896,95.94713416408185
11_2020,11.0,北京,2020,2189,36486.48837370888,98.20058234909344,2305.6927914412568,34180.79558226762,1325.5442029271433,0.3296421438348593,784.1354173872052,0.09269882345342464,4571.168590822027,0.0364030310470685,4592.957562532436,0.034034536711780826,12211.054251267704,0.07711796269430138,5364.40194662875,0.006573136153808219,24627.611806540102,0.008453168991616437,12910.616523808052,0.014349543561506849,8248.378969951298,0.009866138876027398,9391.386672098444,0.031215678692602736,2054.1507485599163,0.022417937446575345,3605.3577281888474,354.4980560512607,96.42026239299054
11_2021,11.0,北京,2021,2189,40043.44138787901,97.2185765256025,2208.488471119797,37834.95291675921,1351.975188136109,0.33796887899956124,802.3101852856556,0.08498342465753424,5223.899098782642,0.03531365753424658,3933.370365786169,0.03208558904109589,11105.68596389843,0.09318982191780824,3523.435038217715,0.006802520547945206,24332.685781396947,0.009355635616438356,13114.185856782278,0.013735178082191778,7895.263396596943,0.010390410958904112,11700.705894768156,0.029955353424657535,2517.559428227756,0.022207123287671233,3429.43089976044,385.95380089374305,98.0297456046444
11_2022,11.0,北京,2022,2184,37792.5360364724,101.010101010101,1896.1077684955235,35896.42826797687,1190.337225247285,0.29045760454528635,800.2778869169981,0.07438381159315068,5058.407794032158,0.03261040239156164,4450.737550666975,0.02613433652986301,11395.604480273265,0.08833436521964386,2851.2572557112744,0.006505529303342466,23106.0075184959,0.007942494373150684,12260.842288856094,0.012497938542191781,7822.906091534505,0.009781028941780822,11491.18519602874,0.03010630806586301,2677.433914600073,0.01641479311780822,3296.079849417631,361.76134630235623,99.22682076148352
11_2023,11.0,北京,2023,2186,41799.109015962975,100.0,1964.07948790253,39835.02952806045,1200.5742352605332,0.28137973277819794,832.5932501877371,0.07752926983561644,5516.518798605855,0.03323356618463014,2806.220086118513,0.029323932518356164,12035.482380773909,0.0917772657090411,2532.376701962099,0.006384412125616437,23269.372059647754,0.009270738726534247,11343.72726388482,0.013228187357534246,7367.8078736594225,0.010623725558904111,12834.24704653717,0.03210668218926027,2704.524005612908,0.015429604646575343,3184.8137309775634,398.3502952806045,100.0
12_2015,12.0,天津,2015,1439,27892.070044926553,80.63145603231898,2727.5462217170775,25164.523823209474,1507.152601244341,0.3916584675059102,1018.9491232795402,0.135591645230137,5781.40814318676,0.03416410509768493,5163.712175749401,0.030206561355068495,16950.931807439898,0.07950842770783562,3665.7348264391735,0.004389773649287671,20420.444657184526,0.00822781924619178,14314.428818413042,0.008807129923561642,6638.399743113424,0.017269236029452056,8783.650176196397,0.03100593759484931,2902.1334178175916,0.01274719728219178,4479.615349997461,281.61267890076846,89.35863229395531
