variant,income,group,group_label_cn,quantity_2000kcal_elasticity,expenditure_elasticity,budget_share_elasticity,xhat,budget_share,phi,u,support_flag
baseline_real_national_nonfood,10000.0,grain,粮食/主粮,-0.9384489190518326,-0.9384489190518326,-1.9384489190518326,0.5009707955131301,0.04256865188728519,5.7368580070770094e-05,-4.360565414556053,in_support
baseline_real_national_nonfood,10000.0,oil,食用油,0.23351574855121052,0.23351574855121052,-0.7664842514487895,0.11969024400724347,0.062142038801093216,6.63952663747983e-05,-4.360565414556053,in_support
baseline_real_national_nonfood,10000.0,vegetable,蔬菜,0.737710861709611,0.737710861709611,-0.262289138290389,0.023688905661978135,0.010676593269060642,0.0030813045547048576,-4.360565414556053,in_support
baseline_real_national_nonfood,10000.0,fruit,水果,0.4643799690696947,0.4643799690696947,-0.5356200309303053,0.017798512006283986,0.024504816492394936,0.010025449691812491,-4.360565414556053,in_support
baseline_real_national_nonfood,10000.0,pork,猪肉,0.7906535237338351,0.7906535237338351,-0.20934647626616487,0.06327305301652934,0.015028147225933593,0.019288631759889742,-4.360565414556053,in_support
baseline_real_national_nonfood,10000.0,beef,牛肉,16.810876520128218,16.810876520128218,15.810876520128218,0.0002907808346863161,0.0006897530032924046,0.013626634043437476,-4.360565414556053,in_support
baseline_real_national_nonfood,10000.0,mutton,羊肉,0.04745148036429731,0.04745148036429731,-0.9525485196357026,0.0051755362370413905,0.006310167771140232,0.0009629880752765591,-4.360565414556053,in_support
baseline_real_national_nonfood,10000.0,poultry,禽肉,0.44612322125270093,0.44612322125270093,-0.5538767787472991,0.01352325546620637,0.008618949685296846,0.0024553667812840722,-4.360565414556053,in_support
baseline_real_national_nonfood,10000.0,aquatic,水产品,15.4942335073048,15.4942335073048,14.4942335073048,0.0008921948894890868,0.0008063410105563274,0.014681674964554352,-4.360565414556053,in_support
baseline_real_national_nonfood,10000.0,egg,蛋类,0.40207561605432107,0.40207561605432107,-0.5979243839456789,0.014088168746521513,0.003923686607723686,0.002878429454786057,-4.360565414556053,in_support
baseline_real_national_nonfood,10000.0,milk,奶类,1.2025565050702118,1.2025565050702118,0.20255650507021183,0.005789875376932854,0.002119123223535384,0.00226969298712576,-4.360565414556053,in_support
baseline_real_national_nonfood,10000.0,nonfood,其他/未覆盖支出,1.169373098909277,1.169373098909277,0.169373098909277,82.26117310226876,0.8226117310226875,0.930606063840683,-4.360565414556053,in_support
baseline_real_national_nonfood,13533.915988267352,grain,粮食/主粮,-0.23678669939868,-0.23678669939868,-1.23678669939868,0.4427327620949514,0.027796855673966864,5.2045301181133256e-05,-2.1510744996496305,in_support
baseline_real_national_nonfood,13533.915988267352,oil,食用油,0.05178823215461927,0.05178823215461927,-0.9482117678453807,0.12318530875825036,0.04725656883514426,6.0234393656164286e-05,-2.1510744996496305,in_support
baseline_real_national_nonfood,13533.915988267352,vegetable,蔬菜,0.36438143259112166,0.36438143259112166,-0.6356185674088783,0.02719378275144983,0.009055946482790409,0.0027953877084386986,-2.1510744996496305,in_support
baseline_real_national_nonfood,13533.915988267352,fruit,水果,0.4066570293757927,0.4066570293757927,-0.5933429706242073,0.02024679839526749,0.0205968421608151,0.009095179766398506,-2.1510744996496305,in_support
baseline_real_national_nonfood,13533.915988267352,pork,猪肉,0.965182859842792,0.965182859842792,-0.03481714015720805,0.08534447775541514,0.014977474872742922,0.017498823364235975,-2.1510744996496305,in_support
baseline_real_national_nonfood,13533.915988267352,beef,牛肉,3.0349813804091705,3.0349813804091705,2.0349813804091705,0.0020195948838253983,0.003539717531693504,0.012362207187295077,-2.1510744996496305,in_support
baseline_real_national_nonfood,13533.915988267352,mutton,羊肉,0.1393772292492389,0.1393772292492389,-0.8606227707507611,0.005360279526850245,0.004828914478649384,0.0008736316002554247,-2.1510744996496305,in_support
baseline_real_national_nonfood,13533.915988267352,poultry,禽肉,0.3147040821500062,0.3147040821500062,-0.6852959178499938,0.015024674275475158,0.007075460038029347,0.002227531228495401,-2.1510744996496305,in_support
baseline_real_national_nonfood,13533.915988267352,aquatic,水产品,2.998263931170422,2.998263931170422,1.9982639311704218,0.00578108633606887,0.0038605127964020285,0.013319349972251772,-2.1510744996496305,in_support
baseline_real_national_nonfood,13533.915988267352,egg,蛋类,0.6142567763573127,0.6142567763573127,-0.3857432236426873,0.016809871662647448,0.0034592399569348745,0.0026113375600055103,-2.1510744996496305,in_support
baseline_real_national_nonfood,13533.915988267352,milk,奶类,0.8892982111618732,0.8892982111618732,-0.11070178883812676,0.00786541689731147,0.0021270870599483646,0.002059086262165535,-2.1510744996496305,in_support
baseline_real_national_nonfood,13533.915988267352,nonfood,其他/未覆盖支出,1.1091194362610968,1.1091194362610968,0.10911943626109677,115.77255228679422,0.8554253801128828,0.9370451856556208,-2.1510744996496305,in_support
baseline_real_national_nonfood,15906.54997808061,grain,粮食/主粮,-0.18963845150930272,-0.18963845150930272,-1.1896384515093028,0.42795124375860544,0.022861029609342737,4.8637874384681707e-05,-1.6369740569483242,in_support
baseline_real_national_nonfood,15906.54997808061,oil,食用油,0.04015896255272479,0.04015896255272479,-0.9598410374472752,0.12408892341710946,0.04050268065357558,5.62908236824271e-05,-1.6369740569483242,in_support
baseline_real_national_nonfood,15906.54997808061,vegetable,蔬菜,0.33006423662718126,0.33006423662718126,-0.6699357633728187,0.02875822779999246,0.008148427861963538,0.002612372551103838,-1.6369740569483242,in_support
baseline_real_national_nonfood,15906.54997808061,fruit,水果,0.3849643884866915,0.3849643884866915,-0.6150356115133084,0.021585538106464113,0.018683345456723403,0.008499714689797032,-1.6369740569483242,in_support
baseline_real_national_nonfood,15906.54997808061,pork,猪肉,0.8625493820659386,0.8625493820659386,-0.13745061793406144,0.09894071593269177,0.014773578528170404,0.01635316836206481,-1.6369740569483242,in_support
baseline_real_national_nonfood,15906.54997808061,beef,牛肉,2.0738828796348416,2.0738828796348416,1.0738828796348416,0.0030240673877475932,0.004509654720432551,0.01155284851173139,-1.6369740569483242,in_support
baseline_real_national_nonfood,15906.54997808061,mutton,羊肉,0.14368231876422072,0.14368231876422072,-0.8563176812357793,0.005484885139270729,0.004204139279858419,0.0008164345880875653,-1.6369740569483242,in_support
baseline_real_national_nonfood,15906.54997808061,poultry,禽肉,0.29680206166806317,0.29680206166806317,-0.7031979383319369,0.01578550224518503,0.006324926791732415,0.002081693863245234,-1.6369740569483242,in_support
baseline_real_national_nonfood,15906.54997808061,aquatic,水产品,2.0570561749634892,2.0570561749634892,1.0570561749634892,0.008621598356718536,0.004898586824455585,0.012447326773676852,-1.6369740569483242,in_support
baseline_real_national_nonfood,15906.54997808061,egg,蛋类,0.5799030816339236,0.5799030816339236,-0.42009691836607643,0.01851794245876534,0.0032423246880575523,0.0024403722398976357,-1.6369740569483242,in_support
baseline_real_national_nonfood,15906.54997808061,milk,奶类,0.7845511098425391,0.7845511098425391,-0.21544889015746094,0.009003097941413806,0.0020715860382255944,0.001924277056594994,-1.6369740569483242,in_support
baseline_real_national_nonfood,15906.54997808061,nonfood,其他/未覆盖支出,1.0975973809807105,1.0975973809807105,0.09759738098071047,138.35194578902644,0.8697797195474622,0.9411668626657336,-1.6369740569483242,in_support
baseline_real_national_nonfood,17951.50744040975,grain,粮食/主粮,-0.17051550637393767,-0.17051550637393767,-1.1705155063739376,0.41876827086333257,0.01982213058649771,4.5879270238608643e-05,-1.3227779552614258,in_support
baseline_real_national_nonfood,17951.50744040975,oil,食用油,0.03534241082464246,0.03534241082464246,-0.9646575891753575,0.12465419243344492,0.03605227802167641,5.309816566517795e-05,-1.3227779552614258,in_support
baseline_real_national_nonfood,17951.50744040975,vegetable,蔬菜,0.30805262728971083,0.30805262728971083,-0.6919473727102892,0.02988945605283018,0.007504206701141299,0.002464206089437245,-1.3227779552614258,in_support
baseline_real_national_nonfood,17951.50744040975,fruit,水果,0.36397847924843757,0.36397847924843757,-0.6360215207515625,0.022586573939519478,0.0173227642477052,0.008017634654837758,-1.3227779552614258,in_support
baseline_real_national_nonfood,17951.50744040975,pork,猪肉,0.7799266542794584,0.7799266542794584,-0.2200733457205416,0.10927461205802069,0.014457892813208141,0.015425662408818824,-1.3227779552614258,in_support
baseline_real_national_nonfood,17951.50744040975,beef,牛肉,1.6488776045529325,1.6488776045529325,0.6488776045529325,0.003781637813251099,0.004996971008653001,0.010897603269076349,-1.3227779552614258,in_support
baseline_real_national_nonfood,17951.50744040975,mutton,羊肉,0.1419110520634756,0.1419110520634756,-0.8580889479365243,0.005580643016472022,0.003790258858539623,0.0007701287026394723,-1.3227779552614258,in_support
baseline_real_national_nonfood,17951.50744040975,poultry,禽肉,0.2816201252728088,0.2816201252728088,-0.7183798747271912,0.016347815305231158,0.005804059984562805,0.001963626011912246,-1.3227779552614258,in_support
baseline_real_national_nonfood,17951.50744040975,aquatic,水产品,1.6381609556425714,1.6381609556425714,0.6381609556425714,0.010763902400135774,0.005419108483881642,0.011741349226759104,-1.3227779552614258,in_support
baseline_real_national_nonfood,17951.50744040975,egg,蛋类,0.5418229772887401,0.5418229772887401,-0.45817702271125993,0.019819232441882845,0.003074862322766504,0.0023019611546248914,-1.3227779552614258,in_support
baseline_real_national_nonfood,17951.50744040975,milk,奶类,0.7092974353257694,0.7092974353257694,-0.2907025646742306,0.009854095704095038,0.0020091059853715332,0.001815137446082162,-1.3227779552614258,in_support
baseline_real_national_nonfood,17951.50744040975,nonfood,其他/未覆盖支出,1.0910333699345356,1.0910333699345356,0.09103336993453559,157.92773344913513,0.8797463609859962,0.9445037135999081,-1.3227779552614258,in_support
baseline_real_national_nonfood,20000.0,grain,粮食/主粮,-0.15910694858069302,-0.15910694858069302,-1.159106948580693,0.4113911661190179,0.01747843137451492,4.3290629064648585e-05,-1.0725920673374776,in_support
baseline_real_national_nonfood,20000.0,oil,食用油,0.03236799606006086,0.03236799606006086,-0.9676320039399391,0.12511001249729767,0.03247796558315071,5.0102213524096105e-05,-1.0725920673374776,in_support
baseline_real_national_nonfood,20000.0,vegetable,蔬菜,0.28818804516555035,0.28818804516555035,-0.7118119548344497,0.03086819979001134,0.006956151094708986,0.0023251684519363697,-1.0725920673374776,in_support
baseline_real_national_nonfood,20000.0,fruit,水果,0.34179414462857666,0.34179414462857666,-0.6582058553714234,0.023465131802641558,0.01615328148191764,0.007565256509384686,-1.0725920673374776,in_support
baseline_real_national_nonfood,20000.0,pork,猪肉,0.7053854650755079,0.7053854650755079,-0.2946145349244921,0.11840522107707982,0.014061365856652441,0.014555301903095851,-1.0725920673374776,in_support
baseline_real_national_nonfood,20000.0,beef,牛肉,1.3706253536527337,1.3706253536527337,0.37062535365273375,0.004448883615783411,0.005276535571189395,0.010282728961505663,-1.0725920673374776,in_support
baseline_real_national_nonfood,20000.0,mutton,羊肉,0.13739496881560012,0.13739496881560012,-0.8626050311843999,0.005665627967551739,0.003453851095490823,0.0007266758129458754,-1.0725920673374776,in_support
baseline_real_national_nonfood,20000.0,poultry,禽肉,0.26584836559596975,0.26584836559596975,-0.7341516344040302,0.016838923111117676,0.005366083315218897,0.0018528325507639156,-1.0725920673374776,in_support
baseline_real_national_nonfood,20000.0,aquatic,水产品,1.3630454476107057,1.3630454476107057,0.3630454476107057,0.012650780081092333,0.005716712186479424,0.011078868330961085,-1.0725920673374776,in_support
baseline_real_national_nonfood,20000.0,egg,蛋类,0.5021650760689932,0.5021650760689932,-0.4978349239310068,0.02097009819145438,0.0029201841245966005,0.0021720778457856842,-1.0725920673374776,in_support
baseline_real_national_nonfood,20000.0,milk,奶类,0.643279668341447,0.643279668341447,-0.356720331658553,0.010601083235672323,0.0019400246306549632,0.001712722139454837,-1.0725920673374776,in_support
baseline_real_national_nonfood,20000.0,nonfood,其他/未覆盖支出,1.0860685428460684,1.0860685428460684,0.08606854284606835,177.63988273708506,0.8881994136854253,0.9476349746515773,-1.0725920673374776,in_support
baseline_real_national_nonfood,22009.754395976976,grain,粮食/主粮,-0.15171418278110663,-0.15171418278110663,-1.1517141827811066,0.4053210741585892,0.015648095075980334,4.0921714529234395e-05,-0.8679423321349771,in_support
baseline_real_national_nonfood,22009.754395976976,oil,食用油,0.03035620431107973,0.03035620431107973,-0.9696437956889202,0.1254858254056363,0.02960098894773217,4.7360561013193285e-05,-0.8679423321349771,in_support
baseline_real_national_nonfood,22009.754395976976,vegetable,蔬菜,0.2698477797978431,0.2698477797978431,-0.7301522202021569,0.03170421540961674,0.006492164471791881,0.002197932478191268,-0.8679423321349771,in_support
baseline_real_national_nonfood,22009.754395976976,fruit,水果,0.3197756685277953,0.3197756685277953,-0.6802243314722047,0.02422064220148665,0.015150892490445659,0.007151276705985319,-0.8679423321349771,in_support
baseline_real_national_nonfood,22009.754395976976,pork,猪肉,0.6399232291914351,0.6399232291914351,-0.3600767708085649,0.12628154132799213,0.013627347430475627,0.013758818530352664,-0.8679423321349771,in_support
baseline_real_national_nonfood,22009.754395976976,beef,牛肉,1.1733692255610702,1.1733692255610702,0.17336922556107015,0.005023626571975264,0.005414146136149883,0.009720045844467597,-0.8679423321349771,in_support
baseline_real_national_nonfood,22009.754395976976,mutton,羊肉,0.13139796956832622,0.13139796956832622,-0.8686020304316737,0.005739088728111227,0.0031791666595145326,0.0006869112511223298,-0.8679423321349771,in_support
baseline_real_national_nonfood,22009.754395976976,poultry,禽肉,0.25011238457238405,0.25011238457238405,-0.749887615427616,0.01726028292057393,0.004998109964764251,0.0017514433573974132,-0.8679423321349771,in_support
baseline_real_national_nonfood,22009.754395976976,aquatic,水产品,1.1676188130829752,1.1676188130829752,0.16761881308297522,0.01427607232302655,0.005862091061061966,0.010472619523951133,-0.8679423321349771,in_support
baseline_real_national_nonfood,22009.754395976976,egg,蛋类,0.4640198085161834,0.4640198085161834,-0.5359801914838166,0.021963305433504006,0.002779215812501018,0.0020532191714696148,-0.8679423321349771,in_support
baseline_real_national_nonfood,22009.754395976976,milk,奶类,0.5857476037977047,0.5857476037977047,-0.41425239620229526,0.01124349484186336,0.0018697051473502964,0.0016189999538700252,-0.8679423321349771,in_support
baseline_real_national_nonfood,22009.754395976976,nonfood,其他/未覆盖支出,1.0821217971770927,1.0821217971770927,0.08212179717709267,197.07051561959344,0.8953780768022324,0.9505004509076502,-0.8679423321349771,in_support
baseline_real_national_nonfood,30000.0,grain,粮食/主粮,-0.1367982427900017,-0.1367982427900017,-1.1367982427900016,0.3877070809084352,0.010981457009233404,3.307111792413305e-05,-0.27858020276478834,in_support
baseline_real_national_nonfood,30000.0,oil,食用油,0.025894053634806284,0.025894053634806284,-0.9741059463651938,0.12657647360770882,0.02190576795259317,3.827470858048911e-05,-0.27858020276478834,in_support
baseline_real_national_nonfood,30000.0,vegetable,蔬菜,0.20669395605821092,0.20669395605821092,-0.793306043941789,0.034135310846258864,0.0051282632078050285,0.0017762717181269909,-0.27858020276478834,in_support
