scenario,soy_particip,soy_share,soy_share_lo,soy_share_hi,fiscal,d_share,d_fiscal,cost_per_pp
S0_基线,0.473,0.2062,0.0754,0.3999,2526526.5553,0.0,0.0,
S1_大豆补贴+50%,0.6281,0.3195,0.1479,0.4961,5204573.6374,0.1133,2678047.0821,236270.0876
S2_大豆补贴+100元,0.5614,0.2668,0.1073,0.4565,3865707.9666,0.0606,1339181.4113,221070.4947
S3_轮作补贴150元,0.5681,0.2671,0.1129,0.4552,3505887.5031,0.0609,979360.9478,160866.7034
S4_豆价+10%,0.5265,0.2428,0.0959,0.4323,2872797.7654,0.0366,346271.2102,94697.526
S5_取消玉米补贴,0.4901,0.2175,0.0778,0.4088,2184911.1812,0.0113,-341615.3741,-301051.9861
