year,soy_particip,soy_particip_lo,soy_particip_hi,soy_share,soy_share_lo,soy_share_hi,fiscal,fiscal_lo,fiscal_hi,soy_area,total_area,scenario,param_set
2025,0.3503030303030303,0.12272727272727273,0.6090909090909091,0.14569123149421048,0.06631357544546092,0.251941664673641,1953584.3182395017,1201897.5534899496,2959749.634091542,4180.787631028793,28696.22,S0_基线,main
2026,0.41280303030303034,0.12727272727272726,0.6956818181818182,0.173422039491481,0.05857290296118073,0.30917880544761833,2216188.209371755,1128595.300106189,3501771.1967524784,4976.556998096227,28696.22,S0_基线,main
2027,0.45103030303030295,0.13613636363636364,0.759090909090909,0.19085117973246046,0.06320213593218878,0.3616058690623932,2381237.855484536,1172432.9910693984,3998242.5187288593,5476.7074408622275,28696.22,S0_基线,main
2028,0.45153030303030306,0.14522727272727273,0.7772727272727272,0.19470592399804917,0.06562754444477716,0.3678548226533748,2417741.330015929,1195401.009637544,4057418.563244338,5587.3240303512985,28696.22,S0_基线,main
2029,0.46415151515151515,0.15431818181818183,0.7684090909090909,0.20249382477235686,0.07166664503868367,0.37817204099862456,2491490.823621971,1252589.798188352,4155120.0684940293,5810.8073443090025,28696.22,S0_基线,main
2030,0.47169696969696967,0.16340909090909092,0.7820454545454546,0.20631963153223248,0.07499437007338071,0.40220411188024946,2527720.267133401,1284102.5309877594,4382697.834208684,5920.59353676788,28696.22,S0_基线,main
2025,0.3332727272727273,0.14068181818181819,0.6047727272727272,0.13971777573742183,0.06920336155839514,0.230558727945227,1897017.1700556676,1229263.1130463528,2757258.5134120076,4009.3720304717185,28696.22,S0_基线,wooldridge
2026,0.3843787878787879,0.14522727272727273,0.7047727272727273,0.1673009755854323,0.06992999707918215,0.293055531734485,2158223.248532684,1236144.1716585779,3349087.783587024,4800.905601614195,28696.22,S0_基线,wooldridge
2027,0.42275757575757583,0.15,0.7606818181818185,0.18385623637174878,0.07103844918638268,0.32307785276410195,2314997.4724075827,1246640.9388827155,3633391.7362152743,5275.979007295706,28696.22,S0_基线,wooldridge
2028,0.43136363636363634,0.14977272727272728,0.759090909090909,0.1906081172918147,0.07305339666366521,0.36467644206544,2378936.1143052676,1265721.9929945746,4027320.085407953,5469.73246759172,28696.22,S0_基线,wooldridge
2029,0.4485454545454545,0.16363636363636364,0.7865909090909091,0.19951958906723646,0.07659281984351976,0.38996797463490973,2463325.5473203943,1299239.4548545028,4266824.641715672,5725.458022183014,28696.22,S0_基线,wooldridge
2030,0.45836363636363636,0.15454545454545454,0.786818181818182,0.204297605343944,0.07322487958194292,0.4111105260462366,2508572.1793795875,1267345.8938057912,4467039.372913715,5862.569028422992,28696.22,S0_基线,wooldridge
2025,0.4153636363636364,0.17272727272727273,0.6909090909090909,0.2003044627488178,0.10069341812513283,0.30133547428027474,3476654.7696610494,2033132.2419307544,4940754.877194308,5747.98093002188,28696.22,S1_大豆补贴+50%,main
2026,0.5229393939393939,0.21795454545454546,0.7863636363636364,0.25733035553409017,0.13028878251408696,0.39345602566089055,4303050.6900176555,2462016.161110977,6275728.239708734,7384.408495084466,28696.22,S1_大豆补贴+50%,main
2027,0.5830909090909091,0.2581818181818182,0.8502272727272727,0.289300313551418,0.13375117888978635,0.4470592080473074,4766346.249088939,2512191.7936137356,7052523.640511404,8301.825443740474,28696.22,S1_大豆补贴+50%,main
2028,0.5994393939393938,0.27136363636363636,0.8775000000000001,0.3047651237128619,0.13274684284988927,0.4606263666616431,4990455.954387708,2497637.366396555,7249133.355539202,8745.607038391501,28696.22,S1_大豆补贴+50%,main
2029,0.6198484848484849,0.29977272727272725,0.8954545454545455,0.3182651286006902,0.15528499221893344,0.4898264331420605,5186092.505070116,2824251.0112034655,7672288.779066233,9133.006148653698,28696.22,S1_大豆补贴+50%,main
2030,0.6307272727272726,0.2727272727272727,0.9002272727272728,0.3238469696205408,0.1491053554217602,0.5080940346444432,5266982.262714999,2734698.241592318,7937015.390416498,9293.183886564355,28696.22,S1_大豆补贴+50%,main
2025,0.37769696969696964,0.17250000000000001,0.614318181818182,0.19154805530821184,0.1111596257035024,0.28657125672468314,3349760.4935267908,2184804.2425242066,4726797.873467231,5496.705135696616,28696.22,S1_大豆补贴+50%,wooldridge
2026,0.4578939393939394,0.18181818181818182,0.7593181818181818,0.23923843674119438,0.11189365334411563,0.3654691168751845,4040870.0006566048,2195441.4709480717,5870153.401433286,6865.238813181398,28696.22,S1_大豆补贴+50%,wooldridge
2027,0.5146515151515152,0.2268181818181818,0.8454545454545455,0.2686796824196393,0.139016787397242,0.4194364992664038,4467520.494503271,2588498.838996465,6652226.639784169,7710.091276244102,28696.22,S1_大豆补贴+50%,wooldridge
2028,0.5325757575757575,0.20431818181818184,0.8595454545454547,0.2819207145733473,0.1430201044836431,0.45802793442314954,4659404.118216761,2646513.273256232,7211477.938037895,8090.058847953981,28696.22,S1_大豆补贴+50%,wooldridge
2029,0.5530454545454545,0.2131818181818182,0.8772727272727273,0.29482063997335983,0.1380174761251022,0.48248348934596885,4846344.562334245,2574017.2286589933,7565877.8401029855,8460.23794521633,28696.22,S1_大豆补贴+50%,wooldridge
2030,0.5651363636363637,0.2225,0.9090909090909091,0.3021468157360735,0.14216287747050532,0.5040886640801356,4952512.505814223,2634090.6899019657,7878971.197994588,8670.471496661827,28696.22,S1_大豆补贴+50%,wooldridge
2025,0.38649999999999995,0.15863636363636363,0.6415909090909092,0.17570108170183552,0.0806530289249709,0.27283712788936293,2741965.8647441543,1569132.336529851,3940563.9258149564,5041.956894753847,28696.22,S2_大豆补贴+100元,main
2026,0.4735606060606061,0.16363636363636364,0.7545454545454545,0.2191497906965919,0.0927925250907586,0.3528653407314136,3278095.7609168435,1718926.1271747688,4928062.022641547,6288.770606783357,28696.22,S2_大豆补贴+100元,main
2027,0.5257424242424242,0.2040909090909091,0.818409090909091,0.2443464212572205,0.0990822917221663,0.4097414694008738,3589006.4240622474,1796537.913786289,5629877.880091815,7011.818660609877,28696.22,S2_大豆补贴+100元,main
2028,0.5343030303030304,0.20886363636363636,0.8363636363636363,0.2537850361970214,0.10235643655346859,0.4150551120891549,3705473.0295096063,1836938.8133543818,5695444.907713071,7282.671231417688,28696.22,S2_大豆补贴+100元,main
2029,0.5514090909090908,0.21795454545454546,0.8411363636363637,0.26396285297076505,0.10945902046408482,0.4402339516147025,3831060.9232909926,1924580.2568554084,6006136.040612088,7574.736100676727,28696.22,S2_大豆补贴+100元,main
2030,0.5624848484848485,0.2315909090909091,0.8456818181818182,0.26916611769273424,0.10648983083003151,0.4646551696790422,3895265.955838336,1887942.3137023877,6307478.59849626,7724.050129856594,28696.22,S2_大豆补贴+100元,main
2025,0.3581666666666667,0.1590909090909091,0.6047727272727272,0.16762101955069947,0.09426690866943342,0.25724158399369584,2642262.951070004,1737119.0984561262,3748124.667595576,4810.089653651173,28696.22,S2_大豆补贴+100元,wooldridge
2026,0.42550000000000004,0.16363636363636364,0.7322727272727274,0.2057972539364045,0.09818930991184238,0.3410838291305588,3113333.80797262,1785519.0767177166,4782685.5376443565,5905.603274354929,28696.22,S2_大豆补贴+100元,wooldridge
2027,0.475060606060606,0.19863636363636367,0.8004545454545456,0.22984253291234458,0.10180271116619971,0.37887007823895164,3410037.5126182484,1830106.1883753412,5248944.220121729,6595.611889809879,28696.22,S2_大豆补贴+100元,wooldridge
2028,0.4892878787878789,0.1815909090909091,0.8136363636363636,0.239520049646502,0.10891272346456607,0.41658664003702534,3529452.0167987854,1917839.2935354905,5714343.004772215,6873.3200390669435,28696.22,S2_大豆补贴+100元,wooldridge
2029,0.5063787878787879,0.195,0.8320454545454545,0.24999769889884826,0.1155029135578224,0.4347105570595512,3658739.6558508966,1999158.1177813895,5937980.80613248,7173.988967095108,28696.22,S2_大豆补贴+100元,wooldridge
2030,0.5187272727272727,0.19090909090909092,0.8547727272727272,0.2565346216686405,0.10417844936186609,0.4674434463097013,3739401.1946386322,1859421.3119231972,6341884.188330396,7361.573941020076,28696.22,S2_大豆补贴+100元,wooldridge
2025,0.3998787878787879,0.15863636363636363,0.6681818181818182,0.18564826673638643,0.08513764600038279,0.28388463848779,2921111.99873824,1672034.7570101954,4228377.846951397,5327.403504886027,28696.22,S3_轮作补贴150元,main
2026,0.48907575757575766,0.1815909090909091,0.7593181818181818,0.22728948170543467,0.10253330303536767,0.36104960896519056,3199334.797664116,1790963.6308187714,4711429.479492033,6522.348970705128,28696.22,S3_轮作补贴150元,main
2027,0.5385151515151515,0.20909090909090908,0.8363636363636363,0.24912837839568436,0.10707031600199375,0.4183355693280515,3362435.0769456658,1889536.5128461232,5037592.235568957,7149.0427546858045,28696.22,S3_轮作补贴150元,main
2028,0.5456363636363636,0.2134090909090909,0.845909090909091,0.25609625663774743,0.10546583299840247,0.4239181996799167,3404133.848907583,1834113.3363256007,5074030.353141443,7348.9945216532615,28696.22,S3_轮作补贴150元,main
