scenario,soy_particip,soy_share,soy_share_lo,soy_share_hi,fiscal,d_share,d_fiscal,cost_per_pp
S0_基线,0.4153,0.1858,0.0681,0.3502,2333235.9475,0.0,0.0,
S1_大豆补贴+50%,0.7197,0.3438,0.1515,0.5506,5556096.5015,0.158,3222860.554,203958.8374
S2_大豆补贴+100元,0.6116,0.2798,0.1147,0.4824,4026639.4259,0.094,1693403.4783,180090.6856
S3_轮作补贴150元,0.6259,0.2685,0.1273,0.458,3509561.1471,0.0827,1176325.1996,142282.7757
S4_豆价+10%,0.5408,0.2432,0.0998,0.4332,2877104.5113,0.0574,543868.5638,94697.526
S5_取消玉米补贴,0.4567,0.2041,0.077,0.3756,2050314.4025,0.0184,-282921.545,-154116.7579
