extra_sub,share_2030,particip_2030,fiscal_2030
0,0.18972622281798665,0.4828181818181817,2370584.7918188083
100,0.23164384147875117,0.559030303030303,3432264.533789328
200,0.2768108451049461,0.6367727272727273,4783939.602044252
300,0.32389912009737665,0.7098636363636363,6429573.057116067
400,0.36876550408459735,0.7711666666666667,8298912.904544427
500,0.40968270760895914,0.8177272727272727,10331690.839426162
