province,year,Shat_labor,Shat_mach,Shat_fert,Shat_seed,Shat_other,Sobs_labor,Sobs_mach,Sobs_fert,Sobs_seed,mono_ok,conc_ok
云南,2008,0.591859876703183,0.133496653276391,0.144544906264647,0.0479762288601882,0.0821223348955903,0.538303757342201,0.14111010970569,0.195481244367095,0.039935357553532,TRUE,TRUE
云南,2009,0.59684187373531,0.137546905074412,0.134460014576069,0.0553580842495646,0.0757931223646456,0.545301506453145,0.152184860649487,0.154688421749327,0.055697040330355,TRUE,TRUE
云南,2010,0.613825923126055,0.139348009264769,0.118669918366182,0.060817550707446,0.0673385985355485,0.596989781828224,0.132988124827396,0.12085059375863,0.0727147196906932,TRUE,TRUE
云南,2011,0.622341119742148,0.134308705963108,0.116983517816626,0.0602119585924701,0.0661546978856484,0.598728860395711,0.142246048413839,0.122372057035481,0.0645738918978667,TRUE,TRUE
云南,2012,0.646076422670221,0.12696102516707,0.107881352267594,0.0622121567365945,0.05686904315852,0.65070322552021,0.128293180708993,0.103048050046586,0.062194418563379,TRUE,TRUE
云南,2013,0.664675743060281,0.124822057484131,0.0954156760664449,0.0602311508024818,0.0548553725866611,0.672259984653899,0.121799989149221,0.0958123745378731,0.0571526006991002,TRUE,TRUE
云南,2014,0.667193773973523,0.127662379145503,0.086958012285939,0.0612429065247968,0.0569429280702386,0.660497647471125,0.131503008701747,0.0865253409489155,0.0587796675887884,TRUE,TRUE
云南,2015,0.662133863343566,0.133248338043114,0.0853589939153908,0.0618199970424965,0.0574388076554322,0.678783548430313,0.128380892838536,0.0791541999732059,0.0590437487905447,TRUE,TRUE
云南,2016,0.65761519845323,0.136598160945338,0.0833703396738258,0.0646865623508201,0.0577297385767861,0.655416016076877,0.13883971203684,0.0836654734915603,0.0686432438372153,TRUE,TRUE
云南,2017,0.654520737592485,0.134623377011976,0.086033707854498,0.0662733434051012,0.0585488341359397,0.647426039336633,0.153113694938592,0.0738440577598019,0.0716930446658978,TRUE,TRUE
云南,2018,0.643614123223791,0.141951148339826,0.0896608712011527,0.0678462257679874,0.0569276314672425,0.672034844890254,0.125516298321586,0.0811532085887568,0.0674805797781094,TRUE,TRUE
云南,2019,0.639972852309664,0.143238051723596,0.0907435453693889,0.0691133721272278,0.0569321784701236,0.668334042855116,0.141535405136938,0.0726834113807294,0.0675109975876259,TRUE,TRUE
云南,2020,0.635859914817511,0.146557373715682,0.0904592459996491,0.0718673222339255,0.0552561432332316,0.662889518413598,0.141469901715647,0.0767227466978812,0.0699488145618762,TRUE,TRUE
云南,2021,0.632530555883412,0.145796634396181,0.0941515233971139,0.0731714688166876,0.0543498175066049,0.674393998910275,0.138147974505506,0.0708828038875302,0.067588286724363,TRUE,TRUE
云南,2022,0.610200313372667,0.155142410698688,0.101688556214502,0.0734715457642411,0.0594971739499024,0.662858613302055,0.134043877392251,0.0822671182870343,0.0682098359086067,TRUE,TRUE
云南,2023,0.607031622175183,0.155394991897303,0.104124865591637,0.0739623373452527,0.0594861829906257,0.667724684518313,0.13354108956602,0.0846799015081564,0.0684826100338566,TRUE,TRUE
云南,2024,0.606633403212321,0.156088642167937,0.102253516269643,0.0765599329611769,0.058464505388922,0.661112662885734,0.130934019892401,0.0852288597695008,0.0765153079193131,TRUE,TRUE
四川,2004,0.645874593064147,0.0919746980342166,0.155194274824992,0.0506330711870602,0.0563233628895851,0.620406318140722,0.120299952135298,0.149045365101314,0.0481838004573738,TRUE,TRUE
四川,2005,0.621027093550853,0.100211080771466,0.164047979973928,0.0554901119404914,0.0592237337632613,0.605030721966206,0.106662826420891,0.168130760368664,0.0584677419354839,TRUE,TRUE
四川,2006,0.603910404218932,0.129076645084289,0.150658715199628,0.0579840344012496,0.0583702010959016,0.557952225961273,0.157141280962101,0.145942516687814,0.0680200805428367,TRUE,TRUE
四川,2007,0.594959875664273,0.127224957928838,0.156183102061739,0.0537986996414555,0.0678333647036952,0.552475942261427,0.144446672012831,0.176172814755413,0.0596431435445068,TRUE,TRUE
四川,2008,0.600308693791613,0.11740755847459,0.159191403471594,0.0531427000432567,0.0699496442189465,0.524169722367732,0.143970665269775,0.208465165007858,0.0569722367731797,TRUE,TRUE
四川,2009,0.595754751028128,0.125149239706644,0.15760316104493,0.0548479034326429,0.0666449447876553,0.548571309476668,0.147099893707926,0.182384693941352,0.0573560367645526,TRUE,TRUE
四川,2010,0.615418903808089,0.120336189034772,0.144436630313442,0.0575136223592696,0.0622946544844273,0.574173369079535,0.132690589124905,0.155564721248367,0.0632604660754795,TRUE,TRUE
四川,2011,0.623124678316731,0.119506092689276,0.138656520640357,0.0588972265273214,0.059815481826315,0.615393112590097,0.116911988069924,0.138769987020519,0.0646074397282594,TRUE,TRUE
四川,2012,0.634733240490732,0.123628081484894,0.126952153624081,0.057725059202291,0.0569614651980021,0.636569138089745,0.111033430046259,0.136004008342946,0.0589715803824239,TRUE,TRUE
