crop,f_n,f_m,eps,morishima
peanut,labor,labor,-0.298680646790292,0
peanut,labor,mach,0.118265224322838,1.04500087630821
peanut,labor,fert,0.0623282152397844,0.766006805776466
peanut,labor,seed,0.0753655715555652,0.484556437084429
peanut,labor,other,0.0427216356721046,1.00519119246023
peanut,mach,labor,0.68802272727761,0.986703374067902
peanut,mach,mach,-0.926735651985373,0
peanut,mach,fert,0.137708772644573,0.841387363181255
peanut,mach,seed,-0.0530919643851627,0.356098901143701
peanut,mach,other,0.154096116448353,1.11656567323648
peanut,fert,labor,0.261767018341888,0.56044766513218
peanut,fert,mach,0.0994136726174887,1.02614932460286
peanut,fert,fert,-0.703678590536681,0
peanut,fert,seed,0.221971301845032,0.631162167373896
peanut,fert,other,0.120526597732272,1.0829961545204
peanut,seed,labor,0.244064327328762,0.542744974119054
peanut,seed,mach,-0.0295538714498983,0.897181780535475
peanut,seed,fert,0.171158276300066,0.874836866836747
peanut,seed,seed,-0.409190865528864,0
peanut,seed,other,0.0235221333499351,0.985991690138061
peanut,other,labor,0.390965892641799,0.689646539432091
peanut,other,mach,0.242402429842239,1.16913808182761
peanut,other,fert,0.262629593777313,0.966308184313994
peanut,other,seed,0.0664716405267758,0.47566250605564
peanut,other,other,-0.962469556788126,0
