crop,year,eCy,RTS,tauC,TFP
rice_early_indica,2004,0.36635699620794,4.01802748152778,-0.0126148792687179,0.0528596957743676
rice_early_indica,2005,0.485727133267052,2.49014537235041,-0.0115546345908651,0.03026111990897
rice_early_indica,2006,0.35845195029435,3.91142019150318,-0.0120274617584495,0.0509352614540481
rice_early_indica,2007,0.239139280671321,-10.880953274562,-0.0124498697190891,-0.17600392410066
rice_early_indica,2008,0.226525876597419,3.86410336183847,-0.0116355134705546,0.0427722918671102
rice_early_indica,2009,0.0528032034420899,-4.57902464977346,-0.0128600433769778,-0.0820820732911378
rice_early_indica,2010,0.279404528067523,2.37318658373585,-0.013644253999831,0.0253103120303307
rice_early_indica,2011,0.0605308110762974,5.57515924091274,-0.0155599065890207,0.0860049241081742
rice_early_indica,2012,-0.00279526812441565,-10.2132979026089,-0.0178413050929914,-0.158188853963589
rice_early_indica,2013,-0.0516756915116362,-10.9759570958707,-0.019353712635357,-0.214685465975471
rice_early_indica,2014,-0.0920815152485668,-5.06678785463706,-0.020020108921293,-0.0985994403893589
rice_early_indica,2015,-0.0844270130934755,-14.7792045953539,-0.0197668601961191,-0.299404353698874
rice_early_indica,2016,-0.108886627374101,8.75705361459213,-0.0198332121919558,0.206567528432753
rice_early_indica,2017,-0.191580463212245,0.300085072646298,-0.0199298949084184,0.0108865025527257
rice_early_indica,2018,-0.259273548822487,-6.59786138436935,-0.0198004682953942,-0.127974662878136
rice_early_indica,2019,-0.0856594816704612,-2.96472328288506,-0.0186975649919914,-0.0607083637557628
rice_early_indica,2020,0.0783372960688801,-3.01469454570952,-0.0180075653856241,-0.0667655294407226
rice_early_indica,2021,-0.211425753587828,-3.58614577229735,-0.0189378657452857,-0.0693363508709628
rice_early_indica,2022,-0.244371562412629,-0.64821556550572,-0.0177866361645756,-0.0043725546253369
rice_early_indica,2023,-0.232325574664213,80.2571250023091,-0.017638747633556,1.13282478362105
rice_early_indica,2024,-0.202615928822603,-4.88865064943599,-0.0176955694216606,-0.0935260147541533
