crop,year,eCy,RTS,tauC,TFP
peanut,2004,0.18259114290203,5.72430395643857,-0.0176308587357715,0.101768710318262
peanut,2005,0.174242204674393,5.8415422567508,-0.0167526287051919,0.098087439649525
peanut,2006,0.176423952825798,5.74136280910687,-0.0159926600993645,0.0920782960844181
peanut,2007,0.179316934273197,5.6148441696012,-0.0152559337181207,0.085765487256626
peanut,2008,0.195145173709992,5.25006091122262,-0.0135777995051099,0.0719619880991062
peanut,2009,0.175785606572898,5.77163296444454,-0.0134988136362482,0.0781299875914021
peanut,2010,0.135281636341417,7.51143890471755,-0.013779507064216,0.103743181842141
peanut,2011,0.12920367574374,7.91564686818922,-0.0131577672027539,0.104401337050446
peanut,2012,0.0920577011703003,11.2461142015024,-0.0133690913521697,0.150795078162591
peanut,2013,0.0659647533788592,15.621308543475,-0.0132199317498745,0.207088235561937
peanut,2014,0.0405006138204173,44.2981949346593,-0.0130774927247385,0.593650849538503
peanut,2015,0.0353004712102526,17.9938777441609,-0.012337321968188,0.217324407831044
peanut,2016,0.0397679344327273,29.229569957315,-0.0116010283424746,0.342386393705091
peanut,2017,0.0378020742759103,44.0844695109798,-0.0107611266075806,0.487202827979067
peanut,2018,0.0383431642150259,38.7870328914012,-0.00971868244557112,0.384725214661826
peanut,2019,0.0488446547484713,35.8010100082457,-0.00861159743571586,0.320060501568453
peanut,2020,0.0460614054633867,37.5758594654271,-0.00782940019503585,0.306231348007429
peanut,2021,0.0475180340279856,24.7563728373466,-0.00681188436494144,0.172088112033508
peanut,2022,0.0598619932948609,18.5463603979108,-0.00537495277918597,0.101835330399968
peanut,2023,0.0626808297276005,19.9978290087847,-0.00449854661327265,0.0946696385750126
peanut,2024,0.0557799703691725,19.3731004158523,-0.0038218331152358,0.07547825104826
