crop,year,tauC
peanut,2004,-0.0175022026695729
peanut,2005,-0.0170380523159107
peanut,2006,-0.0164875756110956
peanut,2007,-0.0159311138372069
peanut,2008,-0.0154836171142044
peanut,2009,-0.0147520208101785
peanut,2010,-0.0139497601692148
peanut,2011,-0.0132046816334946
peanut,2012,-0.0123530319816855
peanut,2013,-0.0115937381783434
peanut,2014,-0.0109379121700048
peanut,2015,-0.0103386419982231
peanut,2016,-0.009757358646581
peanut,2017,-0.0091932596978324
peanut,2018,-0.00865822178528884
peanut,2019,-0.00813783004955376
peanut,2020,-0.00753194527743604
peanut,2021,-0.00699494503049767
peanut,2022,-0.00649566819820461
peanut,2023,-0.00592914538017732
peanut,2024,-0.00530710041467474
