crop,eps_ll_base,eps_mm_base,M_ml_base,mml24_base,variant,n,conc,conc_obs,eps_ll,eps_mm,M_ml,M_lm,B_labor,mml_2024
corn,-0.298,-0.966,0.963,0.957,regionperiod,427,0.991,0.993,-0.268,-0.863,0.812,1.014,-0.0078,0.811
peanut,-0.278,-0.896,0.921,0.926,regionperiod,222,0.995,0.991,-0.264,-0.901,0.874,1.007,-0.0038,0.876
rapeseed,-0.261,-1.038,1.041,1.031,regionperiod,302,0.96,0.983,-0.26,-1.011,1.037,1.145,0.003,1.015
rice_early_indica,-0.229,-0.627,0.535,0.529,regionperiod,189,1,0.995,-0.216,-0.612,0.48,0.746,-0.0208,0.474
rice_japonica,-0.268,-0.715,0.636,0.628,regionperiod,278,0.986,0.986,-0.238,-0.661,0.542,0.826,-0.0164,0.527
rice_late_indica,-0.226,-0.676,0.565,0.553,regionperiod,189,1,1,-0.209,-0.601,0.465,0.731,-0.0244,0.455
rice_mid_indica,-0.293,-0.755,0.79,0.79,regionperiod,237,0.975,0.996,-0.254,-0.755,0.721,0.917,-0.0086,0.721
soybean,-0.401,-1.032,1.166,1.181,regionperiod,240,0.996,0.992,-0.368,-0.945,1.014,1.141,-2e-04,1.023
wheat,-0.407,-0.808,0.733,0.738,regionperiod,325,0.997,0.991,-0.402,-0.764,0.676,0.912,-0.0023,0.674
