crop,year,eCy,RTS,tauC,TFP
rapeseed,2004,0.118654208147227,-8.79335110270198,-0.0358593243696244,-0.253472345054664
rapeseed,2005,0.111056260902459,6.98997965165069,-0.0343460831425925,0.245481630922507
rapeseed,2006,0.121286399600513,10.0335963965641,-0.0336988015707466,0.330645671911154
rapeseed,2007,0.151324424320886,7.67463097799363,-0.0334652957676245,0.251116394131183
rapeseed,2008,0.0602566270648501,1.82290811970838,-0.0294700127549423,0.0839263665245789
rapeseed,2009,0.0190402400281179,18.2115813464268,-0.027013636742066,0.508991703550542
rapeseed,2010,-0.0128238799686661,3.4314751156789,-0.0245649647057052,0.156365446014388
rapeseed,2011,0.00676764033922104,6.42890441166207,-0.0239740280456743,0.187816270999589
rapeseed,2012,-0.00583980694240981,17.4248143373021,-0.0223545469425079,0.432931382175878
rapeseed,2013,0.000392792628320733,12.242086433228,-0.021301159579966,0.310595619618845
rapeseed,2014,-0.00964520017130475,26.5881223212976,-0.0196176613348447,0.573773362409205
rapeseed,2015,0.000270957908936351,-2.03070808436604,-0.0186584279239609,0.00154533839814274
rapeseed,2016,-0.0395534280879196,5.85601272395112,-0.0160879081847896,0.140478076577449
rapeseed,2017,-0.0233663374377536,42.1696258529118,-0.0154600121545304,0.716921567879572
rapeseed,2018,-0.0511621381896608,-1264.08868663175,-0.0134395383102448,-19.4890127352411
rapeseed,2019,-0.0492065079639709,6.36484816778298,-0.0122992790469694,0.122487277788182
rapeseed,2020,-0.0580755369124275,-16.4359908871898,-0.0108356895896528,-0.172103855174395
rapeseed,2021,-0.0827711904164669,-11.3327218039659,-0.00882364111830745,-0.105433969960245
rapeseed,2022,-0.0823020787051775,10.7583786929718,-0.00758647935252195,0.159587069246402
rapeseed,2023,-0.133100196606934,2.36688889041479,-0.00478933481298021,0.0599731063279147
rapeseed,2024,-0.19927562625243,-7.67624091887292,-0.00138593515093248,-0.0291149083468427
