crop,eps_ll_base,eps_mm_base,M_ml_base,mml24_base,variant,n,conc,conc_obs,eps_ll,eps_mm,M_ml,M_lm,B_labor,mml_2024
corn,-0.298,-0.966,0.963,0.957,fert_ndrc,427,1,0.993,-0.291,-0.965,0.933,1.143,-0.0074,0.928
peanut,-0.278,-0.896,0.921,0.926,fert_ndrc,222,1,0.991,-0.277,-0.893,0.916,1.003,0.001,0.921
rapeseed,-0.261,-1.038,1.041,1.031,fert_ndrc,302,1,0.983,-0.263,-1.114,1.063,1.251,-0.0019,1.05
rice_early_indica,-0.229,-0.627,0.535,0.529,fert_ndrc,189,1,0.995,-0.234,-0.619,0.54,0.774,-0.0231,0.534
rice_japonica,-0.268,-0.715,0.636,0.628,fert_ndrc,278,0.971,0.993,-0.266,-0.764,0.646,0.97,-0.0232,0.637
rice_late_indica,-0.226,-0.676,0.565,0.553,fert_ndrc,189,0.995,1,-0.228,-0.672,0.573,0.847,-0.0244,0.561
rice_mid_indica,-0.293,-0.755,0.79,0.79,fert_ndrc,237,0.979,0.996,-0.287,-0.752,0.785,0.923,-0.0104,0.784
soybean,-0.401,-1.032,1.166,1.181,fert_ndrc,240,0.996,0.992,-0.403,-1.053,1.18,1.29,0.005,1.195
wheat,-0.407,-0.808,0.733,0.738,fert_ndrc,325,0.997,0.991,-0.401,-0.947,0.836,1.181,-0.005,0.837
