param,est,se_delta
alpha_1,0.64200684812083,
alpha_2,0.0809850606104239,
alpha_3,0.153104750447468,
alpha_4,0.051114319810487,
gamma_1_1,0.103753407970956,
gamma_1_2,0.0134744784282544,
gamma_1_3,-0.0780636512844349,
gamma_1_4,-0.0251958976246228,
gamma_2_2,-0.0147375225967117,
gamma_2_3,-0.00297950215098102,
gamma_2_4,-0.00102012617721478,
gamma_3_3,0.0697299527738698,
gamma_3_4,-0.00180127611090262,
gamma_4_4,0.0336153353354853,
gamma_1y,-0.0337322975868323,
gamma_2y,0.0219530166499133,
gamma_3y,0.0210173823794845,
gamma_4y,-0.0081436401232716,
lambda_1t,-0.00362578583747386,
lambda_2t,0.000914686184363698,
lambda_3t,0.00246974166326976,
lambda_4t,0.000163552896245457,
alpha_0,0.306159215358213,
alpha_y,0.204795685499434,
gamma_yy,0.115200488242126,
lambda_t,-0.0248811857375192,
lambda_tt,0.00157412261132177,
lambda_yt,-0.000644958933230161,
fe1_内蒙古,-0.270414320160191,
fe1_北京,-0.239065995492922,
fe1_吉林,-0.18035124818219,
fe1_四川,0.0186611650266615,
fe1_天津,-0.268573293308517,
fe1_宁夏,-0.14911436741512,
fe1_安徽,-0.171333886730553,
fe1_山东,-0.179423293470511,
fe1_山西,-0.104332709207217,
fe1_广西,-0.0474264098879014,
fe1_新疆,-0.271335902188916,
fe1_江苏,-0.124466102027829,
fe1_河北,-0.156104907837328,
fe1_河南,-0.157605310323752,
fe1_湖北,-0.0612335134185353,
fe1_甘肃,-0.0406252812242693,
fe1_福建,-0.171700751804113,
fe1_贵州,0.0476525762026281,
fe1_辽宁,-0.176340086056129,
fe1_重庆,0.0968877338476792,
fe1_陕西,-0.0574626162460277,
fe1_黑龙江,-0.248817445412282,
fe2_内蒙古,0.160516692804171,
fe2_北京,0.140881425015572,
fe2_吉林,0.098737505302424,
fe2_四川,0.0119448591575867,
fe2_天津,0.109302522258425,
fe2_宁夏,0.0867137707124383,
fe2_安徽,0.0544767757528465,
fe2_山东,0.0793028346802596,
fe2_山西,0.0883270088297508,
fe2_广西,0.0323090927597803,
fe2_新疆,0.142051583387984,
fe2_江苏,0.0265209394680703,
fe2_河北,0.103728820518589,
fe2_河南,0.0806988964079418,
fe2_湖北,0.0236160121674563,
fe2_甘肃,0.0444906375537059,
fe2_福建,-0.0111250586009877,
fe2_贵州,0.00420774652274325,
fe2_辽宁,0.0806155381461247,
fe2_重庆,-0.0428324374653658,
fe2_陕西,0.0669847952075029,
fe2_黑龙江,0.146985003994314,
fe3_内蒙古,0.0800142177978572,
fe3_北京,0.099361748455675,
fe3_吉林,0.0939672508783803,
fe3_四川,-0.011330963553238,
fe3_天津,0.145895292721565,
fe3_宁夏,0.0562133078509574,
fe3_安徽,0.0940306030897969,
fe3_山东,0.0900373765920062,
fe3_山西,0.025149144277515,
fe3_广西,0.0162733492651113,
fe3_新疆,0.0617621653280675,
fe3_江苏,0.0908080490023515,
fe3_河北,0.0439349432489672,
fe3_河南,0.0650316262960333,
fe3_湖北,0.0448377047836687,
fe3_甘肃,-0.0156233570509264,
fe3_福建,0.0863764062312876,
fe3_贵州,-0.016211995893376,
fe3_辽宁,0.0894776989074373,
fe3_重庆,-0.00740417018994721,
fe3_陕西,0.014158047100654,
fe3_黑龙江,0.0917074783592131,
fe4_内蒙古,0.0335225559561964,
fe4_北京,0.0370497406035713,
fe4_吉林,0.0193191730710433,
fe4_四川,0.010418982170365,
fe4_天津,0.0425387959519548,
fe4_宁夏,0.0174889214015206,
fe4_安徽,0.0367145351453215,
fe4_山东,0.0238138587556737,
fe4_山西,0.00770308353110011,
fe4_广西,0.0106944608045714,
fe4_新疆,0.0371298414420362,
fe4_江苏,0.0239219090026221,
fe4_河北,0.0276745711839086,
fe4_河南,0.033783184949027,
fe4_湖北,0.00584582443499448,
fe4_甘肃,-0.00381311085659092,
fe4_福建,-0.0119630608763656,
fe4_贵州,-0.0136265116212348,
fe4_辽宁,0.0355582835663925,
fe4_重庆,-0.0132104727375011,
fe4_陕西,0.0132771960233659,
fe4_黑龙江,0.0456137268431127,
feC_内蒙古,-0.54823299502224,
feC_北京,-0.607134483714873,
feC_吉林,-0.43690351902463,
feC_四川,-0.214418173109221,
feC_天津,-0.703166769270114,
feC_宁夏,-0.253581492886242,
feC_安徽,-0.675530402153441,
feC_山东,-0.451692168335503,
feC_山西,-0.28993474777637,
feC_广西,-0.230826322923317,
feC_新疆,-0.353992226664788,
feC_江苏,-0.496000769784557,
feC_河北,-0.477934895743987,
feC_河南,-0.597951283261974,
feC_湖北,-0.30315253406317,
feC_甘肃,0.18579856060143,
feC_福建,-0.2436429356119,
feC_贵州,-0.079491373929649,
feC_辽宁,-0.501363404500589,
feC_重庆,-0.147176700127718,
feC_陕西,-0.165830048157806,
feC_黑龙江,-0.743887631373273,
