crop,seg,province,dlnC,price,price_labor,price_mach,price_fert,price_seed,price_other,yield,tech,residual
rice_early_indica,2004-2024,安徽,0.850264047147825,1.2105796498296,0.782153178800141,0.158194729290446,0.0911325070473748,0.0619062568353986,0.117192977856241,0.00242794915978042,-0.379261308696686,0.0165177568551285
rice_early_indica,2004-2024,广东,1.15344846954496,1.49544548473644,0.873552851559224,0.301364148205543,0.151475251014648,0.0751831882804343,0.0938700456765908,-0.00386431201580194,-0.29514755954364,-0.0429851436320355
rice_early_indica,2004-2024,广西,1.04403618743163,1.48242185543561,0.914840640261096,0.185464342407469,0.130020224446399,0.110727779764273,0.14136886855637,-4.87308121545153e-05,-0.280934260050236,-0.157402677141582
rice_early_indica,2004-2024,江西,0.934810218787442,1.47962322912396,0.861728541712944,0.303768389557506,0.107078110339809,0.0860294847669759,0.121018702746724,0.00188366855057754,-0.333841472475323,-0.212855206411771
rice_early_indica,2004-2024,浙江,1.14259033207142,1.12466396579863,0.64663520142012,0.209426533116383,0.154977168484359,0.0425946991712,0.0710303636065713,0.00105817582194484,-0.34674274824151,0.363610938692354
rice_early_indica,2004-2024,海南,1.44179838454035,1.7043561563095,0.975667662368566,0.30573565106581,0.1751252986748,0.131954145541928,0.115873398658392,0.0239895644388829,-0.290753981587387,0.00420664537935927
rice_early_indica,2004-2024,湖北,1.02703598529313,1.4668731780628,0.884387066916085,0.213009615167527,0.131598365085404,0.176362939192152,0.0615151917016291,-0.00514826396734121,-0.370106855806435,-0.0645820729958876
rice_early_indica,2004-2024,湖南,0.949809896988709,1.32519517520989,0.879411924372953,0.242499757063525,0.113643035293439,0.0965095827822748,-0.00686912430229872,0.00244811141082634,-0.339636770842062,-0.0381966187899485
rice_early_indica,2004-2024,福建,1.24317513078873,1.69210286983132,1.04576917299669,0.266411292673147,0.149043674876935,0.157525274698696,0.0733534545858527,-0.0234754079349317,-0.343484251537247,-0.0819680795704083
rice_early_indica,2004-2013,安徽,0.964328853529137,1.07198887377378,0.763390933305631,0.108060258747148,0.0659106511618265,0.0476340010277324,0.0869930295314399,0.0508281146228653,-0.133853416675581,-0.024634718191924
rice_early_indica,2004-2013,广东,0.974275503700305,1.11994199324486,0.770437236919667,0.0802835829891892,0.10687209565553,0.064545232896322,0.0978038447841526,-0.00711076388616419,-0.109496129773565,-0.029059595884827
rice_early_indica,2004-2013,广西,0.961791337475505,1.15516397236967,0.798445220499115,0.124438549866949,0.0858946092647308,0.0721883521545672,0.074197240584304,0.0130129197091007,-0.103042015547637,-0.103343539055625
rice_early_indica,2004-2013,江西,0.877456230256171,1.17352854842665,0.770444432162934,0.238074741815531,0.083537478837989,0.0881322754455604,-0.00666037983536772,0.0310440982660688,-0.130393905817391,-0.196722510619153
rice_early_indica,2004-2013,浙江,0.925342043844032,0.949682457241894,0.579322008083106,0.185668475293836,0.0990973011744443,0.0427643835265084,0.0428302891639991,0.0199079314099769,-0.124696268288096,0.0804479234802574
rice_early_indica,2004-2013,海南,1.1897290053799,1.25896857219752,0.808247520020326,0.14533830369674,0.118902405389249,0.110548697861633,0.0759316452295685,0.0378972818972725,-0.113485363018715,0.00634851430382842
rice_early_indica,2004-2013,湖北,1.04698941170658,1.26279701135865,0.866891655672718,0.140693097031297,0.0963749415123731,0.115818984638662,0.0430183325035974,0.00571447169256377,-0.144889609106686,-0.0766324622379468
rice_early_indica,2004-2013,湖南,0.884388677079206,1.09871228979777,0.79637056287145,0.214725457604399,0.0923417546186708,0.0301159015755614,-0.0348413868723132,0.0143810115534147,-0.128956075531768,-0.0997485487402086
rice_early_indica,2004-2013,福建,1.05631706767288,1.28758290201205,0.955563695988561,0.137820642452664,0.080667004258784,0.0486222592796822,0.0649093000323563,0.000105593141131791,-0.141474018305578,-0.089897409174717
rice_early_indica,2013-2024,安徽,-0.114064806381313,0.220968664526187,0.156251830126099,0.031328619435728,0.0215052243255719,0.00389194838944364,0.00799104224934401,0.00379236466604855,-0.24866054703195,-0.0901652885415978
rice_early_indica,2013-2024,广东,0.179172965844657,0.429429056179814,0.187763300919665,0.212321740481873,0.0357200010954157,0.00368234822117626,-0.0100583345383149,0.00186538929117709,-0.188593869192324,-0.0635276104340103
rice_early_indica,2013-2024,广西,0.0822448499561286,0.354370296237236,0.187421330011492,0.0458039031594704,0.0395116863794628,0.0283019139722365,0.0533314627145743,0.0049279019880575,-0.180710858861418,-0.0963424894077476
rice_early_indica,2013-2024,江西,0.057353988531272,0.330809249211138,0.158382475936089,0.0565807463894297,0.0148939167116906,-0.0172657998250881,0.118217909999018,0.0105763667257636,-0.206551827465094,-0.0774797999405364
rice_early_indica,2013-2024,浙江,0.217248288227391,0.21396040138552,0.13058476452667,0.020674883585549,0.038502134166076,-4.34462679151881e-05,0.0242420653751408,-0.00262243711925027,-0.224999988231105,0.230910312192227
rice_early_indica,2013-2024,海南,0.252069379160449,0.464534595131901,0.181768499525849,0.178317146722507,0.0469626130553583,0.020569561915146,0.0369167739130398,-0.000138950598763498,-0.180938802145791,-0.0313874632268966
rice_early_indica,2013-2024,湖北,-0.0199534264134455,0.288899634832278,0.186885794753634,0.0226758898233958,0.0163371095872078,0.0473650294809261,0.0156358111871151,-0.00452648839793627,-0.227564147801818,-0.0767624250459692
rice_early_indica,2013-2024,湖南,0.0654212199095035,0.273593450481677,0.166757103646261,0.00925172445364874,0.0154485663312002,0.058936479144042,0.0231995769065258,-0.00334428643082616,-0.213987658484612,0.00915971434326443
rice_early_indica,2013-2024,福建,0.186858063115845,0.454282182051815,0.222006379115293,0.0938865427407206,0.0543199480310989,0.0831826524697171,0.000886659694985521,-0.030369531655626,-0.204605004338543,-0.0324495829418013
rice_early_indica,2004-2024,NATIONAL,1.08886744209016,1.44334742735786,0.874570527244506,0.242204100368109,0.133939451606583,0.105303496307976,0.0873298518306816,-0.000417804894189465,-0.332116091557645,-0.0219460888158648
rice_early_indica,2004-2013,NATIONAL,0.985295863877098,1.15282511745573,0.790066310601516,0.153380963680919,0.0918007651374676,0.0686802905693178,0.0488967874665108,0.0185004025708765,-0.125876668728343,-0.0601529874211656
