crop,eps_ll_base,eps_mm_base,M_ml_base,mml24_base,variant,n,conc,conc_obs,eps_ll,eps_mm,M_ml,M_lm,B_labor,mml_2024
corn,-0.298,-0.966,0.963,0.957,xlsonly,283,1,0.993,-0.268,-0.959,0.894,1.13,-0.0073,0.888
peanut,-0.278,-0.896,0.921,0.926,xlsonly,133,1,0.985,-0.274,-0.995,0.947,1.104,0.0043,0.958
rapeseed,-0.261,-1.038,1.041,1.031,xlsonly,204,0.99,0.99,-0.211,-0.954,0.856,1.057,-5e-04,0.863
rice_early_indica,-0.229,-0.627,0.535,0.529,xlsonly,126,1,0.992,-0.216,-0.668,0.52,0.82,-0.0207,0.505
rice_japonica,-0.268,-0.715,0.636,0.628,xlsonly,185,0.957,0.978,-0.246,-0.717,0.606,0.904,-0.0204,0.59
rice_late_indica,-0.226,-0.676,0.565,0.553,xlsonly,126,0.984,0.992,-0.192,-0.709,0.519,0.873,-0.0239,0.489
rice_mid_indica,-0.293,-0.755,0.79,0.79,xlsonly,153,0.954,0.987,-0.228,-0.721,0.651,0.865,-0.0112,0.649
soybean,-0.401,-1.032,1.166,1.181,xlsonly,151,1,0.993,-0.38,-0.975,1.061,1.193,0.005,1.089
wheat,-0.407,-0.808,0.733,0.738,xlsonly,218,0.986,0.982,-0.379,-0.816,0.819,1.051,-0.0045,0.83
