province,year,Shat_labor,Shat_mach,Shat_fert,Shat_seed,Shat_other,Sobs_labor,Sobs_mach,Sobs_fert,Sobs_seed,mono_ok,conc_ok
安徽,2004,0.399508399442614,0.219403856138717,0.218140566666533,0.0494570169857888,0.113490160766347,0.429775280898876,0.220925518359782,0.18313448395691,0.0646646588671377,TRUE,TRUE
安徽,2005,0.390257640895742,0.221482209754464,0.210891363709867,0.0582514822086251,0.119117303431302,0.396347868243152,0.231705674809448,0.206119206011474,0.0509844057205958,TRUE,TRUE
安徽,2006,0.375467016011219,0.227292324926322,0.209857216479512,0.0626550446463299,0.124728397936617,0.36890243902439,0.273002181241325,0.180001982946659,0.0614465595875471,TRUE,TRUE
安徽,2007,0.362707941910285,0.232948665291256,0.219865313315704,0.055132335118198,0.129345744364557,0.350591472931899,0.265033270352419,0.207015526164462,0.0522673129056108,TRUE,TRUE
安徽,2008,0.32980781356268,0.231165206080161,0.25532947802026,0.0490371510123954,0.134660351324504,0.29575160460977,0.244925477787167,0.25788820769134,0.0514913431977131,TRUE,TRUE
安徽,2009,0.353872455859169,0.239342880253509,0.209280518803392,0.0679078486115806,0.129596296472349,0.340866641763168,0.237822189017557,0.223384385506164,0.0610011206574524,TRUE,TRUE
安徽,2010,0.375996406101705,0.23876914388408,0.19002061219635,0.0741479238448324,0.121065913973033,0.352273876546539,0.278461382867545,0.170026632505141,0.0722111721673465,TRUE,TRUE
安徽,2011,0.384285625080846,0.239262029401398,0.189698416822036,0.0734988076442892,0.113255121051431,0.411867095270849,0.254748101461278,0.172644197700698,0.0682350959446371,TRUE,TRUE
安徽,2012,0.408814583016732,0.239776457498771,0.173685801632684,0.0744447995432713,0.103278358308542,0.474972363212762,0.204928263221082,0.174509967073591,0.0666016855468518,TRUE,TRUE
安徽,2013,0.441670415271835,0.236607312119801,0.15462908307298,0.0769385278028087,0.0901546617325765,0.504623441505796,0.209544886824287,0.149067642483073,0.0652650261848938,TRUE,TRUE
安徽,2014,0.454435453352869,0.241444857843482,0.150327734645313,0.068798292365949,0.0849936617923877,0.516753932262073,0.200654226451565,0.144673258493792,0.0585511433032064,TRUE,TRUE
安徽,2015,0.453803789540299,0.246265269633396,0.148582658495669,0.0672814583487445,0.0840668239818916,0.483512190887488,0.229429572803524,0.14499940320533,0.0609490120335507,TRUE,TRUE
安徽,2016,0.452940703444571,0.247261939509435,0.146641024079436,0.0706025275607058,0.0825538054058519,0.489639816001883,0.226854909167809,0.134975477528722,0.0640205904006219,TRUE,TRUE
