crop,f_n,f_m,S_n,eps,morishima
rice_late_indica,labor,labor,0.37299296563741,-0.268220258524331,0
rice_late_indica,labor,mach,0.37299296563741,0.142765887011314,0.86154336019133
rice_late_indica,labor,fert,0.37299296563741,0.0169376884125756,0.37712408747475
rice_late_indica,labor,seed,0.37299296563741,0.0519512007977786,0.795207159814362
rice_late_indica,labor,land,0.37299296563741,0.0646445402770261,0.451067733953857
rice_late_indica,labor,other,0.37299296563741,-0.00807905797436334,0.671061132742233
rice_late_indica,mach,labor,0.188750360186132,0.282122225015588,0.550342483539919
rice_late_indica,mach,mach,0.188750360186132,-0.718777473180017,0
rice_late_indica,mach,fert,0.188750360186132,0.115050478509501,0.475236877571675
rice_late_indica,mach,seed,0.188750360186132,0.0819396377188628,0.825195596735447
rice_late_indica,mach,land,0.188750360186132,0.124788324496001,0.511211518172832
rice_late_indica,mach,other,0.188750360186132,0.114876807440065,0.794016998156661
rice_late_indica,fert,labor,0.146138712144044,0.0432304249802195,0.31145068350455
rice_late_indica,fert,mach,0.146138712144044,0.148597308267302,0.86737478144732
rice_late_indica,fert,fert,0.146138712144044,-0.360186399062174,0
rice_late_indica,fert,seed,0.146138712144044,-0.00632962538668432,0.736926333629899
rice_late_indica,fert,land,0.146138712144044,0.0144217651178934,0.400844958794724
rice_late_indica,fert,other,0.146138712144044,0.160266526083443,0.839406716800039
rice_late_indica,seed,labor,0.0578299526137412,0.335076056233594,0.603296314757925
rice_late_indica,seed,mach,0.0578299526137412,0.26744161864109,0.986219091821107
rice_late_indica,seed,fert,0.0578299526137412,-0.015995228433656,0.344191170628518
rice_late_indica,seed,seed,0.0578299526137412,-0.743255959016584,0
rice_late_indica,seed,land,0.0578299526137412,0.0182454746555845,0.404668668332415
rice_late_indica,seed,other,0.0578299526137412,0.138488037919971,0.817628228636567
rice_late_indica,land,labor,0.150008353761061,0.16073744018684,0.428957698711171
rice_late_indica,land,mach,0.150008353761061,0.157016863428563,0.87579433660858
rice_late_indica,land,fert,0.150008353761061,0.0140497387534154,0.374236137815589
rice_late_indica,land,seed,0.150008353761061,0.0070338411714612,0.750289800188045
rice_late_indica,land,land,0.150008353761061,-0.386423193676831,0
rice_late_indica,land,other,0.150008353761061,0.0475853101365512,0.726725500853148
rice_late_indica,other,labor,0.0842796556576129,-0.0357551507525903,0.23246510777174
rice_late_indica,other,mach,0.0842796556576129,0.257274885761668,0.976052358941685
rice_late_indica,other,fert,0.0842796556576129,0.277897952226843,0.638084351289017
rice_late_indica,other,seed,0.0842796556576129,0.0950259775979337,0.838281936614517
rice_late_indica,other,land,0.0842796556576129,0.0846965258827418,0.471119719559573
rice_late_indica,other,other,0.0842796556576129,-0.679140190716597,0
