crop,eps_ll,eps_mm,M_ml,B_labor
corn,"-0.309 [-0.394, -0.236]","-0.800 [-0.938, -0.678]","0.849 [0.678, 1.071]","-0.0025 [-0.0081, 0.0015]"
wheat,"-0.432 [-0.572, -0.314]","-0.797 [-0.931, -0.674]","0.803 [0.637, 1.024]","0.0038 [-0.0062, 0.0129]"
soybean,"-0.337 [-0.443, -0.267]","-0.871 [-1.007, -0.714]","0.928 [0.783, 1.158]","0.0038 [-0.0055, 0.0115]"
rice_japonica,"-0.412 [-0.506, -0.292]","-0.743 [-0.878, -0.558]","0.905 [0.606, 1.139]","-0.0086 [-0.0190, -0.0024]"
rice_mid_indica,"-0.312 [-0.468, -0.227]","-0.734 [-0.940, -0.543]","0.832 [0.574, 1.124]","-0.0039 [-0.0118, 0.0018]"
rice_early_indica,"-0.351 [-0.455, -0.256]","-0.662 [-0.743, -0.541]","0.783 [0.575, 0.966]","-0.0096 [-0.0167, -0.0058]"
rice_late_indica,"-0.298 [-0.391, -0.223]","-0.645 [-0.722, -0.543]","0.692 [0.517, 0.866]","-0.0136 [-0.0224, -0.0071]"
peanut,"-0.287 [-0.364, -0.219]","-0.871 [-1.076, -0.703]","0.911 [0.697, 1.278]","0.0055 [-0.0025, 0.0122]"
rapeseed,"-0.243 [-0.287, -0.176]","-0.927 [-1.191, -0.802]","0.914 [0.694, 1.135]","0.0006 [-0.0047, 0.0039]"
