crop,eps_ll_base,eps_mm_base,M_ml_base,mml24_base,variant,n,conc,conc_obs,eps_ll,eps_mm,M_ml,M_lm,B_labor,mml_2024
corn,-0.298,-0.966,0.963,0.957,dropcovid,367,1,0.989,-0.279,-0.957,0.901,1.129,-0.0072,0.893
peanut,-0.278,-0.896,0.921,0.926,dropcovid,182,1,0.995,-0.271,-0.911,0.909,1.019,0.002,0.92
rapeseed,-0.261,-1.038,1.041,1.031,dropcovid,257,1,0.984,-0.222,-0.957,0.878,1.066,-0.0016,0.882
rice_early_indica,-0.229,-0.627,0.535,0.529,dropcovid,162,1,1,-0.213,-0.647,0.515,0.798,-0.0221,0.497
rice_japonica,-0.268,-0.715,0.636,0.628,dropcovid,241,0.963,0.983,-0.262,-0.738,0.641,0.939,-0.0211,0.627
rice_late_indica,-0.226,-0.676,0.565,0.553,dropcovid,162,0.988,1,-0.203,-0.696,0.532,0.86,-0.0239,0.506
rice_mid_indica,-0.293,-0.755,0.79,0.79,dropcovid,198,0.985,0.995,-0.282,-0.757,0.778,0.924,-0.007,0.779
soybean,-0.401,-1.032,1.166,1.181,dropcovid,201,0.995,0.99,-0.412,-1.077,1.205,1.322,0.0066,1.235
wheat,-0.407,-0.808,0.733,0.738,dropcovid,283,1,0.989,-0.383,-0.775,0.683,0.937,-0.0024,0.693
