factor,n_obs,psi1,psi2,psi3,sum_psi,se_sum,t_sum,placebo_F1,placebo_F1_t,placebo_F2,placebo_F2_t
labor,153,-0.149870081942886,-0.0610130522859133,-0.0463936880173945,-0.257276822246194,0.100573397273557,-2.55810014597008,-0.185636513301874,-3.88441724197286,0.0388744413166795,0.753813212985867
mach,153,-0.0590582359046204,-0.0351495547324448,-0.0232165392233038,-0.117424329860369,0.0449351114335269,-2.61319770029004,-0.0194652661398765,-1.18236116076327,0.0107212276387788,0.652372142763235
