param,est,se_delta
alpha_1,0.35349920155195,
alpha_2,0.177931283539971,
alpha_3,0.207919121804237,
alpha_4,0.182760696894234,
gamma_1_1,0.080124109745165,
gamma_1_2,0.0167930109579502,
gamma_1_3,-0.0370283281541872,
gamma_1_4,-0.0499807185588719,
gamma_2_2,-0.00252165467142196,
gamma_2_3,0.000376036297000193,
gamma_2_4,-0.0190039228266872,
gamma_3_3,0.0179367366086409,
gamma_3_4,0.005559143102114,
gamma_4_4,0.0671228207435695,
gamma_1y,-0.130829689992646,
gamma_2y,0.0327975834713077,
gamma_3y,0.0561452582055664,
gamma_4y,0.0190235778040851,
lambda_1t,0.0017303609038165,
lambda_2t,-0.000519331401629892,
lambda_3t,-0.000260595074253726,
lambda_4t,-0.000411277394090856,
alpha_0,-0.578673135538772,
alpha_y,0.112855961140448,
gamma_yy,0.202272329985004,
lambda_t,0.000447442062213617,
lambda_tt,-0.00090036333327072,
lambda_yt,0.000435502319506016,
fe1_四川,0.264070339971629,
fe1_安徽,0.183542509456717,
fe1_山东,0.211247465869534,
fe1_广东,0.184126031378024,
fe1_广西,0.199885714476412,
fe1_江苏,0.169670659787788,
fe1_江西,0.170866824447703,
fe1_河北,0.20014748578828,
fe1_河南,0.157328596349642,
fe1_海南,0.244903358680831,
fe1_湖北,0.203152189391546,
fe1_湖南,0.278468244408608,
fe1_福建,0.266628581951133,
fe1_辽宁,0.0725352406496523,
fe1_重庆,0.326448804036261,
fe1_陕西,0.00987532996902923,
fe2_四川,-0.128918219739511,
fe2_安徽,-0.104678571767671,
fe2_山东,-0.101997868200203,
fe2_广东,-0.0707818858222138,
fe2_广西,-0.0615422005306506,
fe2_江苏,-0.102521084763295,
fe2_江西,-0.102089594110036,
fe2_河北,-0.0904481337381398,
fe2_河南,-0.0978297331385387,
fe2_海南,-0.0923444664690194,
fe2_湖北,-0.108267382352327,
fe2_湖南,-0.0736711607893444,
fe2_福建,-0.0928606234298675,
fe2_辽宁,-0.0384522073252353,
fe2_重庆,-0.147322312978261,
fe2_陕西,0.036708794309378,
fe3_四川,-0.106075199530279,
fe3_安徽,-0.0804792629948883,
fe3_山东,-0.0571124392470997,
fe3_广东,-0.0643894931831284,
fe3_广西,-0.0820667926644986,
fe3_江苏,-0.0721376689833254,
fe3_江西,-0.0808932965725272,
fe3_河北,-0.0995108253744032,
fe3_河南,-0.0602704336864549,
fe3_海南,-0.107393050023161,
fe3_湖北,-0.0800059256761779,
fe3_湖南,-0.134655346864994,
fe3_福建,-0.118228073089218,
fe3_辽宁,-0.0352258947618971,
fe3_重庆,-0.126535217432318,
fe3_陕西,0.00215030954475971,
fe4_四川,0.016680178480331,
fe4_安徽,0.0212935344942439,
fe4_山东,-0.0481687550301662,
fe4_广东,-0.041868364792295,
fe4_广西,-0.0479024450427877,
fe4_江苏,0.00298804785620149,
fe4_江西,0.0222498072543724,
fe4_河北,0.00810153060975479,
fe4_河南,0.0190308453618101,
fe4_海南,-0.0231810514686159,
fe4_湖北,0.0169080851383728,
fe4_湖南,-0.0456276508601341,
fe4_福建,-0.0311295611400643,
fe4_辽宁,0.00989807664446667,
fe4_重庆,-0.0177700736901101,
fe4_陕西,-0.000367520175978353,
feC_四川,0.645893885152542,
feC_安徽,0.463515894938262,
feC_山东,0.778552365736002,
feC_广东,0.522220059187004,
feC_广西,0.532954555285572,
feC_江苏,0.673811072737833,
feC_江西,0.572691210439666,
feC_河北,0.744623385939579,
feC_河南,0.53635730652765,
feC_海南,0.509158690568506,
feC_湖北,0.542603742054729,
feC_湖南,0.698879969986157,
feC_福建,0.773776167681872,
feC_辽宁,0.433819138370967,
feC_重庆,0.557293894879329,
feC_陕西,0.621183933488413,
