crop,f_n,f_m,S_n,eps,morishima
rice_japonica,labor,labor,0.347350063482414,-0.425932670344337,0
rice_japonica,labor,mach,0.347350063482414,0.173019207855223,0.917277351064521
rice_japonica,labor,fert,0.347350063482414,0.02284261142426,0.462001335912143
rice_japonica,labor,seed,0.347350063482414,0.0400628854245646,0.661981399684203
rice_japonica,labor,land,0.347350063482414,0.197613946690256,0.780449098812541
rice_japonica,labor,other,0.347350063482414,-0.00760598104996565,0.698734139861222
rice_japonica,mach,labor,0.181717503076283,0.330723413071332,0.756656083415669
rice_japonica,mach,mach,0.181717503076283,-0.744258143209299,0
rice_japonica,mach,fert,0.181717503076283,0.0949917531874285,0.534150477675312
rice_japonica,mach,seed,0.181717503076283,0.0033580042442928,0.625276518503931
rice_japonica,mach,land,0.181717503076283,0.139491007433335,0.72232615955562
rice_japonica,mach,other,0.181717503076283,0.175693965272911,0.882034086184098
rice_japonica,fert,labor,0.135173597134838,0.058697724233869,0.484630394578206
rice_japonica,fert,mach,0.135173597134838,0.127699969283493,0.871958112492792
rice_japonica,fert,fert,0.135173597134838,-0.439158724487884,0
rice_japonica,fert,seed,0.135173597134838,0.0625352647387145,0.684453778998352
rice_japonica,fert,land,0.135173597134838,0.117651565384379,0.700486717506664
rice_japonica,fert,other,0.135173597134838,0.0725742008474281,0.778914321758616
rice_japonica,seed,labor,0.0403091701000137,0.345227792112407,0.771160462456744
rice_japonica,seed,mach,0.0403091701000137,0.0151381967199627,0.759396339929262
rice_japonica,seed,fert,0.0403091701000137,0.209707038411802,0.648865762899685
rice_japonica,seed,seed,0.0403091701000137,-0.621918514259638,0
rice_japonica,seed,land,0.0403091701000137,0.0821653631848057,0.665000515307091
rice_japonica,seed,other,0.0403091701000137,-0.0303198761693388,0.676020244741848
rice_japonica,land,labor,0.220311278752385,0.31156469753425,0.737497367878587
rice_japonica,land,mach,0.220311278752385,0.115055196973689,0.859313340182988
rice_japonica,land,fert,0.220311278752385,0.0721859788187487,0.511344703306632
rice_japonica,land,seed,0.220311278752385,0.0150333547138466,0.636951868973485
rice_japonica,land,land,0.220311278752385,-0.582835152122285,0
rice_japonica,land,other,0.220311278752385,0.0689959240817504,0.775336044992938
rice_japonica,other,labor,0.0751383874540673,-0.0351609621934812,0.390771708150856
rice_japonica,other,mach,0.0751383874540673,0.424904895576598,1.1691630387859
rice_japonica,other,fert,0.0751383874540673,0.130560637779591,0.569719362267474
rice_japonica,other,seed,0.0751383874540673,-0.0162655745928585,0.605652939666779
rice_japonica,other,land,0.0751383874540673,0.202301124341338,0.785136276463623
rice_japonica,other,other,0.0751383874540673,-0.706340120911187,0
