province,year,Shat_labor,Shat_mach,Shat_fert,Shat_seed,Shat_other,Sobs_labor,Sobs_mach,Sobs_fert,Sobs_seed,mono_ok,conc_ok
安徽,2004,0.405085126589691,0.235127456406646,0.213295006963071,0.0467644943101242,0.0997279157304682,0.464136501355446,0.222006059639611,0.144825386700686,0.0435656195184181,TRUE,TRUE
安徽,2005,0.38862548305266,0.237632151598983,0.222243661838946,0.0479869718588955,0.103511731650516,0.464489795918367,0.219773242630385,0.18291761148904,0.0416326530612245,TRUE,TRUE
安徽,2006,0.396227093212527,0.246058661693798,0.207151705638261,0.048917578939971,0.101644960515443,0.392900238529536,0.269257752209906,0.208895748561807,0.0427108180159955,TRUE,TRUE
安徽,2007,0.37520593877389,0.247609471323971,0.216310959727327,0.0561207642792936,0.104752865895518,0.416456857808419,0.29250100002353,0.161392032753712,0.0418833384314925,TRUE,TRUE
安徽,2008,0.360252484677159,0.247655609342111,0.231862537920898,0.050688457164593,0.109540910895239,0.342698543115368,0.296166409490792,0.245105308510852,0.036953167271197,TRUE,TRUE
安徽,2009,0.367366703123597,0.252132147248617,0.226491645606441,0.0546307890878744,0.0993787149334702,0.339351243156263,0.287956985027179,0.221727270943307,0.0630310641888577,TRUE,TRUE
安徽,2010,0.39626534970883,0.252339155239093,0.199457260964905,0.0552339442437711,0.0967042898434002,0.376611794433503,0.275890899632121,0.190739846159563,0.0665898703132548,TRUE,TRUE
安徽,2011,0.403761596695161,0.251549152287964,0.196889800480857,0.0558712600696215,0.0919281904663962,0.384754335260116,0.29327049395691,0.189076458223857,0.0619088281660536,TRUE,TRUE
安徽,2012,0.423209733438351,0.25138321786142,0.188841243628132,0.0544842455998726,0.0820815594722248,0.465982851189999,0.242447311483292,0.190333092929455,0.0490958143013596,TRUE,TRUE
安徽,2013,0.451752854822344,0.248836662342539,0.167091429575724,0.0578583886071078,0.074460664652286,0.488844306644781,0.224110888199891,0.174734026384583,0.056015563256125,TRUE,TRUE
安徽,2014,0.464825513269021,0.251574034545804,0.154967813829143,0.0595841759131467,0.0690484624428853,0.493031443486706,0.226065315041884,0.156853223260896,0.0582129416049533,TRUE,TRUE
